doc,exp,sent_t,chain_t,umap_t,hdbscan_t
137,mpnet,8.364,0.004,0.115,0.003
138,mpnet,8.132,0.043,0.437,0.034
139,mpnet,8.604,0.007,0.233,0.004
140,mpnet,8.905,0.008,0.289,0.005
141,mpnet,4.0,0.007,0.254,0.004
142,mpnet,13.677,0.007,0.217,0.005
143,mpnet,5.195,0.013,0.198,0.006
144,mpnet,5.284,0.027,0.5,0.006
145,mpnet,9.677,0.006,0.273,0.009
146,mpnet,18.272,0.032,0.512,0.008
147,mpnet,8.273,0.001,0.101,0.003
148,mpnet,4.664,0.001,0.195,0.005
149,mpnet,8.538,0.037,0.396,0.006
150,mpnet,7.825,0.033,0.254,0.006
151,mpnet,9.381,0.003,0.09,0.002
152,mpnet,12.94,0.005,0.111,0.003
153,mpnet,4.341,0.007,0.239,0.005
154,mpnet,12.836,0.01,0.304,0.004
155,mpnet,12.133,0.002,0.113,0.002
156,mpnet,7.581,0.009,0.176,0.004
157,mpnet,4.043,0.004,0.095,0.002
158,mpnet,4.426,0.006,0.245,0.005
159,mpnet,4.83,0.007,0.121,0.003
160,mpnet,4.674,0.004,0.174,0.004
161,mpnet,4.07,0.009,0.14,0.003
