doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,thres_75,0,0.008,15.308,0.005
1,thres_75,0,0.01,15.303,0.006
2,thres_75,0,0.005,15.259,0.01
3,thres_75,0,0.001,15.222,0.004
4,thres_75,0,0.004,15.181,0.006
5,thres_75,0,0.007,15.319,0.004
6,thres_75,0,0.003,0.183,0.004
7,thres_75,0,0.003,0.291,0.004
8,thres_75,0,0.002,0.225,0.004
9,thres_75,0,0.011,0.389,0.005
10,thres_75,0,0.002,0.173,0.003
11,thres_75,0,0.004,0.267,0.004
12,thres_75,0,0.008,0.334,0.004
13,thres_75,0,0.007,0.293,0.004
14,thres_75,0,0.003,0.168,0.003
15,thres_75,0,0.0,0.048,0.002
16,thres_75,0,0.0,0.071,0.002
17,thres_75,0,0.001,0.08,0.002
18,thres_75,0,0.0,0.025,0.001
19,thres_75,0,0.003,0.23,0.004
20,thres_75,0,0.002,0.141,0.002
21,thres_75,0,0.001,0.097,0.002
22,thres_75,0,0.003,0.096,0.002
23,thres_75,0,0.003,0.195,0.003
24,thres_75,0,0.002,0.093,0.002
25,thres_75,0,0.003,0.066,0.002
26,thres_75,0,0.002,0.204,0.003
27,thres_75,0,0.004,0.117,0.002
28,thres_75,0,0.001,0.074,0.002
29,thres_75,0,0.003,0.209,0.005
30,thres_75,0,0.001,0.084,0.002
31,thres_75,0,0.005,0.735,0.006
32,thres_75,0,0.002,0.129,0.003
33,thres_75,0,0.009,0.233,0.004
34,thres_75,0,0.001,0.113,0.003
35,thres_75,0,0.001,0.095,0.003
36,thres_75,0,0.007,0.304,0.004
37,thres_75,0,0.003,0.131,0.002
38,thres_75,0,0.0,0.062,0.002
39,thres_75,0,0.001,0.11,0.002
40,thres_75,0,0.001,0.109,0.002
41,thres_75,0,0.007,0.357,0.004
42,thres_75,0,0.002,0.234,0.012
43,thres_75,0,0.009,0.787,0.008
44,thres_75,0,0.004,0.227,0.008
45,thres_75,0,0.004,0.359,0.005
46,thres_75,0,0.002,0.17,0.006
47,thres_75,0,0.002,0.103,0.002
48,thres_75,0,0.001,0.153,0.002
49,thres_75,0,0.001,0.062,0.002
50,thres_75,0,0.002,0.085,0.002
51,thres_75,0,0.004,0.477,0.004
52,thres_75,0,0.003,0.236,0.004
53,thres_75,0,0.002,0.129,0.002
54,thres_75,0,0.008,0.121,0.002
55,thres_75,0,0.007,0.275,0.004
56,thres_75,0,0.001,0.05,0.001
57,thres_75,0,0.001,0.058,0.002
58,thres_75,0,0.001,0.096,0.002
59,thres_75,0,0.001,0.079,0.002
60,thres_75,0,0.002,0.161,0.002
61,thres_75,0,0.002,0.173,0.003
62,thres_75,0,0.002,0.19,0.003
63,thres_75,0,0.001,0.091,0.002
64,thres_75,0,0.002,0.167,0.003
65,thres_75,0,0.005,0.128,0.002
66,thres_75,0,0.005,0.196,0.003
67,thres_75,0,0.005,0.23,0.003
68,thres_75,0,0.003,0.301,0.004
69,thres_75,0,0.004,0.222,0.003
70,thres_75,0,0.001,0.082,0.002
71,thres_75,0,0.001,0.061,0.002
72,thres_75,0,0.002,0.215,0.003
73,thres_75,0,0.001,0.094,0.002
74,thres_75,0,0.0,0.007,0.001
75,thres_75,0,0.003,0.376,0.005
76,thres_75,0,0.005,0.157,0.004
77,thres_75,0,0.003,0.191,0.003
78,thres_75,0,0.001,0.066,0.001
79,thres_75,0,0.005,0.188,0.003
80,thres_75,0,0.0,0.068,0.001
81,thres_75,0,0.001,0.073,0.002
82,thres_75,0,0.003,0.197,0.003
83,thres_75,0,0.001,0.091,0.003
84,thres_75,0,0.001,0.081,0.002
85,thres_75,0,0.005,0.31,0.004
86,thres_75,0,0.001,0.154,0.002
87,thres_75,0,0.004,0.225,0.014
88,thres_75,0,0.005,0.473,0.004
89,thres_75,0,0.0,0.01,0.001
90,thres_75,0,0.004,0.225,0.003
91,thres_75,0,0.002,0.136,0.002
92,thres_75,0,0.003,0.175,0.002
93,thres_75,0,0.007,0.611,0.014
94,thres_75,0,0.006,0.19,0.004
95,thres_75,0,0.001,0.097,0.003
96,thres_75,0,0.001,0.082,0.002
97,thres_75,0,0.003,0.235,0.006
98,thres_75,0,0.004,0.225,0.003
99,thres_75,0,0.008,0.261,0.003
100,thres_75,0,0.006,0.168,0.002
101,thres_75,0,0.001,0.082,0.002
102,thres_75,0,0.002,0.154,0.002
103,thres_75,0,0.0,0.095,0.002
104,thres_75,0,0.001,0.076,0.002
105,thres_75,0,0.003,0.181,0.003
106,thres_75,0,0.005,1.043,0.015
107,thres_75,0,0.002,0.323,0.002
108,thres_75,0,0.002,0.152,0.003
109,thres_75,0,0.001,0.173,0.004
110,thres_75,0,0.001,0.18,0.002
111,thres_75,0,0.015,0.67,0.006
112,thres_75,0,0.002,0.162,0.003
113,thres_75,0,0.034,0.878,0.008
114,thres_75,0,0.001,0.241,0.006
115,thres_75,0,0.008,0.85,0.009
116,thres_75,0,0.002,0.192,0.025
117,thres_75,0,0.007,0.263,0.005
118,thres_75,0,0.001,0.199,0.005
119,thres_75,0,0.003,0.201,0.004
120,thres_75,0,0.014,0.356,0.003
121,thres_75,0,0.006,0.291,0.003
122,thres_75,0,0.001,0.16,0.002
123,thres_75,0,0.002,0.161,0.002
124,thres_75,0,0.001,0.12,0.003
125,thres_75,0,0.003,0.303,0.003
126,thres_75,0,0.001,0.128,0.003
127,thres_75,0,0.004,0.208,0.002
128,thres_75,0,0.013,0.455,0.008
129,thres_75,0,0.005,0.304,0.003
130,thres_75,0,0.002,0.2,0.003
131,thres_75,0,0.002,0.081,0.002
132,thres_75,0,0.001,0.17,0.002
133,thres_75,0,0.006,0.263,0.003
134,thres_75,0,0.003,0.156,0.003
135,thres_75,0,0.001,0.143,0.003
136,thres_75,0,0.002,0.181,0.003
137,thres_75,0,0.001,0.131,0.002
138,thres_75,0,0.005,0.199,0.003
139,thres_75,0,0.004,0.159,0.004
140,thres_75,0,0.003,0.205,0.004
141,thres_75,0,0.001,0.08,0.002
142,thres_75,0,0.003,0.207,0.004
143,thres_75,0,0.007,0.208,0.003
144,thres_75,0,0.002,0.232,0.005
145,thres_75,0,0.001,0.158,0.013
146,thres_75,0,0.006,0.495,0.005
147,thres_75,0,0.001,0.058,0.001
148,thres_75,0,0.001,0.179,0.007
149,thres_75,0,0.001,0.311,0.003
150,thres_75,0,0.002,0.221,0.003
151,thres_75,0,0.001,0.131,0.004
152,thres_75,0,0.004,0.13,0.002
153,thres_75,0,0.005,0.203,0.005
154,thres_75,0,0.017,0.393,0.005
155,thres_75,0,0.008,0.196,0.003
156,thres_75,0,0.003,0.218,0.004
157,thres_75,0,0.001,0.127,0.002
158,thres_75,0,0.002,0.225,0.003
159,thres_75,0,0.006,0.3,0.005
160,thres_75,0,0.002,0.214,0.005
161,thres_75,0,0.001,0.147,0.003
162,thres_75,0,0.001,0.147,0.003
163,thres_75,0,0.0,0.063,0.002
164,thres_75,0,0.004,0.287,0.008
165,thres_75,0,0.009,0.397,0.01
166,thres_75,0,0.002,0.209,0.008
167,thres_75,0,0.008,0.384,0.011
168,thres_75,0,0.004,0.281,0.006
169,thres_75,0,0.004,0.465,0.007
170,thres_75,0,0.001,0.138,0.008
171,thres_75,0,0.003,0.198,0.004
172,thres_75,0,0.001,0.142,0.003
173,thres_75,0,0.007,0.207,0.004
174,thres_75,0,0.006,0.139,0.003
175,thres_75,0,0.004,0.161,0.003
176,thres_75,0,0.001,0.103,0.007
177,thres_75,0,0.013,0.193,0.004
178,thres_75,0,0.003,0.28,0.004
179,thres_75,0,0.009,0.313,0.006
180,thres_75,0,0.003,0.189,0.004
181,thres_75,0,0.003,0.207,0.004
182,thres_75,0,0.003,0.214,0.004
183,thres_75,0,0.001,0.173,0.004
184,thres_75,0,0.001,0.17,0.004
185,thres_75,0,0.003,0.235,0.005
186,thres_75,0,0.004,0.39,0.009
187,thres_75,0,0.001,0.12,0.003
188,thres_75,0,0.006,0.278,0.006
189,thres_75,0,0.001,0.093,0.003
190,thres_75,0,0.004,0.427,0.008
191,thres_75,0,0.016,0.341,0.005
192,thres_75,0,0.004,0.181,0.004
193,thres_75,0,0.001,0.179,0.004
194,thres_75,0,0.003,0.278,0.005
195,thres_75,0,0.002,0.182,0.004
196,thres_75,0,0.003,0.286,0.005
197,thres_75,0,0.002,0.123,0.004
198,thres_75,0,0.003,0.189,0.005
199,thres_75,0,0.004,0.312,0.004
200,thres_75,0,0.002,0.206,0.002
201,thres_75,0,0.005,0.224,0.004
202,thres_75,0,0.001,0.127,0.004
203,thres_75,0,0.002,0.133,0.003
204,thres_75,0,0.014,0.318,0.004
205,thres_75,0,0.002,0.169,0.004
206,thres_75,0,0.005,0.379,0.009
207,thres_75,0,0.0,0.062,0.004
208,thres_75,0,0.005,0.327,0.008
209,thres_75,0,0.002,0.129,0.004
210,thres_75,0,0.003,0.458,0.01
211,thres_75,0,0.001,0.16,0.008
212,thres_75,0,0.007,1.176,0.015
213,thres_75,0,0.002,0.235,0.02
