doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet,1.988,0.004,8.479,0.002
1,mpnet,2.028,0.001,8.56,0.004
2,mpnet,2.16,0.006,8.759,0.003
3,mpnet,0.954,0.001,0.062,0.002
4,mpnet,1.694,0.003,0.093,0.003
5,mpnet,2.065,0.006,0.126,0.002
6,mpnet,0.834,0.006,0.07,0.002
7,mpnet,1.111,0.005,0.089,0.002
8,mpnet,1.403,0.006,0.084,0.002
9,mpnet,2.632,0.006,0.113,0.003
10,mpnet,0.767,0.002,0.112,0.002
11,mpnet,1.943,0.006,0.166,0.002
12,mpnet,1.426,0.007,0.172,0.003
13,mpnet,2.475,0.009,0.113,0.002
14,mpnet,1.713,0.005,0.106,0.002
15,mpnet,0.452,0.0,0.047,0.001
16,mpnet,0.537,0.003,0.063,0.002
17,mpnet,0.578,0.002,0.078,0.002
18,mpnet,0.09,0.0,0.022,0.001
19,mpnet,1.484,0.004,0.199,0.003
20,mpnet,3.056,0.003,0.122,0.002
21,mpnet,1.298,0.002,0.089,0.002
22,mpnet,2.279,0.004,0.068,0.002
23,mpnet,2.004,0.004,0.181,0.003
24,mpnet,0.975,0.002,0.102,0.002
25,mpnet,0.758,0.001,0.114,0.003
26,mpnet,2.538,0.005,0.115,0.002
27,mpnet,1.322,0.003,0.068,0.002
28,mpnet,0.85,0.002,0.071,0.002
29,mpnet,2.234,0.004,0.148,0.002
30,mpnet,0.94,0.0,0.104,0.002
31,mpnet,3.089,0.015,0.395,0.005
32,mpnet,1.387,0.002,0.067,0.002
33,mpnet,1.23,0.003,0.133,0.004
34,mpnet,0.805,0.002,0.078,0.003
35,mpnet,0.619,0.001,0.096,0.002
36,mpnet,2.181,0.006,0.218,0.003
37,mpnet,1.533,0.003,0.064,0.002
38,mpnet,0.439,0.0,0.056,0.002
39,mpnet,1.086,0.002,0.104,0.002
40,mpnet,1.229,0.004,0.075,0.002
41,mpnet,3.518,0.009,0.233,0.003
42,mpnet,1.976,0.006,0.073,0.003
43,mpnet,6.228,0.018,0.519,0.004
44,mpnet,4.507,0.003,0.068,0.002
45,mpnet,3.022,0.006,0.142,0.003
46,mpnet,1.164,0.003,0.079,0.003
47,mpnet,3.286,0.001,0.077,0.002
48,mpnet,2.941,0.004,0.073,0.002
49,mpnet,1.656,0.0,0.078,0.002
50,mpnet,0.476,0.002,0.068,0.002
51,mpnet,3.11,0.008,0.274,0.004
52,mpnet,4.081,0.006,0.198,0.003
53,mpnet,0.582,0.003,0.083,0.002
54,mpnet,1.098,0.003,0.088,0.003
55,mpnet,3.603,0.006,0.137,0.003
56,mpnet,1.231,0.0,0.059,0.002
57,mpnet,0.344,0.0,0.088,0.003
59,mpnet,1.244,0.001,0.076,0.003
