doc,exp,sent_t,chain_t,umap_t,cluster_t
0,allow_hierarchical,0,0.005,12.333,0.003
1,allow_hierarchical,0,0.003,12.133,0.003
2,allow_hierarchical,0,0.008,12.312,0.004
3,allow_hierarchical,0,0.001,12.292,0.003
4,allow_hierarchical,0,0.003,12.194,0.004
5,allow_hierarchical,0,0.005,12.208,0.004
6,allow_hierarchical,0,0.005,0.133,0.002
7,allow_hierarchical,0,0.009,0.137,0.002
8,allow_hierarchical,0,0.009,0.146,0.003
9,allow_hierarchical,0,0.011,0.165,0.004
10,allow_hierarchical,0,0.002,0.146,0.003
11,allow_hierarchical,0,0.003,0.212,0.004
12,allow_hierarchical,0,0.012,0.204,0.002
13,allow_hierarchical,0,0.006,0.237,0.003
14,allow_hierarchical,0,0.006,0.185,0.004
15,allow_hierarchical,0,0.0,0.0,0.002
16,allow_hierarchical,0,0.002,0.088,0.002
17,allow_hierarchical,0,0.001,0.095,0.002
18,allow_hierarchical,0,0.0,0.0,0.002
19,allow_hierarchical,0,0.008,0.25,0.005
20,allow_hierarchical,0,0.003,0.165,0.004
21,allow_hierarchical,0,0.002,0.111,0.003
22,allow_hierarchical,0,0.003,0.099,0.004
23,allow_hierarchical,0,0.005,0.241,0.003
24,allow_hierarchical,0,0.002,0.117,0.002
25,allow_hierarchical,0,0.001,0.103,0.003
26,allow_hierarchical,0,0.007,0.186,0.004
27,allow_hierarchical,0,0.007,0.109,0.003
28,allow_hierarchical,0,0.001,0.09,0.002
29,allow_hierarchical,0,0.006,0.239,0.008
30,allow_hierarchical,0,0.001,0.086,0.002
31,allow_hierarchical,0,0.008,0.939,0.013
32,allow_hierarchical,0,0.004,0.198,0.007
33,allow_hierarchical,0,0.003,0.219,0.003
34,allow_hierarchical,0,0.003,0.145,0.002
35,allow_hierarchical,0,0.002,0.149,0.002
36,allow_hierarchical,0,0.008,0.384,0.007
37,allow_hierarchical,0,0.004,0.104,0.005
38,allow_hierarchical,0,0.0,0.0,0.001
39,allow_hierarchical,0,0.002,0.151,0.004
40,allow_hierarchical,0,0.004,0.082,0.003
41,allow_hierarchical,0,0.011,0.629,0.006
42,allow_hierarchical,0,0.01,0.223,0.003
43,allow_hierarchical,0,0.035,1.099,0.01
44,allow_hierarchical,0,0.015,0.139,0.002
45,allow_hierarchical,0,0.01,0.362,0.004
46,allow_hierarchical,0,0.019,0.282,0.004
47,allow_hierarchical,0,0.002,0.106,0.003
48,allow_hierarchical,0,0.017,0.177,0.004
49,allow_hierarchical,0,0.003,0.106,0.003
50,allow_hierarchical,0,0.005,0.102,0.004
51,allow_hierarchical,0,0.024,0.354,0.006
52,allow_hierarchical,0,0.012,0.295,0.005
53,allow_hierarchical,0,0.001,0.143,0.004
54,allow_hierarchical,0,0.004,0.133,0.002
55,allow_hierarchical,0,0.011,0.198,0.005
56,allow_hierarchical,0,0.001,0.0,0.002
57,allow_hierarchical,0,0.001,0.104,0.003
58,allow_hierarchical,0,0.002,0.108,0.002
59,allow_hierarchical,0,0.003,0.095,0.004
60,allow_hierarchical,0,0.008,0.192,0.002
61,allow_hierarchical,0,0.006,0.169,0.004
62,allow_hierarchical,0,0.007,0.207,0.004
63,allow_hierarchical,0,0.002,0.094,0.003
64,allow_hierarchical,0,0.005,0.18,0.004
65,allow_hierarchical,0,0.003,0.163,0.004
66,allow_hierarchical,0,0.013,0.196,0.003
67,allow_hierarchical,0,0.006,0.207,0.003
