doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet,4.165,0.006,11.047,0.003
1,mpnet,4.012,0.001,10.97,0.004
2,mpnet,4.435,0.007,11.162,0.005
3,mpnet,2.956,0.002,10.58,0.008
4,mpnet,4.196,0.004,10.782,0.003
5,mpnet,4.51,0.005,10.752,0.004
6,mpnet,0.581,0.004,0.076,0.003
7,mpnet,0.411,0.006,0.098,0.002
8,mpnet,1.694,0.007,0.116,0.004
9,mpnet,7.2,0.008,0.149,0.004
10,mpnet,0.715,0.002,0.134,0.003
11,mpnet,5.669,0.017,0.261,0.005
12,mpnet,3.863,0.006,0.2,0.004
13,mpnet,6.977,0.01,0.145,0.003
14,mpnet,4.494,0.006,0.176,0.003
15,mpnet,1.34,0.0,0.06,0.002
16,mpnet,0.691,0.004,0.088,0.002
17,mpnet,1.672,0.002,0.107,0.003
18,mpnet,1.109,0.001,0.033,0.001
19,mpnet,2.801,0.005,0.247,0.005
20,mpnet,12.038,0.003,0.139,0.002
21,mpnet,2.189,0.002,0.106,0.003
22,mpnet,7.317,0.008,0.082,0.002
23,mpnet,5.147,0.006,0.241,0.003
24,mpnet,4.728,0.002,0.094,0.003
25,mpnet,2.172,0.001,0.101,0.002
26,mpnet,8.925,0.005,0.15,0.003
27,mpnet,3.133,0.004,0.082,0.002
28,mpnet,2.851,0.002,0.078,0.002
29,mpnet,5.044,0.007,0.17,0.003
30,mpnet,2.879,0.001,0.145,0.005
31,mpnet,10.598,0.021,0.445,0.006
32,mpnet,3.206,0.005,0.102,0.002
33,mpnet,5.025,0.005,0.144,0.003
34,mpnet,2.439,0.002,0.081,0.002
35,mpnet,2.597,0.001,0.114,0.003
36,mpnet,6.053,0.012,0.25,0.003
37,mpnet,5.262,0.003,0.079,0.003
38,mpnet,0.567,0.001,0.066,0.002
39,mpnet,4.69,0.006,0.125,0.003
40,mpnet,5.299,0.006,0.101,0.002
41,mpnet,5.929,0.007,0.227,0.004
42,mpnet,3.683,0.009,0.107,0.005
45,mpnet,0.939,0.01,0.204,0.005
46,mpnet,3.809,0.005,0.114,0.002
