doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,most_similar_pooling,1.412,0.023,11.484,0.003
1,most_similar_pooling,1.421,0.014,11.302,0.007
2,most_similar_pooling,1.552,0.022,11.485,0.005
3,most_similar_pooling,1.342,0.006,11.394,0.003
4,most_similar_pooling,1.538,0.02,11.416,0.003
5,most_similar_pooling,1.549,0.017,11.327,0.003
6,most_similar_pooling,0.568,0.009,0.124,0.002
7,most_similar_pooling,0.667,0.016,0.177,0.003
8,most_similar_pooling,0.553,0.007,0.159,0.002
9,most_similar_pooling,0.712,0.018,0.225,0.004
10,most_similar_pooling,0.345,0.006,0.148,0.003
11,most_similar_pooling,0.447,0.008,0.21,0.005
12,most_similar_pooling,0.355,0.024,0.225,0.004
13,most_similar_pooling,0.334,0.018,0.239,0.003
14,most_similar_pooling,0.237,0.009,0.19,0.002
15,most_similar_pooling,0.042,0.001,0.075,0.002
16,most_similar_pooling,0.113,0.004,0.084,0.003
17,most_similar_pooling,0.098,0.002,0.094,0.002
18,most_similar_pooling,0.014,0.0,0.025,0.001
19,most_similar_pooling,0.189,0.007,0.247,0.004
20,most_similar_pooling,0.402,0.006,0.177,0.003
21,most_similar_pooling,0.311,0.004,0.112,0.004
22,most_similar_pooling,0.326,0.009,0.101,0.003
23,most_similar_pooling,0.391,0.008,0.227,0.004
24,most_similar_pooling,0.256,0.005,0.116,0.002
25,most_similar_pooling,0.087,0.0,0.101,0.003
26,most_similar_pooling,0.365,0.01,0.194,0.002
27,most_similar_pooling,0.283,0.013,0.11,0.003
28,most_similar_pooling,0.213,0.004,0.072,0.002
29,most_similar_pooling,0.464,0.012,0.181,0.004
30,most_similar_pooling,0.196,0.005,0.081,0.002
31,most_similar_pooling,0.414,0.013,0.614,0.008
32,most_similar_pooling,0.22,0.007,0.104,0.003
33,most_similar_pooling,0.213,0.006,0.139,0.004
34,most_similar_pooling,0.165,0.003,0.092,0.002
35,most_similar_pooling,0.099,0.003,0.079,0.003
36,most_similar_pooling,0.377,0.012,0.292,0.014
37,most_similar_pooling,0.26,0.011,0.109,0.002
38,most_similar_pooling,0.128,0.001,0.077,0.002
39,most_similar_pooling,0.253,0.004,0.126,0.002
40,most_similar_pooling,0.247,0.009,0.1,0.003
41,most_similar_pooling,0.344,0.019,0.339,0.004
42,most_similar_pooling,0.291,0.025,0.142,0.003
43,most_similar_pooling,0.776,0.027,0.768,0.011
44,most_similar_pooling,0.309,0.007,0.093,0.003
45,most_similar_pooling,0.43,0.009,0.224,0.004
46,most_similar_pooling,0.197,0.01,0.118,0.003
47,most_similar_pooling,0.32,0.003,0.079,0.002
48,most_similar_pooling,0.325,0.006,0.115,0.004
49,most_similar_pooling,0.236,0.002,0.063,0.002
50,most_similar_pooling,0.14,0.005,0.087,0.003
51,most_similar_pooling,0.387,0.018,0.318,0.006
52,most_similar_pooling,0.405,0.011,0.236,0.003
53,most_similar_pooling,0.166,0.004,0.128,0.003
54,most_similar_pooling,0.24,0.006,0.101,0.002
55,most_similar_pooling,0.415,0.03,0.19,0.003
56,most_similar_pooling,0.075,0.001,0.077,0.002
57,most_similar_pooling,0.046,0.001,0.084,0.002
58,most_similar_pooling,0.13,0.004,0.079,0.002
59,most_similar_pooling,0.066,0.002,0.08,0.002
60,most_similar_pooling,0.349,0.009,0.181,0.003
61,most_similar_pooling,0.451,0.011,0.168,0.004
62,most_similar_pooling,0.493,0.007,0.217,0.004
63,most_similar_pooling,0.428,0.008,0.092,0.002
64,most_similar_pooling,0.473,0.012,0.183,0.004
65,most_similar_pooling,0.41,0.005,0.153,0.003
66,most_similar_pooling,0.194,0.016,0.216,0.004
67,most_similar_pooling,0.39,0.023,0.257,0.005
68,most_similar_pooling,0.577,0.011,0.465,0.007
69,most_similar_pooling,0.46,0.015,0.313,0.008
70,most_similar_pooling,0.232,0.002,0.119,0.003
71,most_similar_pooling,0.254,0.001,0.098,0.007
72,most_similar_pooling,0.437,0.011,0.291,0.005
73,most_similar_pooling,0.253,0.006,0.14,0.006
74,most_similar_pooling,0.046,0.0,0.01,0.002
75,most_similar_pooling,0.426,0.014,0.412,0.008
76,most_similar_pooling,0.206,0.016,0.154,0.004
77,most_similar_pooling,0.192,0.014,0.218,0.004
78,most_similar_pooling,0.138,0.001,0.11,0.003
79,most_similar_pooling,0.368,0.007,0.214,0.004
80,most_similar_pooling,0.051,0.001,0.089,0.002
81,most_similar_pooling,0.244,0.005,0.079,0.003
82,most_similar_pooling,0.274,0.014,0.197,0.003
83,most_similar_pooling,0.163,0.005,0.113,0.002
84,most_similar_pooling,0.101,0.004,0.098,0.003
85,most_similar_pooling,0.637,0.017,0.288,0.006
86,most_similar_pooling,0.268,0.008,0.125,0.002
87,most_similar_pooling,0.505,0.008,0.247,0.003
88,most_similar_pooling,0.55,0.013,0.43,0.006
89,most_similar_pooling,0.101,0.0,0.015,0.002
90,most_similar_pooling,0.421,0.006,0.155,0.002
91,most_similar_pooling,0.238,0.001,0.099,0.002
92,most_similar_pooling,0.21,0.005,0.103,0.002
93,most_similar_pooling,0.537,0.029,0.393,0.005
94,most_similar_pooling,0.194,0.011,0.148,0.002
95,most_similar_pooling,0.113,0.002,0.109,0.004
96,most_similar_pooling,0.154,0.006,0.098,0.003
97,most_similar_pooling,0.478,0.014,0.187,0.004
98,most_similar_pooling,0.48,0.009,0.133,0.004
99,most_similar_pooling,0.486,0.011,0.198,0.003
