doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,thres_55,0,0.004,10.652,0.003
1,thres_55,0,0.002,10.717,0.003
2,thres_55,0,0.009,10.741,0.004
3,thres_55,0,0.002,10.768,0.004
4,thres_55,0,0.005,10.61,0.008
5,thres_55,0,0.007,10.612,0.003
6,thres_55,0,0.003,0.105,0.003
7,thres_55,0,0.007,0.098,0.002
8,thres_55,0,0.008,0.095,0.002
9,thres_55,0,0.009,0.124,0.002
10,thres_55,0,0.002,0.13,0.003
11,thres_55,0,0.006,0.201,0.002
12,thres_55,0,0.006,0.149,0.003
13,thres_55,0,0.015,0.146,0.003
14,thres_55,0,0.006,0.135,0.002
15,thres_55,0,0.0,0.067,0.002
16,thres_55,0,0.002,0.076,0.002
17,thres_55,0,0.001,0.093,0.003
18,thres_55,0,0.0,0.023,0.001
19,thres_55,0,0.005,0.228,0.003
20,thres_55,0,0.003,0.132,0.003
21,thres_55,0,0.002,0.104,0.003
22,thres_55,0,0.004,0.073,0.002
23,thres_55,0,0.007,0.205,0.003
24,thres_55,0,0.002,0.107,0.002
25,thres_55,0,0.0,0.105,0.002
26,thres_55,0,0.005,0.121,0.002
27,thres_55,0,0.003,0.072,0.002
28,thres_55,0,0.001,0.065,0.002
29,thres_55,0,0.006,0.151,0.004
30,thres_55,0,0.001,0.061,0.002
31,thres_55,0,0.015,0.581,0.008
32,thres_55,0,0.002,0.089,0.003
33,thres_55,0,0.002,0.174,0.003
34,thres_55,0,0.002,0.152,0.002
35,thres_55,0,0.001,0.176,0.002
36,thres_55,0,0.038,0.275,0.006
37,thres_55,0,0.014,0.094,0.002
38,thres_55,0,0.0,0.071,0.002
39,thres_55,0,0.002,0.121,0.003
40,thres_55,0,0.003,0.079,0.002
41,thres_55,0,0.013,0.192,0.004
42,thres_55,0,0.006,0.071,0.002
43,thres_55,0,0.023,0.482,0.005
44,thres_55,0,0.002,0.112,0.007
45,thres_55,0,0.017,0.192,0.002
46,thres_55,0,0.005,0.091,0.002
47,thres_55,0,0.002,0.08,0.002
48,thres_55,0,0.004,0.09,0.002
49,thres_55,0,0.001,0.087,0.002
50,thres_55,0,0.001,0.067,0.002
51,thres_55,0,0.007,0.215,0.003
52,thres_55,0,0.006,0.193,0.003
53,thres_55,0,0.001,0.103,0.003
54,thres_55,0,0.002,0.092,0.002
55,thres_55,0,0.005,0.113,0.002
56,thres_55,0,0.0,0.059,0.002
57,thres_55,0,0.001,0.074,0.002
58,thres_55,0,0.001,0.118,0.002
59,thres_55,0,0.001,0.07,0.002
60,thres_55,0,0.004,0.137,0.002
61,thres_55,0,0.003,0.127,0.002
62,thres_55,0,0.008,0.128,0.002
63,thres_55,0,0.001,0.07,0.002
64,thres_55,0,0.006,0.096,0.003
65,thres_55,0,0.003,0.107,0.002
66,thres_55,0,0.006,0.154,0.002
67,thres_55,0,0.006,0.148,0.003
68,thres_55,0,0.007,0.325,0.004
69,thres_55,0,0.007,0.23,0.003
70,thres_55,0,0.002,0.081,0.002
71,thres_55,0,0.0,0.085,0.002
72,thres_55,0,0.007,0.174,0.003
73,thres_55,0,0.004,0.086,0.002
74,thres_55,0,0.0,0.01,0.002
75,thres_55,0,0.014,0.293,0.005
76,thres_55,0,0.005,0.096,0.003
77,thres_55,0,0.007,0.143,0.003
78,thres_55,0,0.001,0.091,0.002
79,thres_55,0,0.007,0.089,0.002
80,thres_55,0,0.0,0.071,0.001
81,thres_55,0,0.001,0.103,0.003
