doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,test,2.625,0.013,17.547,0.004
1,test,2.71,0.007,17.565,0.003
2,test,2.751,0.015,17.637,0.003
3,test,2.179,0.003,17.549,0.005
4,test,2.54,0.009,17.368,0.005
5,test,2.762,0.012,17.355,0.005
6,test,2.411,0.01,17.537,0.005
7,test,2.51,0.016,17.58,0.005
8,test,2.602,0.014,17.424,0.005
9,test,2.686,0.019,17.184,0.005
10,test,0.233,0.002,0.109,0.002
11,test,0.411,0.006,0.268,0.004
12,test,0.633,0.013,0.245,0.004
13,test,0.781,0.01,0.291,0.006
14,test,0.663,0.008,0.236,0.004
15,test,0.181,0.001,0.087,0.002
16,test,0.276,0.003,0.106,0.003
17,test,0.237,0.002,0.124,0.003
18,test,0.108,0.001,0.04,0.002
19,test,0.651,0.008,0.323,0.006
20,test,0.741,0.004,0.216,0.004
21,test,0.532,0.004,0.135,0.003
22,test,0.726,0.006,0.117,0.004
23,test,0.72,0.004,0.3,0.004
24,test,0.487,0.004,0.145,0.003
25,test,0.379,0.001,0.129,0.004
26,test,0.689,0.013,0.23,0.004
27,test,0.461,0.007,0.128,0.004
28,test,0.281,0.002,0.11,0.003
29,test,0.773,0.011,0.235,0.004
30,test,0.436,0.002,0.1,0.003
31,test,1.526,0.014,0.833,0.011
32,test,0.411,0.003,0.138,0.003
33,test,0.368,0.004,0.182,0.003
34,test,0.263,0.004,0.108,0.003
35,test,0.262,0.001,0.109,0.003
36,test,1.027,0.008,0.44,0.006
37,test,0.704,0.005,0.138,0.003
38,test,0.27,0.001,0.09,0.003
39,test,0.347,0.004,0.16,0.003
40,test,0.549,0.006,0.099,0.003
41,test,1.3,0.018,0.366,0.006
42,test,0.766,0.007,0.155,0.004
43,test,1.675,0.025,1.159,0.02
44,test,0.869,0.011,0.15,0.003
45,test,0.897,0.007,0.292,0.005
46,test,0.51,0.006,0.149,0.003
47,test,0.568,0.003,0.105,0.002
48,test,0.588,0.006,0.142,0.004
49,test,0.344,0.002,0.095,0.003
50,test,0.218,0.004,0.107,0.003
51,test,0.794,0.039,0.38,0.007
52,test,0.811,0.011,0.311,0.005
53,test,0.366,0.002,0.169,0.008
54,test,0.3,0.004,0.169,0.007
55,test,1.071,0.021,0.295,0.005
56,test,0.259,0.001,0.097,0.003
57,test,0.183,0.001,0.109,0.007
58,test,0.482,0.004,0.124,0.003
59,test,0.363,0.003,0.125,0.003
60,test,0.843,0.026,0.35,0.004
61,test,0.634,0.014,0.251,0.008
62,test,0.88,0.019,0.325,0.006
63,test,0.645,0.005,0.248,0.004
64,test,0.772,0.01,0.249,0.006
65,test,0.667,0.004,0.235,0.005
66,test,0.589,0.015,0.316,0.006
67,test,0.887,0.012,0.344,0.005
68,test,1.251,0.01,0.509,0.008
69,test,0.9,0.011,0.385,0.005
70,test,0.481,0.003,0.187,0.003
71,test,0.444,0.001,0.139,0.003
72,test,1.214,0.008,0.332,0.007
73,test,0.48,0.006,0.18,0.003
74,test,0.145,0.001,0.014,0.002
75,test,1.537,0.014,0.452,0.009
76,test,0.758,0.007,0.162,0.004
77,test,0.923,0.013,0.252,0.004
78,test,0.415,0.001,0.126,0.003
79,test,1.169,0.01,0.232,0.005
80,test,0.405,0.001,0.109,0.002
81,test,0.523,0.004,0.11,0.004
82,test,0.558,0.011,0.231,0.005
83,test,0.487,0.004,0.138,0.002
84,test,0.342,0.001,0.118,0.004
85,test,1.528,0.013,0.388,0.007
86,test,0.528,0.004,0.165,0.004
87,test,1.119,0.01,0.301,0.005
88,test,1.346,0.023,0.502,0.01
89,test,0.135,0.0,0.018,0.002
90,test,1.187,0.004,0.208,0.004
