doc,exp,sent_t,chain_t,umap_t,hdbscan_t,cluster_t
4145,allow_hierarchical,0,0.002,0.078,,0.002
4146,allow_hierarchical,0,0.001,0.207,,0.002
4147,allow_hierarchical,0,0.001,0.08,,0.002
4148,allow_hierarchical,0,0.002,0.178,,0.003
4149,allow_hierarchical,0,0.015,0.292,,0.004
4150,allow_hierarchical,0,0.003,0.096,,0.002
4151,allow_hierarchical,0,0.005,0.124,,0.002
4152,allow_hierarchical,0,0.007,0.277,,0.005
4153,allow_hierarchical,0,0.003,0.09,,0.002
4154,allow_hierarchical,0,0.006,0.15,,0.003
4155,allow_hierarchical,0,0.005,0.224,,0.004
4156,allow_hierarchical,0,0.0,0.075,,0.002
4157,allow_hierarchical,0,0.003,0.083,,0.002
4158,allow_hierarchical,0,0.001,0.073,,0.002
4160,allow_hierarchical,0,0.002,0.075,,0.002
4161,allow_hierarchical,0,0.0,0.061,,0.002
4162,allow_hierarchical,0,0.0,0.044,,0.001
4163,allow_hierarchical,0,0.001,0.076,,0.002
4164,allow_hierarchical,0,0.008,0.256,,0.003
4165,allow_hierarchical,0,0.006,0.172,,0.003
4166,allow_hierarchical,0,0.005,0.09,,0.002
4167,allow_hierarchical,0,0.003,0.136,,0.002
4168,allow_hierarchical,0,0.006,0.183,,0.004
4169,allow_hierarchical,0,0.004,0.099,,0.002
4170,allow_hierarchical,0,0.004,0.169,,0.002
4171,allow_hierarchical,0,0.001,0.097,,0.002
4172,allow_hierarchical,0,0.002,0.136,,0.002
4173,allow_hierarchical,0,0.002,0.075,,0.002
4174,allow_hierarchical,0,0.001,0.074,,0.002
4175,allow_hierarchical,0,0.006,0.255,,0.004
4176,allow_hierarchical,0,0.002,0.101,,0.003
4177,allow_hierarchical,0,0.001,0.099,,0.003
4178,allow_hierarchical,0,0.009,0.601,,0.005
4179,allow_hierarchical,0,0.0,0.073,,0.002
4180,allow_hierarchical,0,0.003,0.178,,0.003
4181,allow_hierarchical,0,0.014,0.223,,0.003
4182,allow_hierarchical,0,0.009,0.169,,0.002
4183,allow_hierarchical,0,0.008,0.133,,0.002
4184,allow_hierarchical,0,0.002,0.147,,0.005
4185,allow_hierarchical,0,0.001,0.068,,0.002
4186,allow_hierarchical,0,0.004,0.083,,0.003
4187,allow_hierarchical,0,0.003,0.133,,0.003
4188,allow_hierarchical,0,0.011,0.294,,0.005
4189,allow_hierarchical,0,0.001,0.094,,0.004
4190,allow_hierarchical,0,0.01,0.273,,0.003
4191,allow_hierarchical,0,0.011,0.231,,0.003
4192,allow_hierarchical,0,0.006,0.125,,0.002
4193,allow_hierarchical,0,0.004,0.112,,0.003
4194,allow_hierarchical,0,0.015,0.443,,0.005
4195,allow_hierarchical,0,0.0,0.015,,0.002
4196,allow_hierarchical,0,0.011,0.223,,0.004
4197,allow_hierarchical,0,0.001,0.076,,0.002
4198,allow_hierarchical,0,0.005,0.145,,0.003
4199,allow_hierarchical,0,0.009,0.142,,0.003
4200,allow_hierarchical,0,0.004,0.133,,0.003
4201,allow_hierarchical,0,0.005,0.216,,0.004
4202,allow_hierarchical,0,0.007,0.174,,0.003
4203,allow_hierarchical,0,0.006,0.121,,0.002
4204,allow_hierarchical,0,0.003,0.116,,0.002
4205,allow_hierarchical,0,0.009,0.264,,0.004
4206,allow_hierarchical,0,0.003,0.222,,0.003
4207,allow_hierarchical,0,0.001,0.114,,0.003
4208,allow_hierarchical,0,0.006,0.158,,0.003
4209,allow_hierarchical,0,0.006,0.117,,0.002
4210,allow_hierarchical,0,0.003,0.142,,0.003
4211,allow_hierarchical,0,0.001,0.097,,0.002
4212,allow_hierarchical,0,0.004,0.15,,0.004
4213,allow_hierarchical,0,0.013,0.325,,0.004
4214,allow_hierarchical,0,0.008,0.141,,0.004
4215,allow_hierarchical,0,0.006,0.225,,0.003
4216,allow_hierarchical,0,0.001,0.111,,0.003
4217,allow_hierarchical,0,0.009,0.232,,0.003
4218,allow_hierarchical,0,0.003,0.116,,0.002
4219,allow_hierarchical,0,0.003,0.144,,0.003
4220,allow_hierarchical,0,0.004,0.11,,0.004
4221,allow_hierarchical,0,0.004,0.115,,0.004
4222,allow_hierarchical,0,0.001,0.112,,0.003
4223,allow_hierarchical,0,0.003,0.144,,0.003
4224,allow_hierarchical,0,0.002,0.153,,0.007
4225,allow_hierarchical,0,0.004,0.2,,0.004
4226,allow_hierarchical,0,0.005,0.484,,0.007
4227,allow_hierarchical,0,0.033,0.563,,0.006
4228,allow_hierarchical,0,0.001,0.137,,0.003
4229,allow_hierarchical,0,0.001,0.147,,0.007
4230,allow_hierarchical,0,0.0,0.09,,0.006
4231,allow_hierarchical,0,0.002,0.129,,0.001
4232,allow_hierarchical,0,0.002,0.113,,0.002
4233,allow_hierarchical,0,0.01,0.247,,0.004
4234,allow_hierarchical,0,0.0,0.045,,0.002
4235,allow_hierarchical,0,0.006,0.174,,0.003
4236,allow_hierarchical,0,0.012,0.146,,0.003
4237,allow_hierarchical,0,0.0,0.051,,0.001
4238,allow_hierarchical,0,0.005,0.223,,0.005
4239,allow_hierarchical,0,0.009,0.216,,0.005
4240,allow_hierarchical,0,0.0,0.081,,0.002
4241,allow_hierarchical,0,0.004,0.14,,0.003
4242,allow_hierarchical,0,0.005,0.314,,0.006
4243,allow_hierarchical,0,0.004,0.225,,0.004
4244,allow_hierarchical,0,0.001,0.092,,0.002
4246,allow_hierarchical,0,0.004,0.305,,0.003
4247,allow_hierarchical,0,0.002,0.082,,0.002
4248,allow_hierarchical,0,0.021,0.39,,0.005
4249,allow_hierarchical,0,0.013,0.59,,0.005
4250,allow_hierarchical,0,0.001,0.117,,0.006
4251,allow_hierarchical,0,0.001,0.133,,0.002
4252,allow_hierarchical,0,0.068,0.351,,0.006
4253,allow_hierarchical,0,0.014,0.312,,0.005
4254,allow_hierarchical,0,0.002,0.174,,0.004
4255,allow_hierarchical,0,0.007,0.197,,0.002
4256,allow_hierarchical,0,0.006,0.176,,0.004
4257,allow_hierarchical,0,0.002,0.129,,0.003
4258,allow_hierarchical,0,0.003,0.133,,0.002
4259,allow_hierarchical,0,0.001,0.081,,0.002
4260,allow_hierarchical,0,0.001,0.103,,0.003
4261,allow_hierarchical,0,0.003,0.127,,0.003
4262,allow_hierarchical,0,0.008,0.255,,0.005
4263,allow_hierarchical,0,0.001,0.116,,0.002
4264,allow_hierarchical,0,0.001,0.082,,0.003
4265,allow_hierarchical,0,0.002,0.128,,0.002
4266,allow_hierarchical,0,0.005,0.161,,0.003
4267,allow_hierarchical,0,0.003,0.093,,0.002
4268,allow_hierarchical,0,0.001,0.09,,0.002
4269,allow_hierarchical,0,0.005,0.138,,0.003
4270,allow_hierarchical,0,0.006,0.2,,0.002
4271,allow_hierarchical,0,0.004,0.143,,0.003
4272,allow_hierarchical,0,0.003,0.101,,0.003
4273,allow_hierarchical,0,0.004,0.088,,0.003
4274,allow_hierarchical,0,0.005,0.18,,0.004
4275,allow_hierarchical,0,0.012,0.213,,0.003
4276,allow_hierarchical,0,0.0,0.009,,0.001
4277,allow_hierarchical,0,0.006,0.132,,0.002
4278,allow_hierarchical,0,0.004,0.203,,0.003
4279,allow_hierarchical,0,0.003,0.087,,0.002
4280,allow_hierarchical,0,0.003,0.176,,0.003
4281,allow_hierarchical,0,0.002,0.086,,0.002
4282,allow_hierarchical,0,0.013,0.176,,0.004
4283,allow_hierarchical,0,0.002,0.111,,0.002
4284,allow_hierarchical,0,0.005,0.243,,0.005
4285,allow_hierarchical,0,0.005,0.182,,0.004
4286,allow_hierarchical,0,0.005,0.184,,0.004
4287,allow_hierarchical,0,0.017,0.379,,0.006
4288,allow_hierarchical,0,0.002,0.092,,0.003
4289,allow_hierarchical,0,0.009,0.555,,0.006
4290,allow_hierarchical,0,0.013,0.164,,0.004
4291,allow_hierarchical,0,0.014,0.191,,0.002
4292,allow_hierarchical,0,0.001,0.118,,0.003
4293,allow_hierarchical,0,0.005,0.181,,0.002
4294,allow_hierarchical,0,0.003,0.136,,0.002
4295,allow_hierarchical,0,0.001,0.076,,0.002
4296,allow_hierarchical,0,0.005,0.107,,0.003
4297,allow_hierarchical,0,0.003,0.085,,0.002
4298,allow_hierarchical,0,0.002,0.091,,0.003
4299,allow_hierarchical,0,0.004,0.157,,0.002
4300,allow_hierarchical,0,0.0,0.075,,0.002
4301,allow_hierarchical,0,0.002,0.069,,0.002
4302,allow_hierarchical,0,0.007,0.16,,0.002
4303,allow_hierarchical,0,0.004,0.105,,0.003
4304,allow_hierarchical,0,0.001,0.1,,0.002
4305,allow_hierarchical,0,0.005,0.09,,0.003
4306,allow_hierarchical,0,0.0,0.066,,0.002
4307,allow_hierarchical,0,0.001,0.072,,0.002
4308,allow_hierarchical,0,0.0,0.01,,0.002
4309,allow_hierarchical,0,0.007,0.132,,0.003
4310,allow_hierarchical,0,0.003,0.128,,0.002
4311,allow_hierarchical,0,0.008,0.179,,0.004
4312,allow_hierarchical,0,0.003,0.12,,0.002
4313,allow_hierarchical,0,0.004,0.147,,0.003
4314,allow_hierarchical,0,0.0,0.064,,0.002
4315,allow_hierarchical,0,0.005,0.123,,0.003
4316,allow_hierarchical,0,0.001,0.092,,0.002
4317,allow_hierarchical,0,0.005,0.184,,0.003
4318,allow_hierarchical,0,0.006,0.133,,0.002
4319,allow_hierarchical,0,0.003,0.181,,0.003
4320,allow_hierarchical,0,0.005,0.127,,0.002
4321,allow_hierarchical,0,0.002,0.079,,0.002
4322,allow_hierarchical,0,0.002,0.09,,0.003
4323,allow_hierarchical,0,0.007,0.191,,0.004
4324,allow_hierarchical,0,0.008,0.237,,0.005
4325,allow_hierarchical,0,0.002,0.091,,0.003
4327,allow_hierarchical,0,0.004,0.119,,0.002
4328,allow_hierarchical,0,0.01,0.23,,0.005
4329,allow_hierarchical,0,0.002,0.123,,0.003
4330,allow_hierarchical,0,0.001,0.112,,0.002
4331,allow_hierarchical,0,0.005,0.188,,0.003
4332,allow_hierarchical,0,0.012,0.272,,0.004
4333,allow_hierarchical,0,0.002,0.088,,0.002
4334,allow_hierarchical,0,0.003,0.13,,0.002
4335,allow_hierarchical,0,0.003,0.206,,0.003
4336,allow_hierarchical,0,0.002,0.084,,0.002
4337,allow_hierarchical,0,0.008,0.368,,0.004
4338,allow_hierarchical,0,0.001,0.074,,0.003
4339,allow_hierarchical,0,0.004,0.224,,0.003
4340,allow_hierarchical,0,0.001,0.103,,0.002
4341,allow_hierarchical,0,0.0,0.011,,0.002
4342,allow_hierarchical,0,0.004,0.168,,0.004
4343,allow_hierarchical,0,0.002,0.081,,0.003
4344,allow_hierarchical,0,0.004,0.136,,0.004
4345,allow_hierarchical,0,0.451,0.281,,0.005
4346,allow_hierarchical,0,0.004,0.13,,0.002
4347,allow_hierarchical,0,0.006,0.17,,0.004
4348,allow_hierarchical,0,0.009,0.258,,0.003
4349,allow_hierarchical,0,0.007,0.144,,0.003
4350,allow_hierarchical,0,0.007,0.105,,0.003
4351,allow_hierarchical,0,0.01,0.437,,0.006
4352,allow_hierarchical,0,0.002,0.158,,0.002
4353,allow_hierarchical,0,0.006,0.126,,0.002
4354,allow_hierarchical,0,0.033,0.363,,0.007
4355,allow_hierarchical,0,0.009,0.276,,0.006
4356,allow_hierarchical,0,0.001,0.085,,0.002
4357,allow_hierarchical,0,0.005,0.074,,0.002
4358,allow_hierarchical,0,0.408,0.739,,0.011
4359,allow_hierarchical,0,0.001,0.07,,0.002
4360,allow_hierarchical,0,0.0,0.07,,0.002
4361,allow_hierarchical,0,0.003,0.13,,0.003
4362,allow_hierarchical,0,0.003,0.133,,0.002
4363,allow_hierarchical,0,0.0,0.067,,0.002
4364,allow_hierarchical,0,0.004,0.158,,0.003
4365,allow_hierarchical,0,0.003,0.158,,0.002
4366,allow_hierarchical,0,0.0,0.075,,0.003
4367,allow_hierarchical,0,0.002,0.164,,0.004
4368,allow_hierarchical,0,0.011,0.477,,0.004
4369,allow_hierarchical,0,0.002,0.086,,0.002
4370,allow_hierarchical,0,0.004,0.089,,0.003
4371,allow_hierarchical,0,0.002,0.056,,0.006
4372,allow_hierarchical,0,0.002,0.16,,0.002
4373,allow_hierarchical,0,0.002,0.117,,0.003
4374,allow_hierarchical,0,0.003,0.13,,0.003
4375,allow_hierarchical,0,0.004,0.158,,0.003
4376,allow_hierarchical,0,0.0,0.053,,0.002
4377,allow_hierarchical,0,0.005,0.309,,0.006
4378,allow_hierarchical,0,0.005,0.203,,0.004
4379,allow_hierarchical,0,0.006,0.143,,0.002
4380,allow_hierarchical,0,0.006,0.393,,0.007
4381,allow_hierarchical,0,0.004,0.216,,0.005
4382,allow_hierarchical,0,0.004,0.134,,0.002
4383,allow_hierarchical,0,0.004,0.163,,0.002
4384,allow_hierarchical,0,0.003,0.095,,0.002
4385,allow_hierarchical,0,0.005,0.132,,0.003
4386,allow_hierarchical,0,0.007,0.324,,0.006
4387,allow_hierarchical,0,0.006,0.149,,0.002
4388,allow_hierarchical,0,0.004,0.225,,0.004
4389,allow_hierarchical,0,0.007,0.194,,0.003
4390,allow_hierarchical,0,0.004,0.197,,0.003
4391,allow_hierarchical,0,0.004,0.154,,0.003
4392,allow_hierarchical,0,0.0,0.07,,0.002
4393,allow_hierarchical,0,0.422,0.148,,0.002
4394,allow_hierarchical,0,0.003,0.105,,0.002
4395,allow_hierarchical,0,0.006,0.134,,0.003
4396,allow_hierarchical,0,0.001,0.116,,0.003
4397,allow_hierarchical,0,0.0,0.07,,0.002
4398,allow_hierarchical,0,0.001,0.075,,0.002
4399,allow_hierarchical,0,0.002,0.096,,0.003
4400,allow_hierarchical,0,0.007,0.228,,0.004
