doc,exp,sent_t,chain_t,umap_t,hdbscan_t,cluster_t
4546,allow_hierarchical,0,0.0,0.071,,0.002
4547,allow_hierarchical,0,0.001,0.088,,0.002
4548,allow_hierarchical,0,0.0,0.073,,0.002
4549,allow_hierarchical,0,0.001,0.069,,0.002
4550,allow_hierarchical,0,0.002,0.129,,0.002
4551,allow_hierarchical,0,0.002,0.101,,0.002
4552,allow_hierarchical,0,0.001,0.079,,0.002
4553,allow_hierarchical,0,0.003,0.103,,0.003
4554,allow_hierarchical,0,0.002,0.103,,0.003
4555,allow_hierarchical,0,0.009,0.19,,0.002
4556,allow_hierarchical,0,0.011,0.289,,0.005
4557,allow_hierarchical,0,0.001,0.103,,0.002
4558,allow_hierarchical,0,0.003,0.088,,0.002
4559,allow_hierarchical,0,0.004,0.16,,0.003
4560,allow_hierarchical,0,0.001,0.082,,0.002
4561,allow_hierarchical,0,0.001,0.085,,0.003
4562,allow_hierarchical,0,0.001,0.07,,0.002
4563,allow_hierarchical,0,0.0,0.033,,0.001
4564,allow_hierarchical,0,0.004,0.208,,0.004
4565,allow_hierarchical,0,0.002,0.122,,0.002
4566,allow_hierarchical,0,0.009,0.339,,0.005
4567,allow_hierarchical,0,0.0,0.086,,0.002
4568,allow_hierarchical,0,0.005,0.366,,0.007
4569,allow_hierarchical,0,0.005,0.154,,0.003
4570,allow_hierarchical,0,0.002,0.076,,0.002
4571,allow_hierarchical,0,0.009,0.275,,0.003
4572,allow_hierarchical,0,0.001,0.069,,0.002
4573,allow_hierarchical,0,0.0,0.081,,0.002
4574,allow_hierarchical,0,0.001,0.064,,0.002
4575,allow_hierarchical,0,0.002,0.07,,0.002
4576,allow_hierarchical,0,0.006,0.211,,0.003
4577,allow_hierarchical,0,0.006,0.1,,0.002
4578,allow_hierarchical,0,0.007,0.165,,0.002
4579,allow_hierarchical,0,0.006,0.17,,0.002
4580,allow_hierarchical,0,0.001,0.093,,0.003
4581,allow_hierarchical,0,0.003,0.131,,0.002
4582,allow_hierarchical,0,0.003,0.117,,0.003
4583,allow_hierarchical,0,0.001,0.086,,0.002
4584,allow_hierarchical,0,0.003,0.11,,0.003
4585,allow_hierarchical,0,0.001,0.072,,0.002
4586,allow_hierarchical,0,0.004,0.16,,0.002
4587,allow_hierarchical,0,0.002,0.111,,0.002
4588,allow_hierarchical,0,0.005,0.179,,0.002
4589,allow_hierarchical,0,0.004,0.16,,0.003
4590,allow_hierarchical,0,0.001,0.073,,0.002
4591,allow_hierarchical,0,0.002,0.109,,0.003
4592,allow_hierarchical,0,0.002,0.108,,0.003
4593,allow_hierarchical,0,0.003,0.092,,0.003
4594,allow_hierarchical,0,0.0,0.057,,0.001
4595,allow_hierarchical,0,0.002,0.114,,0.003
4596,allow_hierarchical,0,0.0,0.068,,0.002
4597,allow_hierarchical,0,0.002,0.083,,0.002
4598,allow_hierarchical,0,0.004,0.119,,0.002
4599,allow_hierarchical,0,0.0,0.073,,0.004
4600,allow_hierarchical,0,0.002,0.09,,0.002
4601,allow_hierarchical,0,0.007,0.222,,0.004
4602,allow_hierarchical,0,0.003,0.267,,0.004
4603,allow_hierarchical,0,0.008,0.529,,0.006
4604,allow_hierarchical,0,0.001,0.07,,0.002
4605,allow_hierarchical,0,0.0,0.089,,0.002
4606,allow_hierarchical,0,0.001,0.157,,0.002
4607,allow_hierarchical,0,0.019,0.254,,0.004
4608,allow_hierarchical,0,0.003,0.157,,0.002
4609,allow_hierarchical,0,0.0,0.066,,0.002
4610,allow_hierarchical,0,0.0,0.067,,0.002
4611,allow_hierarchical,0,0.004,0.092,,0.002
4612,allow_hierarchical,0,0.002,0.197,,0.003
4613,allow_hierarchical,0,0.002,0.121,,0.002
4614,allow_hierarchical,0,0.002,0.106,,0.002
4615,allow_hierarchical,0,0.003,0.151,,0.002
4616,allow_hierarchical,0,0.005,0.217,,0.005
4617,allow_hierarchical,0,0.004,0.236,,0.004
4618,allow_hierarchical,0,0.005,0.096,,0.002
4619,allow_hierarchical,0,0.006,0.341,,0.009
4620,allow_hierarchical,0,0.002,0.08,,0.002
4621,allow_hierarchical,0,0.001,0.091,,0.002
4622,allow_hierarchical,0,0.005,0.137,,0.002
4623,allow_hierarchical,0,0.004,0.172,,0.004
4624,allow_hierarchical,0,0.004,0.103,,0.003
4625,allow_hierarchical,0,0.007,0.116,,0.003
4626,allow_hierarchical,0,0.013,0.625,,0.009
4627,allow_hierarchical,0,0.007,0.177,,0.003
4628,allow_hierarchical,0,0.001,0.142,,0.002
4629,allow_hierarchical,0,0.004,0.131,,0.002
4630,allow_hierarchical,0,0.011,0.353,,0.004
4631,allow_hierarchical,0,0.003,0.103,,0.002
4632,allow_hierarchical,0,0.005,0.098,,0.003
4633,allow_hierarchical,0,0.003,0.073,,0.002
4634,allow_hierarchical,0,0.004,0.196,,0.004
4635,allow_hierarchical,0,0.005,0.184,,0.004
4636,allow_hierarchical,0,0.001,0.069,,0.002
4637,allow_hierarchical,0,0.0,0.102,,0.002
4638,allow_hierarchical,0,0.004,0.165,,0.003
4639,allow_hierarchical,0,0.0,0.018,,0.002
4640,allow_hierarchical,0,0.0,0.04,,0.002
4641,allow_hierarchical,0,0.001,0.07,,0.002
4642,allow_hierarchical,0,0.009,0.238,,0.005
4643,allow_hierarchical,0,0.005,0.177,,0.003
4644,allow_hierarchical,0,0.007,0.124,,0.003
4645,allow_hierarchical,0,0.003,0.189,,0.003
4646,allow_hierarchical,0,0.002,0.091,,0.002
4647,allow_hierarchical,0,0.005,0.072,,0.002
4648,allow_hierarchical,0,0.002,0.198,,0.003
4649,allow_hierarchical,0,0.006,0.174,,0.002
4650,allow_hierarchical,0,0.0,0.09,,0.002
4651,allow_hierarchical,0,0.004,0.112,,0.003
4652,allow_hierarchical,0,0.006,0.17,,0.004
4653,allow_hierarchical,0,0.003,0.088,,0.002
4654,allow_hierarchical,0,0.007,0.247,,0.005
4655,allow_hierarchical,0,0.001,0.086,,0.003
4656,allow_hierarchical,0,0.004,0.158,,0.002
4657,allow_hierarchical,0,0.004,0.263,,0.004
4658,allow_hierarchical,0,0.001,0.093,,0.002
4659,allow_hierarchical,0,0.003,0.142,,0.003
4660,allow_hierarchical,0,0.002,0.11,,0.002
4661,allow_hierarchical,0,0.003,0.104,,0.003
4662,allow_hierarchical,0,0.002,0.112,,0.003
4663,allow_hierarchical,0,0.009,0.155,,0.002
4664,allow_hierarchical,0,0.001,0.084,,0.002
4665,allow_hierarchical,0,0.001,0.078,,0.002
4666,allow_hierarchical,0,0.007,0.173,,0.004
4667,allow_hierarchical,0,0.002,0.073,,0.002
4668,allow_hierarchical,0,0.007,0.233,,0.005
4669,allow_hierarchical,0,0.004,0.182,,0.004
4670,allow_hierarchical,0,0.002,0.063,,0.002
4671,allow_hierarchical,0,0.004,0.14,,0.003
4672,allow_hierarchical,0,0.002,0.075,,0.001
4673,allow_hierarchical,0,0.003,0.109,,0.002
4674,allow_hierarchical,0,0.002,0.11,,0.003
4675,allow_hierarchical,0,0.003,0.16,,0.003
4676,allow_hierarchical,0,0.003,0.105,,0.002
4677,allow_hierarchical,0,0.005,0.298,,0.005
4678,allow_hierarchical,0,0.002,0.115,,0.002
4679,allow_hierarchical,0,0.005,0.091,,0.002
4680,allow_hierarchical,0,0.003,0.078,,0.002
4681,allow_hierarchical,0,0.006,0.112,,0.003
4682,allow_hierarchical,0,0.0,0.033,,0.002
4683,allow_hierarchical,0,0.002,0.099,,0.002
4684,allow_hierarchical,0,0.002,0.081,,0.002
4685,allow_hierarchical,0,0.002,0.09,,0.002
4686,allow_hierarchical,0,0.003,0.129,,0.003
4687,allow_hierarchical,0,0.008,0.256,,0.005
4688,allow_hierarchical,0,0.001,0.077,,0.002
4689,allow_hierarchical,0,0.004,0.085,,0.002
4690,allow_hierarchical,0,0.002,0.093,,0.003
4691,allow_hierarchical,0,0.001,0.092,,0.002
4692,allow_hierarchical,0,0.005,0.085,,0.002
4693,allow_hierarchical,0,0.013,0.298,,0.005
4694,allow_hierarchical,0,0.001,0.068,,0.002
4695,allow_hierarchical,0,0.0,0.064,,0.002
4696,allow_hierarchical,0,0.0,0.093,,0.003
4697,allow_hierarchical,0,0.002,0.102,,0.003
4698,allow_hierarchical,0,0.0,0.061,,0.002
4699,allow_hierarchical,0,0.0,0.013,,0.002
4700,allow_hierarchical,0,0.001,0.113,,0.002
4701,allow_hierarchical,0,0.007,0.181,,0.003
4702,allow_hierarchical,0,0.002,0.078,,0.002
4703,allow_hierarchical,0,0.002,0.084,,0.003
4704,allow_hierarchical,0,0.005,0.142,,0.002
4705,allow_hierarchical,0,0.002,0.095,,0.002
4706,allow_hierarchical,0,0.004,0.13,,0.003
4707,allow_hierarchical,0,0.005,0.182,,0.008
4708,allow_hierarchical,0,0.004,0.155,,0.004
4709,allow_hierarchical,0,0.015,0.533,,0.007
4710,allow_hierarchical,0,0.001,0.141,,0.003
4711,allow_hierarchical,0,0.003,0.229,,0.004
4712,allow_hierarchical,0,0.011,0.193,,0.003
4713,allow_hierarchical,0,0.001,0.138,,0.002
4714,allow_hierarchical,0,0.019,0.194,,0.003
4715,allow_hierarchical,0,0.012,0.215,,0.003
4716,allow_hierarchical,0,0.002,0.07,,0.002
4717,allow_hierarchical,0,0.019,0.336,,0.006
4718,allow_hierarchical,0,0.0,0.079,,0.002
4719,allow_hierarchical,0,0.001,0.066,,0.002
4720,allow_hierarchical,0,0.003,0.117,,0.003
4721,allow_hierarchical,0,0.004,0.264,,0.004
4722,allow_hierarchical,0,0.007,0.126,,0.002
4723,allow_hierarchical,0,0.002,0.11,,0.003
4724,allow_hierarchical,0,0.002,0.095,,0.003
4725,allow_hierarchical,0,0.002,0.122,,0.003
4726,allow_hierarchical,0,0.0,0.053,,0.002
4727,allow_hierarchical,0,0.008,0.217,,0.003
4728,allow_hierarchical,0,0.006,0.12,,0.003
4729,allow_hierarchical,0,0.005,0.151,,0.003
4730,allow_hierarchical,0,0.0,0.075,,0.003
4731,allow_hierarchical,0,0.009,0.243,,0.003
4732,allow_hierarchical,0,0.001,0.074,,0.002
4733,allow_hierarchical,0,0.004,0.093,,0.002
4734,allow_hierarchical,0,0.004,0.175,,0.002
4735,allow_hierarchical,0,0.006,0.23,,0.003
4736,allow_hierarchical,0,0.0,0.074,,0.002
4737,allow_hierarchical,0,0.0,0.015,,0.001
4738,allow_hierarchical,0,0.0,0.093,,0.002
4739,allow_hierarchical,0,0.0,0.013,,0.001
4740,allow_hierarchical,0,0.003,0.147,,0.002
4741,allow_hierarchical,0,0.003,0.106,,0.003
4742,allow_hierarchical,0,0.007,0.194,,0.002
4743,allow_hierarchical,0,0.01,0.147,,0.003
4744,allow_hierarchical,0,0.0,0.064,,0.002
4745,allow_hierarchical,0,0.0,0.057,,0.002
4746,allow_hierarchical,0,0.003,0.083,,0.002
4747,allow_hierarchical,0,0.004,0.128,,0.002
4748,allow_hierarchical,0,0.001,0.116,,0.002
4749,allow_hierarchical,0,0.002,0.09,,0.002
4750,allow_hierarchical,0,0.004,0.168,,0.002
4751,allow_hierarchical,0,0.004,0.101,,0.002
4753,allow_hierarchical,0,0.003,0.124,,0.002
4754,allow_hierarchical,0,0.003,0.096,,0.002
4755,allow_hierarchical,0,0.001,0.073,,0.002
4756,allow_hierarchical,0,0.004,0.173,,0.002
4757,allow_hierarchical,0,0.006,0.196,,0.004
4758,allow_hierarchical,0,0.0,0.066,,0.002
4759,allow_hierarchical,0,0.002,0.069,,0.002
4760,allow_hierarchical,0,0.012,0.175,,0.002
4761,allow_hierarchical,0,0.001,0.082,,0.002
4762,allow_hierarchical,0,0.001,0.069,,0.003
4763,allow_hierarchical,0,0.003,0.142,,0.002
4764,allow_hierarchical,0,0.012,0.274,,0.005
4765,allow_hierarchical,0,0.005,0.109,,0.002
4766,allow_hierarchical,0,0.005,0.157,,0.003
4767,allow_hierarchical,0,0.005,0.127,,0.002
4768,allow_hierarchical,0,0.002,0.142,,0.003
4769,allow_hierarchical,0,0.001,0.086,,0.002
4770,allow_hierarchical,0,0.006,0.229,,0.003
4771,allow_hierarchical,0,0.0,0.008,,0.001
4772,allow_hierarchical,0,0.004,0.143,,0.002
4773,allow_hierarchical,0,0.011,0.278,,0.006
4774,allow_hierarchical,0,0.003,0.155,,0.002
4775,allow_hierarchical,0,0.008,0.146,,0.003
4776,allow_hierarchical,0,0.003,0.092,,0.002
4777,allow_hierarchical,0,0.003,0.147,,0.003
4778,allow_hierarchical,0,0.002,0.089,,0.003
4779,allow_hierarchical,0,0.004,0.215,,0.003
4780,allow_hierarchical,0,0.005,0.189,,0.004
4781,allow_hierarchical,0,0.004,0.124,,0.002
4782,allow_hierarchical,0,0.004,0.134,,0.002
4783,allow_hierarchical,0,0.002,0.075,,0.002
4784,allow_hierarchical,0,0.0,0.067,,0.001
4785,allow_hierarchical,0,0.004,0.087,,0.002
4786,allow_hierarchical,0,0.004,0.08,,0.002
4787,allow_hierarchical,0,0.0,0.068,,0.002
4788,allow_hierarchical,0,0.0,0.057,,0.001
4789,allow_hierarchical,0,0.002,0.088,,0.002
4790,allow_hierarchical,0,0.003,0.162,,0.002
4791,allow_hierarchical,0,0.005,0.163,,0.003
4792,allow_hierarchical,0,0.003,0.09,,0.003
4793,allow_hierarchical,0,0.002,0.074,,0.002
4794,allow_hierarchical,0,0.355,0.383,,0.004
4795,allow_hierarchical,0,0.001,0.114,,0.002
4796,allow_hierarchical,0,0.007,0.206,,0.003
4797,allow_hierarchical,0,0.004,0.068,,0.002
4798,allow_hierarchical,0,0.0,0.05,,0.002
4799,allow_hierarchical,0,0.007,0.184,,0.004
4800,allow_hierarchical,0,0.003,0.123,,0.002
4801,allow_hierarchical,0,0.009,0.219,,0.004
4802,allow_hierarchical,0,0.005,0.266,,0.004
4803,allow_hierarchical,0,0.003,0.098,,0.002
4804,allow_hierarchical,0,0.006,0.156,,0.002
4805,allow_hierarchical,0,0.004,0.153,,0.002
4806,allow_hierarchical,0,0.005,0.095,,0.002
4807,allow_hierarchical,0,0.003,0.065,,0.002
4808,allow_hierarchical,0,0.004,0.118,,0.002
4809,allow_hierarchical,0,0.0,0.068,,0.002
4810,allow_hierarchical,0,0.001,0.081,,0.002
4811,allow_hierarchical,0,0.0,0.011,,0.001
4812,allow_hierarchical,0,0.003,0.175,,0.004
4813,allow_hierarchical,0,0.002,0.161,,0.002
4814,allow_hierarchical,0,0.001,0.107,,0.003
4815,allow_hierarchical,0,0.002,0.123,,0.002
4816,allow_hierarchical,0,0.003,0.111,,0.002
4817,allow_hierarchical,0,0.001,0.063,,0.002
4818,allow_hierarchical,0,0.003,0.207,,0.003
4819,allow_hierarchical,0,0.0,0.04,,0.001
4820,allow_hierarchical,0,0.02,0.369,,0.004
4821,allow_hierarchical,0,0.002,0.067,,0.002
4822,allow_hierarchical,0,0.013,0.352,,0.007
4823,allow_hierarchical,0,0.0,0.035,,0.001
4824,allow_hierarchical,0,0.004,0.152,,0.003
4825,allow_hierarchical,0,0.004,0.173,,0.003
4826,allow_hierarchical,0,0.0,0.01,,0.001
4827,allow_hierarchical,0,0.008,0.275,,0.003
4828,allow_hierarchical,0,0.003,0.138,,0.003
4829,allow_hierarchical,0,0.008,0.204,,0.003
4830,allow_hierarchical,0,0.001,0.069,,0.002
4831,allow_hierarchical,0,0.006,0.185,,0.004
4832,allow_hierarchical,0,0.004,0.141,,0.004
4833,allow_hierarchical,0,0.001,0.068,,0.002
4834,allow_hierarchical,0,0.0,0.017,,0.002
4835,allow_hierarchical,0,0.001,0.077,,0.002
4836,allow_hierarchical,0,0.001,0.127,,0.002
4837,allow_hierarchical,0,0.003,0.161,,0.002
4838,allow_hierarchical,0,0.006,0.095,,0.002
4839,allow_hierarchical,0,0.008,0.386,,0.003
4840,allow_hierarchical,0,0.003,0.177,,0.003
4841,allow_hierarchical,0,0.006,0.094,,0.003
4842,allow_hierarchical,0,0.009,0.374,,0.005
4843,allow_hierarchical,0,0.004,0.173,,0.003
4844,allow_hierarchical,0,0.002,0.083,,0.002
4845,allow_hierarchical,0,0.018,0.575,,0.009
4846,allow_hierarchical,0,0.0,0.074,,0.002
4847,allow_hierarchical,0,0.008,0.179,,0.002
4848,allow_hierarchical,0,0.006,0.194,,0.003
4849,allow_hierarchical,0,0.02,0.213,,0.003
4850,allow_hierarchical,0,0.004,0.168,,0.002
4851,allow_hierarchical,0,0.008,0.341,,0.006
4852,allow_hierarchical,0,0.004,0.201,,0.004
4853,allow_hierarchical,0,0.0,0.042,,0.001
4854,allow_hierarchical,0,0.008,0.294,,0.004
4855,allow_hierarchical,0,0.0,0.083,,0.002
4856,allow_hierarchical,0,0.003,0.098,,0.003
4857,allow_hierarchical,0,0.0,0.074,,0.002
4858,allow_hierarchical,0,0.004,0.089,,0.002
4859,allow_hierarchical,0,0.002,0.112,,0.002
4860,allow_hierarchical,0,0.01,0.13,,0.003
4861,allow_hierarchical,0,0.007,0.204,,0.004
4862,allow_hierarchical,0,0.006,0.16,,0.002
4863,allow_hierarchical,0,0.003,0.108,,0.002
4864,allow_hierarchical,0,0.003,0.145,,0.003
4865,allow_hierarchical,0,0.002,0.078,,0.003
4866,allow_hierarchical,0,0.007,0.202,,0.004
4867,allow_hierarchical,0,0.001,0.086,,0.002
4868,allow_hierarchical,0,0.012,0.407,,0.005
4869,allow_hierarchical,0,0.002,0.136,,0.003
4870,allow_hierarchical,0,0.001,0.114,,0.003
4871,allow_hierarchical,0,0.0,0.087,,0.003
4872,allow_hierarchical,0,0.003,0.183,,0.004
4873,allow_hierarchical,0,0.005,0.157,,0.004
4874,allow_hierarchical,0,0.002,0.107,,0.003
4875,allow_hierarchical,0,0.005,0.222,,0.004
4876,allow_hierarchical,0,0.008,0.353,,0.004
4877,allow_hierarchical,0,0.002,0.116,,0.002
4878,allow_hierarchical,0,0.009,0.188,,0.002
4879,allow_hierarchical,0,0.011,0.408,,0.006
4880,allow_hierarchical,0,0.003,0.168,,0.004
4881,allow_hierarchical,0,0.0,0.095,,0.003
4882,allow_hierarchical,0,0.004,0.191,,0.005
4883,allow_hierarchical,0,0.004,0.132,,0.003
4884,allow_hierarchical,0,0.009,0.205,,0.004
4885,allow_hierarchical,0,0.003,0.12,,0.004
4886,allow_hierarchical,0,0.006,0.361,,0.004
4887,allow_hierarchical,0,0.017,0.628,,0.004
4888,allow_hierarchical,0,0.001,0.117,,0.003
4889,allow_hierarchical,0,0.008,0.261,,0.005
4890,allow_hierarchical,0,0.005,0.223,,0.004
4891,allow_hierarchical,0,0.031,0.368,,0.005
4892,allow_hierarchical,0,0.007,0.134,,0.002
4893,allow_hierarchical,0,0.002,0.086,,0.002
4894,allow_hierarchical,0,0.002,0.132,,0.004
4895,allow_hierarchical,0,0.0,0.099,,0.003
4896,allow_hierarchical,0,0.002,0.081,,0.003
4897,allow_hierarchical,0,0.001,0.08,,0.002
4898,allow_hierarchical,0,0.007,0.246,,0.003
4899,allow_hierarchical,0,0.008,0.182,,0.002
4900,allow_hierarchical,0,0.005,0.124,,0.002
4901,allow_hierarchical,0,0.016,0.276,,0.003
4902,allow_hierarchical,0,0.006,0.142,,0.002
4903,allow_hierarchical,0,0.002,0.109,,0.002
4904,allow_hierarchical,0,0.002,0.16,,0.004
4905,allow_hierarchical,0,0.004,0.137,,0.002
4906,allow_hierarchical,0,0.001,0.079,,0.002
4907,allow_hierarchical,0,0.0,0.069,,0.002
4908,allow_hierarchical,0,0.003,0.142,,0.002
4909,allow_hierarchical,0,0.002,0.12,,0.003
4910,allow_hierarchical,0,0.003,0.19,,0.003
4911,allow_hierarchical,0,0.003,0.107,,0.002
4912,allow_hierarchical,0,0.012,0.166,,0.002
4913,allow_hierarchical,0,0.001,0.089,,0.003
4914,allow_hierarchical,0,0.007,0.223,,0.003
4915,allow_hierarchical,0,0.003,0.081,,0.002
4916,allow_hierarchical,0,0.004,0.123,,0.003
4917,allow_hierarchical,0,0.002,0.091,,0.003
4918,allow_hierarchical,0,0.002,0.068,,0.002
4919,allow_hierarchical,0,0.001,0.073,,0.002
4920,allow_hierarchical,0,0.002,0.118,,0.003
4921,allow_hierarchical,0,0.004,0.149,,0.004
4922,allow_hierarchical,0,0.004,0.078,,0.002
4923,allow_hierarchical,0,0.008,0.142,,0.003
4924,allow_hierarchical,0,0.004,0.147,,0.003
4925,allow_hierarchical,0,0.005,0.152,,0.003
4926,allow_hierarchical,0,0.001,0.099,,0.002
4927,allow_hierarchical,0,0.017,0.151,,0.002
4928,allow_hierarchical,0,0.003,0.091,,0.002
4929,allow_hierarchical,0,0.0,0.079,,0.002
4930,allow_hierarchical,0,0.014,0.38,,0.004
4931,allow_hierarchical,0,0.004,0.249,,0.004
4932,allow_hierarchical,0,0.003,0.064,,0.002
4933,allow_hierarchical,0,0.003,0.213,,0.003
4934,allow_hierarchical,0,0.002,0.103,,0.002
4935,allow_hierarchical,0,0.003,0.198,,0.003
4936,allow_hierarchical,0,0.003,0.081,,0.002
4937,allow_hierarchical,0,0.006,0.127,,0.003
4938,allow_hierarchical,0,0.001,0.076,,0.002
4939,allow_hierarchical,0,0.004,0.155,,0.004
4940,allow_hierarchical,0,0.0,0.086,,0.002
4941,allow_hierarchical,0,0.0,0.039,,0.001
4942,allow_hierarchical,0,0.0,0.043,,0.002
4943,allow_hierarchical,0,0.0,0.048,,0.002
4944,allow_hierarchical,0,0.002,0.097,,0.002
4945,allow_hierarchical,0,0.005,0.143,,0.004
4946,allow_hierarchical,0,0.003,0.148,,0.002
4947,allow_hierarchical,0,0.0,0.059,,0.002
4948,allow_hierarchical,0,0.001,0.076,,0.002
4949,allow_hierarchical,0,0.008,0.455,,0.007
4950,allow_hierarchical,0,0.001,0.078,,0.002
4951,allow_hierarchical,0,0.001,0.072,,0.002
4952,allow_hierarchical,0,0.004,0.156,,0.002
4953,allow_hierarchical,0,0.002,0.091,,0.002
4954,allow_hierarchical,0,0.004,0.103,,0.002
4955,allow_hierarchical,0,0.003,0.115,,0.003
4956,allow_hierarchical,0,0.0,0.077,,0.002
4957,allow_hierarchical,0,0.003,0.113,,0.007
4958,allow_hierarchical,0,0.006,0.172,,0.008
4959,allow_hierarchical,0,0.003,0.17,,0.003
4960,allow_hierarchical,0,0.009,0.182,,0.004
4961,allow_hierarchical,0,0.013,0.464,,0.005
4962,allow_hierarchical,0,0.005,0.218,,0.002
4963,allow_hierarchical,0,0.005,0.136,,0.002
4964,allow_hierarchical,0,0.002,0.106,,0.003
4965,allow_hierarchical,0,0.003,0.081,,0.002
4966,allow_hierarchical,0,0.005,0.105,,0.003
4967,allow_hierarchical,0,0.005,0.214,,0.003
4968,allow_hierarchical,0,0.003,0.121,,0.003
4969,allow_hierarchical,0,0.002,0.072,,0.002
4970,allow_hierarchical,0,0.002,0.106,,0.002
4971,allow_hierarchical,0,0.002,0.076,,0.002
4972,allow_hierarchical,0,0.018,0.314,,0.003
4973,allow_hierarchical,0,0.006,0.145,,0.002
4974,allow_hierarchical,0,0.001,0.124,,0.003
4975,allow_hierarchical,0,0.003,0.11,,0.002
4976,allow_hierarchical,0,0.001,0.07,,0.002
4977,allow_hierarchical,0,0.017,0.193,,0.004
4978,allow_hierarchical,0,0.002,0.083,,0.002
4979,allow_hierarchical,0,0.003,0.154,,0.003
4980,allow_hierarchical,0,0.002,0.121,,0.003
4981,allow_hierarchical,0,0.002,0.116,,0.002
4982,allow_hierarchical,0,0.003,0.176,,0.004
4983,allow_hierarchical,0,0.004,0.149,,0.002
4984,allow_hierarchical,0,0.004,0.092,,0.002
4985,allow_hierarchical,0,0.004,0.138,,0.003
4986,allow_hierarchical,0,0.011,0.238,,0.005
4987,allow_hierarchical,0,0.004,0.131,,0.003
4988,allow_hierarchical,0,0.003,0.081,,0.002
4989,allow_hierarchical,0,0.004,0.232,,0.004
4990,allow_hierarchical,0,0.002,0.105,,0.002
4991,allow_hierarchical,0,0.002,0.105,,0.002
4992,allow_hierarchical,0,0.006,0.217,,0.004
4993,allow_hierarchical,0,0.008,0.234,,0.004
4994,allow_hierarchical,0,0.001,0.07,,0.002
4995,allow_hierarchical,0,0.007,0.133,,0.002
4996,allow_hierarchical,0,0.004,0.172,,0.003
4997,allow_hierarchical,0,0.004,0.104,,0.002
4998,allow_hierarchical,0,0.006,0.182,,0.003
4999,allow_hierarchical,0,0.001,0.097,,0.002
5000,allow_hierarchical,0,0.0,0.014,,0.001
5001,allow_hierarchical,0,0.007,0.208,,0.003
5002,allow_hierarchical,0,0.003,0.132,,0.002
5003,allow_hierarchical,0,0.001,0.074,,0.003
5004,allow_hierarchical,0,0.0,0.075,,0.002
5005,allow_hierarchical,0,0.0,0.063,,0.002
5006,allow_hierarchical,0,0.0,0.101,,0.002
5007,allow_hierarchical,0,0.001,0.078,,0.003
5008,allow_hierarchical,0,0.004,0.119,,0.003
5009,allow_hierarchical,0,0.004,0.151,,0.002
5010,allow_hierarchical,0,0.0,0.084,,0.002
5011,allow_hierarchical,0,0.004,0.134,,0.004
5012,allow_hierarchical,0,0.006,0.294,,0.006
5013,allow_hierarchical,0,0.007,0.2,,0.004
5014,allow_hierarchical,0,0.004,0.094,,0.002
5015,allow_hierarchical,0,0.005,0.097,,0.002
5016,allow_hierarchical,0,0.02,0.228,,0.003
5018,allow_hierarchical,0,0.003,0.119,,0.002
5019,allow_hierarchical,0,0.004,0.068,,0.003
5020,allow_hierarchical,0,0.003,0.07,,0.002
5021,allow_hierarchical,0,0.002,0.088,,0.002
5022,allow_hierarchical,0,0.001,0.075,,0.003
5023,allow_hierarchical,0,0.004,0.134,,0.002
5024,allow_hierarchical,0,0.003,0.095,,0.002
5025,allow_hierarchical,0,0.0,0.079,,0.002
5026,allow_hierarchical,0,0.004,0.109,,0.003
5027,allow_hierarchical,0,0.007,0.162,,0.003
5028,allow_hierarchical,0,0.004,0.139,,0.002
5029,allow_hierarchical,0,0.003,0.084,,0.002
5030,allow_hierarchical,0,0.003,0.146,,0.002
5031,allow_hierarchical,0,0.006,0.083,,0.002
5032,allow_hierarchical,0,0.001,0.084,,0.002
5033,allow_hierarchical,0,0.0,0.058,,0.002
5034,allow_hierarchical,0,0.002,0.074,,0.002
5035,allow_hierarchical,0,0.008,0.301,,0.005
5036,allow_hierarchical,0,0.005,0.21,,0.004
5037,allow_hierarchical,0,0.004,0.126,,0.003
5038,allow_hierarchical,0,0.001,0.125,,0.002
5039,allow_hierarchical,0,0.003,0.14,,0.002
5040,allow_hierarchical,0,0.007,0.205,,0.003
5041,allow_hierarchical,0,0.007,0.259,,0.004
5042,allow_hierarchical,0,0.008,0.154,,0.003
5043,allow_hierarchical,0,0.006,0.201,,0.004
5044,allow_hierarchical,0,0.003,0.146,,0.003
5045,allow_hierarchical,0,0.001,0.081,,0.002
5046,allow_hierarchical,0,0.011,0.28,,0.003
5047,allow_hierarchical,0,0.0,0.084,,0.002
5048,allow_hierarchical,0,0.004,0.072,,0.002
5049,allow_hierarchical,0,0.001,0.068,,0.002
5050,allow_hierarchical,0,0.001,0.093,,0.003
5051,allow_hierarchical,0,0.002,0.095,,0.002
5052,allow_hierarchical,0,0.002,0.143,,0.003
5053,allow_hierarchical,0,0.009,0.159,,0.003
5054,allow_hierarchical,0,0.006,0.216,,0.003
5055,allow_hierarchical,0,0.021,0.324,,0.005
5056,allow_hierarchical,0,0.006,0.142,,0.002
5057,allow_hierarchical,0,0.004,0.16,,0.004
5058,allow_hierarchical,0,0.002,0.077,,0.003
5060,allow_hierarchical,0,0.0,0.085,,0.002
5061,allow_hierarchical,0,0.003,0.09,,0.003
5062,allow_hierarchical,0,0.011,0.292,,0.004
5063,allow_hierarchical,0,0.0,0.078,,0.002
5064,allow_hierarchical,0,0.007,0.289,,0.005
5065,allow_hierarchical,0,0.002,0.087,,0.003
