doc,exp,sent_t,chain_t,umap_t,cluster_t
0,allow_hierarchical,0,0.006,12.59,0.005
1,allow_hierarchical,0,0.003,12.636,0.003
2,allow_hierarchical,0,0.012,12.841,0.004
3,allow_hierarchical,0,0.002,12.592,0.004
4,allow_hierarchical,0,0.009,12.668,0.004
5,allow_hierarchical,0,0.008,12.66,0.003
6,allow_hierarchical,0,0.003,0.095,0.002
7,allow_hierarchical,0,0.006,0.105,0.003
8,allow_hierarchical,0,0.005,0.126,0.003
9,allow_hierarchical,0,0.011,0.15,0.002
10,allow_hierarchical,0,0.002,0.107,0.002
11,allow_hierarchical,0,0.003,0.159,0.003
12,allow_hierarchical,0,0.006,0.154,0.002
13,allow_hierarchical,0,0.005,0.174,0.002
14,allow_hierarchical,0,0.003,0.163,0.003
15,allow_hierarchical,0,0.0,0.0,0.002
16,allow_hierarchical,0,0.001,0.062,0.002
17,allow_hierarchical,0,0.001,0.073,0.002
18,allow_hierarchical,0,0.0,0.0,0.001
19,allow_hierarchical,0,0.004,0.193,0.003
20,allow_hierarchical,0,0.003,0.143,0.003
21,allow_hierarchical,0,0.002,0.087,0.002
22,allow_hierarchical,0,0.003,0.076,0.002
23,allow_hierarchical,0,0.003,0.199,0.003
24,allow_hierarchical,0,0.002,0.099,0.003
25,allow_hierarchical,0,0.001,0.09,0.003
26,allow_hierarchical,0,0.009,0.159,0.002
27,allow_hierarchical,0,0.003,0.084,0.002
28,allow_hierarchical,0,0.001,0.071,0.002
29,allow_hierarchical,0,0.004,0.183,0.004
30,allow_hierarchical,0,0.001,0.065,0.002
31,allow_hierarchical,0,0.011,0.551,0.006
32,allow_hierarchical,0,0.002,0.111,0.003
33,allow_hierarchical,0,0.003,0.227,0.002
34,allow_hierarchical,0,0.002,0.099,0.002
35,allow_hierarchical,0,0.002,0.136,0.002
36,allow_hierarchical,0,0.016,0.274,0.003
37,allow_hierarchical,0,0.007,0.105,0.002
38,allow_hierarchical,0,0.0,0.0,0.002
39,allow_hierarchical,0,0.002,0.11,0.002
40,allow_hierarchical,0,0.003,0.072,0.002
41,allow_hierarchical,0,0.008,0.342,0.005
42,allow_hierarchical,0,0.007,0.118,0.004
43,allow_hierarchical,0,0.022,0.842,0.009
44,allow_hierarchical,0,0.005,0.068,0.001
45,allow_hierarchical,0,0.015,0.333,0.004
46,allow_hierarchical,0,0.005,0.189,0.004
47,allow_hierarchical,0,0.002,0.107,0.003
48,allow_hierarchical,0,0.006,0.144,0.003
49,allow_hierarchical,0,0.001,0.083,0.003
50,allow_hierarchical,0,0.005,0.087,0.002
51,allow_hierarchical,0,0.014,0.298,0.005
52,allow_hierarchical,0,0.008,0.241,0.004
53,allow_hierarchical,0,0.001,0.12,0.002
54,allow_hierarchical,0,0.004,0.112,0.002
55,allow_hierarchical,0,0.007,0.17,0.004
56,allow_hierarchical,0,0.001,0.0,0.001
57,allow_hierarchical,0,0.0,0.077,0.002
58,allow_hierarchical,0,0.002,0.094,0.002
59,allow_hierarchical,0,0.003,0.097,0.002
60,allow_hierarchical,0,0.008,0.192,0.004
61,allow_hierarchical,0,0.004,0.15,0.003
62,allow_hierarchical,0,0.007,0.186,0.003
63,allow_hierarchical,0,0.002,0.094,0.003
64,allow_hierarchical,0,0.005,0.184,0.004
65,allow_hierarchical,0,0.003,0.169,0.004
66,allow_hierarchical,0,0.01,0.21,0.004
67,allow_hierarchical,0,0.006,0.222,0.003
68,allow_hierarchical,0,0.008,0.415,0.007
69,allow_hierarchical,0,0.005,0.307,0.005
70,allow_hierarchical,0,0.003,0.124,0.002
71,allow_hierarchical,0,0.001,0.102,0.003
72,allow_hierarchical,0,0.004,0.265,0.005
73,allow_hierarchical,0,0.004,0.122,0.002
74,allow_hierarchical,0,0.0,0.0,0.0
75,allow_hierarchical,0,0.009,0.349,0.005
76,allow_hierarchical,0,0.004,0.134,0.003
77,allow_hierarchical,0,0.006,0.192,0.003
78,allow_hierarchical,0,0.0,0.103,0.002
79,allow_hierarchical,0,0.011,0.192,0.004
80,allow_hierarchical,0,0.0,0.082,0.002
81,allow_hierarchical,0,0.002,0.081,0.004
82,allow_hierarchical,0,0.007,0.184,0.004
83,allow_hierarchical,0,0.004,0.113,0.002
84,allow_hierarchical,0,0.002,0.097,0.002
85,allow_hierarchical,0,0.007,0.3,0.007
86,allow_hierarchical,0,0.004,0.137,0.003
87,allow_hierarchical,0,0.009,0.233,0.005
88,allow_hierarchical,0,0.014,0.395,0.005
89,allow_hierarchical,0,0.0,0.0,0.002
90,allow_hierarchical,0,0.003,0.167,0.004
91,allow_hierarchical,0,0.001,0.098,0.002
92,allow_hierarchical,0,0.003,0.076,0.002
93,allow_hierarchical,0,0.022,0.357,0.004
94,allow_hierarchical,0,0.006,0.102,0.002
95,allow_hierarchical,0,0.001,0.103,0.003
96,allow_hierarchical,0,0.005,0.087,0.002
97,allow_hierarchical,0,0.005,0.188,0.003
98,allow_hierarchical,0,0.004,0.146,0.004
99,allow_hierarchical,0,0.007,0.164,0.002
