doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,test,0,0.686,10.216,0.003
1,test,0,0.002,10.804,0.004
2,test,0,0.682,10.234,0.004
3,test,0,0.002,10.887,0.002
4,test,0,0.007,11.051,0.003
5,test,0,0.687,10.312,0.004
6,test,0,0.003,0.116,0.002
7,test,0,0.011,0.125,0.003
8,test,0,0.005,0.143,0.004
9,test,0,0.013,0.183,0.004
10,test,0,0.002,0.143,0.003
11,test,0,0.004,0.204,0.003
12,test,0,0.012,0.188,0.002
13,test,0,0.005,0.207,0.003
14,test,0,0.004,0.17,0.003
15,test,0,0.0,0.055,0.002
16,test,0,0.002,0.083,0.003
17,test,0,0.001,0.087,0.002
18,test,0,0.0,0.029,0.001
19,test,0,0.005,0.233,0.004
20,test,0,0.002,0.162,0.004
21,test,0,0.003,0.097,0.003
22,test,0,0.004,0.088,0.002
23,test,0,0.002,0.236,0.005
24,test,0,0.002,0.099,0.003
25,test,0,0.001,0.106,0.003
26,test,0,0.008,0.19,0.004
27,test,0,0.012,0.119,0.003
28,test,0,0.002,0.091,0.002
29,test,0,0.008,0.215,0.008
30,test,0,0.002,0.089,0.003
31,test,0,0.012,0.746,0.007
32,test,0,0.003,0.166,0.003
33,test,0,0.004,0.247,0.002
34,test,0,0.003,0.126,0.002
35,test,0,0.002,0.173,0.002
36,test,0,0.009,0.283,0.003
37,test,0,0.009,0.133,0.002
38,test,0,0.001,0.098,0.003
39,test,0,0.003,0.134,0.003
40,test,0,0.006,0.09,0.003
41,test,0,0.011,0.314,0.005
42,test,0,0.004,0.124,0.004
43,test,0,0.018,0.78,0.011
44,test,0,0.003,0.073,0.002
45,test,0,0.011,0.311,0.003
46,test,0,0.005,0.139,0.003
47,test,0,0.002,0.116,0.003
48,test,0,0.011,0.098,0.002
49,test,0,0.002,0.071,0.002
50,test,0,0.003,0.07,0.002
51,test,0,0.01,0.307,0.007
52,test,0,0.005,0.244,0.005
53,test,0,0.001,0.111,0.002
54,test,0,0.002,0.094,0.002
55,test,0,0.006,0.162,0.004
56,test,0,0.001,0.079,0.002
57,test,0,0.0,0.09,0.002
58,test,0,0.002,0.105,0.002
59,test,0,0.003,0.099,0.003
60,test,0,0.012,0.205,0.002
61,test,0,0.006,0.175,0.004
62,test,0,0.012,0.204,0.002
63,test,0,0.003,0.101,0.003
64,test,0,0.007,0.18,0.003
65,test,0,0.003,0.143,0.003
66,test,0,0.007,0.17,0.004
67,test,0,0.005,0.182,0.002
68,test,0,0.006,0.349,0.005
69,test,0,0.006,0.239,0.003
70,test,0,0.001,0.105,0.002
71,test,0,0.0,0.077,0.001
72,test,0,0.006,0.236,0.003
73,test,0,0.003,0.105,0.003
74,test,0,0.0,0.006,0.001
75,test,0,0.008,0.336,0.005
76,test,0,0.003,0.118,0.003
77,test,0,0.006,0.173,0.004
78,test,0,0.0,0.094,0.002
79,test,0,0.006,0.178,0.002
80,test,0,0.0,0.083,0.002
81,test,0,0.001,0.072,0.002
82,test,0,0.008,0.166,0.003
83,test,0,0.002,0.088,0.003
84,test,0,0.002,0.08,0.002
85,test,0,0.01,0.26,0.004
86,test,0,0.002,0.116,0.003
87,test,0,0.007,0.209,0.004
88,test,0,0.011,0.362,0.004
89,test,0,0.0,0.013,0.002
90,test,0,0.004,0.15,0.002
91,test,0,0.0,0.092,0.002
92,test,0,0.003,0.073,0.002
93,test,0,0.012,0.326,0.004
94,test,0,0.004,0.091,0.003
95,test,0,0.001,0.084,0.002
96,test,0,0.002,0.075,0.003
97,test,0,0.003,0.181,0.002
98,test,0,0.006,0.134,0.002
99,test,0,0.006,0.143,0.003
100,test,0,0.005,0.132,0.002
101,test,0,0.0,0.076,0.002
102,test,0,0.003,0.156,0.002
103,test,0,0.002,0.092,0.003
104,test,0,0.001,0.082,0.003
105,test,0,0.004,0.187,0.003
106,test,0,0.01,0.388,0.005
107,test,0,0.007,0.114,0.003
108,test,0,0.004,0.105,0.002
109,test,0,0.002,0.12,0.003
110,test,0,0.0,0.072,0.002
111,test,0,0.009,0.252,0.004
112,test,0,0.003,0.062,0.001
113,test,0,0.011,0.339,0.004
114,test,0,0.001,0.109,0.002
115,test,0,0.008,0.382,0.007
116,test,0,0.001,0.065,0.002
117,test,0,0.005,0.14,0.002
118,test,0,0.001,0.135,0.003
119,test,0,0.003,0.122,0.002
120,test,0,0.013,0.146,0.004
121,test,0,0.004,0.203,0.004
122,test,0,0.003,0.104,0.002
123,test,0,0.002,0.076,0.002
124,test,0,0.0,0.066,0.002
125,test,0,0.003,0.16,0.003
126,test,0,0.002,0.081,0.001
127,test,0,0.005,0.124,0.002
128,test,0,0.006,0.315,0.004
129,test,0,0.005,0.204,0.003
130,test,0,0.002,0.094,0.003
131,test,0,0.003,0.072,0.002
132,test,0,0.003,0.146,0.002
133,test,0,0.01,0.184,0.004
134,test,0,0.003,0.136,0.004
135,test,0,0.002,0.116,0.003
136,test,0,0.003,0.141,0.003
137,test,0,0.002,0.104,0.002
138,test,0,0.005,0.15,0.002
139,test,0,0.004,0.136,0.002
140,test,0,0.003,0.208,0.003
141,test,0,0.001,0.078,0.002
142,test,0,0.003,0.156,0.003
143,test,0,0.005,0.155,0.004
144,test,0,0.006,0.269,0.003
145,test,0,0.004,0.146,0.003
146,test,0,0.014,0.362,0.005
147,test,0,0.001,0.076,0.003
148,test,0,0.002,0.089,0.002
149,test,0,0.004,0.253,0.003
150,test,0,0.009,0.128,0.002
151,test,0,0.002,0.085,0.003
152,test,0,0.003,0.086,0.002
153,test,0,0.005,0.19,0.003
154,test,0,0.01,0.284,0.006
155,test,0,0.005,0.097,0.003
156,test,0,0.008,0.165,0.004
157,test,0,0.001,0.131,0.003
158,test,0,0.005,0.21,0.004
159,test,0,0.008,0.219,0.004
160,test,0,0.003,0.206,0.004
161,test,0,0.005,0.137,0.004
162,test,0,0.006,0.136,0.003
163,test,0,0.001,0.075,0.002
164,test,0,0.012,0.134,0.003
165,test,0,0.007,0.284,0.004
166,test,0,0.006,0.135,0.003
167,test,0,0.006,0.215,0.005
168,test,0,0.01,0.168,0.002
169,test,0,0.018,0.334,0.005
170,test,0,0.001,0.091,0.002
171,test,0,0.002,0.13,0.003
172,test,0,0.001,0.094,0.002
173,test,0,0.005,0.113,0.002
174,test,0,0.003,0.079,0.002
175,test,0,0.003,0.12,0.002
176,test,0,0.002,0.086,0.003
177,test,0,0.004,0.091,0.002
178,test,0,0.007,0.173,0.004
179,test,0,0.01,0.18,0.004
180,test,0,0.003,0.084,0.002
181,test,0,0.005,0.15,0.003
182,test,0,0.002,0.157,0.003
183,test,0,0.005,0.12,0.002
184,test,0,0.004,0.112,0.003
185,test,0,0.005,0.2,0.003
186,test,0,0.011,0.247,0.005
187,test,0,0.001,0.105,0.002
188,test,0,0.008,0.148,0.002
189,test,0,0.001,0.09,0.003
190,test,0,0.014,0.284,0.005
191,test,0,0.009,0.191,0.002
192,test,0,0.006,0.111,0.003
193,test,0,0.003,0.122,0.002
194,test,0,0.009,0.179,0.003
195,test,0,0.003,0.114,0.002
196,test,0,0.004,0.169,0.003
197,test,0,0.002,0.092,0.003
198,test,0,0.002,0.101,0.003
199,test,0,0.005,0.184,0.003
200,test,0,0.001,0.132,0.003
201,test,0,0.003,0.107,0.003
202,test,0,0.001,0.077,0.002
203,test,0,0.001,0.074,0.002
204,test,0,0.007,0.174,0.002
205,test,0,0.004,0.1,0.003
206,test,0,0.01,0.192,0.003
207,test,0,0.0,0.036,0.002
208,test,0,0.003,0.167,0.003
209,test,0,0.001,0.078,0.002
210,test,0,0.008,0.205,0.003
211,test,0,0.001,0.111,0.003
212,test,0,0.025,0.639,0.007
213,test,0,0.001,0.09,0.003
214,test,0,0.001,0.088,0.003
215,test,0,0.0,0.142,0.002
216,test,0,0.006,0.288,0.004
217,test,0,0.0,0.069,0.006
218,test,0,0.021,0.212,0.003
219,test,0,0.003,0.118,0.002
220,test,0,0.002,0.137,0.002
221,test,0,0.002,0.134,0.002
222,test,0,0.0,0.078,0.003
223,test,0,0.003,0.082,0.003
224,test,0,0.002,0.114,0.002
225,test,0,0.004,0.2,0.003
226,test,0,0.004,0.127,0.003
227,test,0,0.0,0.084,0.003
228,test,0,0.007,0.196,0.004
229,test,0,0.003,0.096,0.002
230,test,0,0.002,0.101,0.003
231,test,0,0.001,0.074,0.002
232,test,0,0.004,0.092,0.002
233,test,0,0.002,0.115,0.002
234,test,0,0.004,0.152,0.002
235,test,0,0.001,0.134,0.002
236,test,0,0.011,0.3,0.006
237,test,0,0.005,0.117,0.002
238,test,0,0.002,0.159,0.002
239,test,0,0.003,0.118,0.002
