doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,test,1.425,0.007,11.972,0.005
1,test,0.999,0.004,11.634,0.004
2,test,1.249,0.009,11.943,0.006
3,test,1.257,0.002,11.804,0.004
4,test,1.316,0.004,11.849,0.005
5,test,1.254,0.006,11.863,0.008
6,test,0.212,0.005,0.132,0.004
7,test,0.102,0.013,0.197,0.009
8,test,0.133,0.015,0.212,0.004
9,test,0.633,0.02,0.222,0.004
10,test,0.197,0.005,0.16,0.004
11,test,0.595,0.005,0.257,0.006
12,test,0.546,0.012,0.237,0.003
13,test,0.577,0.009,0.289,0.003
14,test,0.362,0.008,0.231,0.004
15,test,0.063,0.001,0.084,0.003
16,test,0.112,0.004,0.106,0.003
17,test,0.048,0.001,0.115,0.004
18,test,0.016,0.0,0.04,0.002
19,test,0.425,0.007,0.239,0.003
20,test,0.436,0.003,0.162,0.005
21,test,0.356,0.002,0.098,0.002
22,test,0.45,0.004,0.092,0.002
23,test,0.521,0.018,1.029,0.015
24,test,0.36,0.002,0.117,0.002
25,test,0.068,0.002,0.112,0.002
26,test,0.377,0.009,0.173,0.002
27,test,0.277,0.006,0.127,0.002
28,test,0.281,0.002,0.087,0.002
29,test,0.308,0.007,0.182,0.003
30,test,0.225,0.002,0.085,0.002
31,test,0.367,0.01,0.687,0.006
32,test,0.208,0.003,0.111,0.003
33,test,0.297,0.005,0.168,0.004
34,test,0.14,0.003,0.09,0.002
35,test,0.117,0.002,0.094,0.002
36,test,0.346,0.006,0.263,0.003
37,test,0.212,0.009,0.121,0.003
38,test,0.075,0.001,0.105,0.003
39,test,0.114,0.004,0.139,0.003
40,test,0.101,0.005,0.09,0.002
41,test,0.465,0.009,0.253,0.004
42,test,0.292,0.004,0.119,0.003
43,test,1.039,0.015,0.795,0.008
44,test,0.461,0.004,0.065,0.002
45,test,0.442,0.004,0.223,0.005
46,test,0.256,0.004,0.107,0.002
47,test,0.292,0.002,0.081,0.002
48,test,0.315,0.003,0.1,0.002
49,test,0.172,0.002,0.074,0.002
50,test,0.189,0.003,0.078,0.002
51,test,0.479,0.024,0.294,0.004
52,test,0.462,0.007,0.249,0.004
53,test,0.278,0.002,0.137,0.003
54,test,0.231,0.004,0.149,0.003
55,test,0.372,0.006,0.153,0.003
56,test,0.046,0.001,0.068,0.002
57,test,0.059,0.0,0.076,0.002
58,test,0.195,0.002,0.088,0.002
59,test,0.19,0.002,0.088,0.003
60,test,0.321,0.006,0.176,0.003
61,test,0.359,0.006,0.157,0.004
62,test,0.466,0.007,0.168,0.002
63,test,0.505,0.005,0.183,0.004
64,test,0.506,0.006,0.174,0.003
65,test,0.373,0.002,0.147,0.004
66,test,0.295,0.013,0.183,0.003
67,test,0.293,0.006,0.188,0.003
68,test,0.757,0.028,1.76,0.022
69,test,0.378,0.005,0.262,0.003
70,test,0.287,0.003,0.104,0.002
71,test,0.289,0.001,0.124,0.003
72,test,0.337,0.006,0.299,0.004
73,test,0.174,0.002,0.106,0.002
74,test,0.027,0.0,0.008,0.001
75,test,0.64,0.014,0.374,0.007
76,test,0.34,0.005,0.161,0.007
77,test,0.49,0.01,0.219,0.004
78,test,0.205,0.001,0.117,0.003
79,test,0.354,0.011,0.208,0.005
80,test,0.08,0.001,0.105,0.002
81,test,0.132,0.003,0.081,0.003
82,test,0.177,0.012,0.183,0.003
83,test,0.119,0.003,0.114,0.002
84,test,0.115,0.002,0.098,0.003
85,test,0.457,0.011,0.298,0.005
86,test,0.21,0.002,0.136,0.004
87,test,0.382,0.006,0.236,0.005
88,test,1.55,0.046,4.222,0.162
89,test,0.071,0.0,0.013,0.002
90,test,0.307,0.003,0.155,0.004
91,test,0.105,0.001,0.1,0.002
92,test,0.077,0.005,0.089,0.003
93,test,0.898,0.023,0.355,0.009
94,test,0.307,0.005,0.097,0.002
95,test,0.207,0.002,0.101,0.002
96,test,0.266,0.005,0.073,0.002
97,test,0.574,0.004,0.207,0.003
98,test,0.563,0.004,0.141,0.004
99,test,0.537,0.009,0.161,0.003
100,test,0.462,0.005,0.151,0.002
101,test,0.1,0.0,0.083,0.003
102,test,0.33,0.004,0.167,0.003
103,test,0.173,0.004,0.103,0.003
104,test,0.146,0.002,0.098,0.002
105,test,0.4,0.005,0.204,0.003
106,test,0.607,0.014,0.523,0.007
107,test,0.278,0.005,0.119,0.003
108,test,0.36,0.005,0.11,0.003
109,test,0.235,0.004,0.149,0.003
110,test,0.061,0.001,0.084,0.002
111,test,0.415,0.007,0.316,0.007
112,test,0.283,0.01,0.124,0.002
113,test,0.544,0.013,0.475,0.008
114,test,0.203,0.002,0.146,0.003
115,test,0.569,0.022,0.549,0.008
116,test,0.192,0.002,0.091,0.003
117,test,0.364,0.009,0.202,0.004
118,test,0.273,0.005,0.202,0.004
119,test,0.268,0.007,0.173,0.004
120,test,0.349,0.031,0.215,0.004
121,test,0.32,0.006,0.287,0.006
122,test,0.2,0.004,0.132,0.004
123,test,0.202,0.003,0.125,0.003
124,test,0.039,0.001,0.096,0.002
125,test,0.112,0.006,0.201,0.004
126,test,0.067,0.002,0.097,0.003
127,test,0.082,0.006,0.154,0.003
128,test,1.077,0.034,2.08,0.024
129,test,0.411,0.008,0.241,0.004
130,test,0.139,0.005,0.099,0.002
131,test,0.221,0.006,0.085,0.003
132,test,0.254,0.003,0.159,0.002
133,test,0.285,0.007,0.226,0.004
134,test,0.135,0.004,0.172,0.004
135,test,0.183,0.004,0.137,0.002
136,test,0.256,0.007,0.159,0.003
137,test,0.276,0.003,0.127,0.003
138,test,0.287,0.009,0.2,0.003
139,test,0.157,0.007,0.167,0.003
140,test,0.087,0.004,0.234,0.007
141,test,0.053,0.002,0.09,0.002
142,test,0.278,0.019,0.299,0.004
143,test,0.245,0.014,0.272,0.004
144,test,0.265,0.008,0.343,0.004
145,test,0.253,0.021,0.216,0.003
146,test,1.118,0.026,2.283,0.025
147,test,0.193,0.002,0.078,0.002
148,test,0.232,0.001,0.083,0.002
149,test,0.264,0.004,0.262,0.004
150,test,0.632,0.013,1.231,0.015
151,test,0.278,0.003,0.104,0.003
152,test,0.254,0.005,0.087,0.004
153,test,0.339,0.027,0.297,0.004
154,test,0.451,0.014,0.274,0.006
155,test,0.372,0.007,0.114,0.003
156,test,0.101,0.007,0.16,0.003
157,test,0.062,0.002,0.127,0.003
158,test,0.081,0.008,0.2,0.004
159,test,0.276,0.024,0.216,0.004
160,test,0.244,0.015,0.202,0.003
161,test,0.214,0.015,0.16,0.002
162,test,0.12,0.004,0.112,0.003
163,test,0.03,0.0,0.065,0.002
164,test,0.409,0.007,0.124,0.002
165,test,0.435,0.007,0.269,0.004
166,test,0.409,0.007,0.119,0.003
167,test,0.453,0.005,0.198,0.005
168,test,0.428,0.006,0.149,0.003
169,test,0.52,0.01,0.322,0.004
170,test,0.094,0.001,0.082,0.002
171,test,0.341,0.002,0.125,0.002
172,test,0.24,0.0,0.089,0.003
173,test,0.345,0.004,0.114,0.003
174,test,0.349,0.005,0.379,0.008
175,test,0.061,0.003,0.109,0.002
176,test,0.055,0.001,0.08,0.002
177,test,0.213,0.003,0.076,0.003
178,test,0.222,0.006,0.159,0.004
179,test,0.424,0.006,0.18,0.003
180,test,0.332,0.004,0.08,0.003
181,test,0.374,0.002,0.178,0.003
182,test,0.45,0.004,0.16,0.003
183,test,0.383,0.004,0.118,0.004
184,test,0.278,0.005,0.116,0.002
185,test,0.256,0.004,0.203,0.004
186,test,0.422,0.014,0.254,0.005
187,test,0.231,0.002,0.123,0.003
188,test,0.319,0.01,0.146,0.003
189,test,0.219,0.0,0.091,0.003
190,test,0.551,0.015,0.297,0.005
191,test,0.565,0.005,0.192,0.003
192,test,0.413,0.008,0.104,0.002
193,test,0.436,0.004,0.129,0.002
194,test,0.338,0.011,0.177,0.003
195,test,0.233,0.003,0.126,0.002
196,test,0.134,0.008,0.197,0.005
197,test,0.265,0.002,0.09,0.002
198,test,0.337,0.003,0.114,0.002
199,test,0.465,0.005,0.175,0.003
200,test,0.274,0.001,0.151,0.003
201,test,0.394,0.004,0.104,0.003
202,test,0.198,0.001,0.086,0.002
203,test,0.133,0.002,0.082,0.002
204,test,0.402,0.007,0.179,0.004
205,test,0.317,0.004,0.11,0.002
206,test,0.482,0.014,0.228,0.004
207,test,0.171,0.0,0.046,0.002
208,test,0.416,0.005,0.205,0.004
209,test,0.355,0.006,0.344,0.006
210,test,0.284,0.009,0.205,0.004
211,test,0.119,0.002,0.122,0.002
212,test,1.121,0.033,0.983,0.011
213,test,0.243,0.002,0.105,0.002
214,test,0.257,0.002,0.089,0.002
215,test,0.202,0.0,0.082,0.003
216,test,0.579,0.008,0.286,0.005
217,test,0.155,0.0,0.057,0.002
218,test,0.642,0.014,0.294,0.009
219,test,0.271,0.003,0.103,0.002
220,test,0.332,0.002,0.159,0.004
221,test,0.23,0.002,0.142,0.004
222,test,0.181,0.001,0.109,0.004
223,test,0.317,0.007,0.212,0.01
224,test,0.301,0.003,0.275,0.003
225,test,0.263,0.011,0.314,0.008
226,test,0.198,0.015,0.197,0.003
227,test,0.102,0.001,0.108,0.003
228,test,0.326,0.01,0.241,0.004
229,test,0.217,0.005,0.131,0.003
230,test,0.194,0.002,0.147,0.002
231,test,0.168,0.002,0.103,0.002
232,test,0.174,0.005,0.134,0.003
233,test,0.155,0.002,0.148,0.003
234,test,0.527,0.006,0.176,0.004
235,test,0.45,0.003,0.165,0.003
236,test,0.858,0.018,0.327,0.004
237,test,0.69,0.008,0.129,0.003
238,test,0.597,0.003,0.185,0.003
239,test,0.327,0.004,0.132,0.002
240,test,0.224,0.004,0.168,0.002
241,test,0.167,0.008,0.095,0.003
242,test,0.251,0.005,0.279,0.004
243,test,0.274,0.007,0.196,0.004
244,test,0.487,0.014,0.405,0.006
245,test,0.219,0.001,0.091,0.003
246,test,0.244,0.002,0.087,0.002
247,test,0.438,0.007,0.336,0.007
248,test,0.247,0.004,0.118,0.002
249,test,0.546,0.004,0.12,0.002
250,test,0.33,0.002,0.142,0.003
251,test,0.823,0.011,0.3,0.004
252,test,0.482,0.003,0.148,0.003
253,test,0.446,0.008,0.257,0.004
254,test,0.28,0.001,0.082,0.003
255,test,0.283,0.003,0.162,0.003
256,test,0.116,0.0,0.078,0.003
257,test,0.303,0.005,0.168,0.003
258,test,0.808,0.007,0.337,0.006
259,test,0.439,0.004,0.141,0.002
260,test,0.564,0.005,0.124,0.003
