doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,test,3.223,0.013,24.091,0.014
1,test,4.056,0.019,24.413,0.005
2,test,3.553,0.031,24.805,0.012
3,test,4.466,0.008,25.216,0.007
4,test,3.859,0.01,26.516,0.005
5,test,4.689,0.027,24.462,0.007
6,test,3.804,0.015,25.799,0.005
7,test,4.235,0.04,24.509,0.006
8,test,4.456,0.043,25.531,0.005
9,test,4.536,0.075,25.781,0.011
10,test,3.327,0.013,25.721,0.006
11,test,4.289,0.019,25.958,0.007
12,test,4.055,0.025,26.737,0.011
13,test,4.627,0.036,24.577,0.008
14,test,0.441,0.012,0.311,0.005
15,test,0.048,0.001,0.119,0.009
16,test,0.184,0.003,0.176,0.007
17,test,0.179,0.007,0.162,0.005
18,test,0.051,0.0,0.043,0.002
19,test,0.248,0.021,0.518,0.009
20,test,0.263,0.006,0.327,0.014
21,test,0.183,0.005,0.167,0.004
22,test,0.251,0.021,0.188,0.006
23,test,0.274,0.006,0.392,0.006
24,test,0.227,0.005,0.247,0.005
25,test,0.217,0.005,0.225,0.005
26,test,0.366,0.029,0.409,0.005
27,test,0.276,0.011,0.176,0.004
28,test,0.129,0.01,0.162,0.003
29,test,0.518,0.012,0.346,0.005
30,test,0.216,0.002,0.114,0.003
31,test,1.125,0.034,1.224,0.016
32,test,0.398,0.004,0.154,0.003
33,test,0.38,0.006,0.196,0.004
34,test,0.268,0.005,0.122,0.003
35,test,0.283,0.002,0.138,0.007
36,test,1.02,0.013,0.735,0.011
37,test,0.382,0.006,0.155,0.003
38,test,0.224,0.001,0.106,0.005
39,test,0.503,0.005,0.182,0.004
40,test,0.771,0.012,0.235,0.005
41,test,1.364,0.03,0.59,0.009
42,test,0.99,0.011,0.199,0.005
43,test,2.836,0.033,1.61,0.034
44,test,1.201,0.007,0.114,0.003
45,test,1.013,0.02,0.473,0.019
46,test,0.829,0.008,0.214,0.005
47,test,0.684,0.003,0.179,0.004
48,test,0.712,0.006,0.186,0.005
49,test,0.583,0.003,0.183,0.003
50,test,0.427,0.004,0.116,0.003
51,test,1.499,0.046,0.682,0.024
52,test,1.217,0.092,0.609,0.007
53,test,0.54,0.002,0.28,0.004
54,test,0.524,0.005,0.267,0.004
55,test,1.807,0.026,0.514,0.009
56,test,0.304,0.001,0.105,0.003
57,test,0.312,0.001,0.12,0.003
58,test,1.466,0.003,0.335,0.02
59,test,0.488,0.007,0.122,0.005
60,test,1.427,0.019,0.458,0.005
61,test,1.033,0.01,0.282,0.007
62,test,1.24,0.03,0.441,0.005
63,test,1.182,0.01,0.301,0.016
64,test,1.329,0.017,0.388,0.006
65,test,1.105,0.012,0.424,0.005
66,test,1.115,0.046,0.554,0.01
67,test,1.181,0.022,0.363,0.008
68,test,1.316,0.012,0.786,0.013
