doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,test,1.156,0.005,10.982,0.004
1,test,1.139,0.003,11.206,0.003
2,test,1.182,0.007,11.205,0.004
3,test,0.906,0.002,10.965,0.003
4,test,1.085,0.005,11.217,0.004
5,test,0.331,0.009,0.15,0.004
6,test,0.128,0.005,0.132,0.002
7,test,0.137,0.007,0.14,0.003
8,test,0.251,0.007,0.136,0.002
9,test,0.547,0.011,0.176,0.003
10,test,0.205,0.002,0.126,0.002
11,test,0.343,0.003,0.206,0.005
12,test,0.356,0.007,0.204,0.002
13,test,0.356,0.008,0.227,0.003
14,test,0.259,0.004,0.173,0.003
15,test,0.043,0.0,0.059,0.003
16,test,0.044,0.002,0.082,0.003
17,test,0.062,0.002,0.1,0.002
18,test,0.022,0.0,0.03,0.002
19,test,0.377,0.004,0.25,0.004
20,test,0.428,0.003,0.181,0.003
21,test,0.342,0.002,0.111,0.002
22,test,0.353,0.007,0.093,0.002
23,test,0.371,0.003,0.216,0.004
24,test,0.079,0.003,0.111,0.002
25,test,0.063,0.001,0.097,0.004
26,test,0.367,0.012,0.206,0.004
27,test,0.336,0.004,0.112,0.002
28,test,0.248,0.001,0.082,0.002
29,test,0.335,0.008,0.206,0.004
30,test,0.252,0.002,0.082,0.002
31,test,0.45,0.008,0.666,0.008
32,test,0.158,0.004,0.122,0.003
33,test,0.24,0.002,0.142,0.002
34,test,0.117,0.002,0.084,0.002
35,test,0.102,0.002,0.095,0.002
36,test,0.347,0.005,0.278,0.004
37,test,0.209,0.008,0.125,0.003
38,test,0.147,0.001,0.109,0.002
39,test,0.167,0.005,0.141,0.003
40,test,0.136,0.004,0.074,0.002
41,test,0.437,0.008,0.273,0.004
42,test,0.178,0.004,0.135,0.002
43,test,0.868,0.021,0.744,0.008
44,test,0.393,0.003,0.073,0.002
45,test,0.38,0.007,0.219,0.003
46,test,0.301,0.005,0.122,0.003
47,test,0.246,0.002,0.086,0.003
48,test,0.338,0.003,0.105,0.004
49,test,0.216,0.001,0.07,0.002
50,test,0.139,0.002,0.085,0.003
51,test,0.325,0.021,0.293,0.006
52,test,0.289,0.006,0.237,0.004
53,test,0.206,0.002,0.107,0.002
54,test,0.16,0.003,0.107,0.002
55,test,0.285,0.009,0.173,0.002
56,test,0.098,0.0,0.065,0.002
57,test,0.043,0.0,0.083,0.002
58,test,0.226,0.002,0.087,0.002
59,test,0.171,0.002,0.086,0.003
60,test,0.338,0.006,0.177,0.002
61,test,0.426,0.004,0.158,0.003
62,test,0.51,0.009,0.193,0.003
63,test,0.363,0.003,0.087,0.003
64,test,0.563,0.007,0.189,0.004
65,test,0.311,0.003,0.201,0.005
66,test,0.355,0.018,0.248,0.004
67,test,0.358,0.011,0.261,0.003
68,test,0.377,0.01,0.477,0.006
69,test,0.276,0.005,0.307,0.004
70,test,0.155,0.003,0.129,0.003
71,test,0.11,0.001,0.098,0.002
72,test,0.45,0.008,0.287,0.004
73,test,0.221,0.003,0.149,0.005
74,test,0.058,0.0,0.008,0.002
75,test,0.523,0.013,0.351,0.007
76,test,0.402,0.006,0.14,0.003
77,test,0.357,0.007,0.179,0.004
78,test,0.247,0.001,0.104,0.002
79,test,0.388,0.007,0.184,0.005
80,test,0.122,0.0,0.086,0.002
81,test,0.182,0.002,0.074,0.002
82,test,0.27,0.007,0.187,0.003
83,test,0.225,0.003,0.111,0.002
84,test,0.185,0.001,0.098,0.003
85,test,0.458,0.007,0.297,0.004
86,test,0.235,0.005,0.124,0.003
87,test,0.534,0.006,0.221,0.004
88,test,0.617,0.014,0.377,0.007
89,test,0.095,0.0,0.012,0.001
90,test,0.372,0.005,0.148,0.003
91,test,0.198,0.001,0.098,0.003
92,test,0.085,0.003,0.079,0.002
94,test,0.315,0.01,0.103,0.002
95,test,0.225,0.001,0.091,0.002
96,test,0.26,0.004,0.083,0.002
