doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,default,0.697,0.008,0.132,0.003
1,default,0.652,0.004,0.11,0.002
2,default,0.781,0.013,0.289,0.005
3,default,0.183,0.001,0.096,0.003
4,default,0.537,0.005,0.193,0.003
5,default,0.721,0.01,0.327,0.007
6,default,0.254,0.004,0.156,0.003
7,default,0.546,0.008,0.18,0.003
8,default,0.871,0.014,0.37,0.006
9,default,1.203,0.021,0.259,0.004
10,default,0.503,0.006,0.193,0.004
11,default,0.93,0.006,0.303,0.006
12,default,1.147,0.023,0.444,0.008
13,default,1.001,0.009,0.353,0.007
14,default,0.75,0.013,0.406,0.006
15,default,0.137,0.001,0.098,0.003
16,default,0.188,0.003,0.134,0.004
17,default,0.125,0.003,0.152,0.004
18,default,0.021,0.001,0.05,0.002
19,default,0.502,0.005,0.318,0.006
20,default,0.769,0.004,0.219,0.006
21,default,0.695,0.003,0.124,0.004
22,default,0.753,0.007,0.147,0.004
23,default,1.521,0.025,1.65,0.021
24,default,0.48,0.003,0.166,0.004
25,default,0.404,0.001,0.137,0.004
26,default,0.991,0.014,0.267,0.005
27,default,0.601,0.007,0.138,0.003
28,default,0.335,0.001,0.109,0.002
29,default,0.799,0.013,0.313,0.005
30,default,0.335,0.002,0.119,0.003
31,default,0.905,0.011,0.885,0.013
32,default,0.353,0.004,0.138,0.004
33,default,0.371,0.004,0.228,0.011
34,default,0.139,0.003,0.2,0.007
35,default,0.091,0.003,0.191,0.006
36,default,0.372,0.009,0.362,0.004
37,default,0.288,0.008,0.142,0.004
38,default,0.149,0.0,0.091,0.002
39,default,0.107,0.003,0.166,0.003
40,default,0.129,0.007,0.111,0.002
41,default,1.194,0.012,0.439,0.006
42,default,0.841,0.005,0.168,0.004
43,default,1.419,0.02,0.946,0.011
44,default,1.243,0.011,0.133,0.003
45,default,1.015,0.007,0.312,0.004
46,default,0.341,0.004,0.165,0.004
47,default,0.54,0.003,0.115,0.002
48,default,0.565,0.005,0.131,0.003
49,default,0.45,0.002,0.102,0.002
50,default,0.338,0.003,0.107,0.002
51,default,1.069,0.021,0.446,0.009
52,default,0.92,0.011,0.345,0.006
53,default,0.402,0.002,0.146,0.002
54,default,0.373,0.003,0.134,0.002
55,default,1.256,0.008,0.189,0.003
56,default,0.309,0.001,0.085,0.003
57,default,0.313,0.001,0.1,0.002
58,default,0.761,0.002,0.112,0.003
59,default,0.434,0.003,0.107,0.002
60,default,1.226,0.009,0.27,0.004
61,default,0.874,0.007,0.189,0.003
62,default,2.329,0.039,0.697,0.011
63,default,0.981,0.008,0.22,0.005
64,default,1.703,0.017,0.415,0.006
65,default,0.869,0.004,0.216,0.004
66,default,0.833,0.019,0.301,0.006
67,default,1.262,0.014,0.401,0.006
68,default,1.439,0.04,2.077,0.023
69,default,0.955,0.011,0.472,0.006
70,default,0.428,0.004,0.267,0.004
71,default,0.215,0.003,0.208,0.004
72,default,0.67,0.014,0.393,0.008
73,default,0.199,0.003,0.158,0.003
74,default,0.04,0.0,0.01,0.002
75,default,1.486,0.019,0.517,0.007
76,default,0.849,0.009,0.226,0.005
77,default,0.994,0.011,0.222,0.003
78,default,0.519,0.001,0.102,0.003
79,default,1.217,0.016,0.294,0.006
80,default,0.546,0.002,0.122,0.003
81,default,0.444,0.003,0.116,0.002
82,default,0.542,0.009,0.232,0.004
83,default,0.496,0.007,0.134,0.003
84,default,0.57,0.003,0.199,0.004
85,default,1.435,0.009,0.361,0.005
86,default,0.796,0.005,0.179,0.003
87,default,1.235,0.012,0.303,0.006
88,default,4.128,0.049,5.117,0.064
89,default,0.215,0.001,0.027,0.002
90,default,1.057,0.003,0.2,0.004
91,default,0.678,0.001,0.134,0.004
92,default,0.464,0.004,0.097,0.002
93,default,1.937,0.023,0.719,0.011
94,default,1.043,0.007,0.17,0.003
95,default,0.53,0.002,0.145,0.002
96,default,1.194,0.007,0.125,0.003
97,default,1.459,0.007,0.326,0.007
98,default,1.06,0.007,0.252,0.004
99,default,0.933,0.009,0.212,0.003
100,default,0.685,0.01,0.244,0.004
101,default,0.349,0.001,0.096,0.002
102,default,0.694,0.005,0.23,0.006
103,default,0.271,0.003,0.109,0.002
104,default,0.472,0.001,0.098,0.002
105,default,1.437,0.013,0.519,0.008
106,default,1.471,0.021,1.009,0.017
107,default,0.749,0.006,0.141,0.003
108,default,0.822,0.007,0.15,0.003
109,default,0.892,0.004,0.201,0.014
110,default,0.308,0.001,0.111,0.002
111,default,1.31,0.024,0.5,0.008
112,default,0.276,0.007,0.138,0.007
113,default,1.573,0.017,0.535,0.006
114,default,0.601,0.003,0.27,0.005
115,default,1.336,0.02,0.56,0.005
116,default,0.59,0.002,0.11,0.003
117,default,0.996,0.006,0.208,0.004
118,default,0.384,0.005,0.193,0.003
119,default,0.446,0.005,0.163,0.002
120,default,0.829,0.022,0.225,0.005
121,default,0.744,0.007,0.287,0.007
122,default,0.546,0.006,0.154,0.004
123,default,0.562,0.003,0.107,0.003
124,default,0.483,0.002,0.131,0.003
125,default,0.265,0.008,0.246,0.003
126,default,0.241,0.003,0.12,0.003
127,default,0.375,0.009,0.201,0.004
128,default,2.443,0.031,2.452,0.038
129,default,1.016,0.007,0.264,0.004
130,default,0.572,0.007,0.152,0.004
131,default,0.541,0.008,0.1,0.003
132,default,0.522,0.002,0.193,0.003
133,default,0.772,0.012,0.257,0.004
134,default,0.509,0.006,0.182,0.003
135,default,0.552,0.003,0.169,0.003
136,default,0.945,0.009,0.212,0.004
137,default,0.706,0.002,0.147,0.004
138,default,0.686,0.01,0.215,0.003
139,default,0.705,0.006,0.193,0.005
140,default,0.517,0.002,0.257,0.005
141,default,0.265,0.002,0.112,0.002
142,default,0.641,0.015,0.376,0.005
143,default,0.601,0.012,0.245,0.005
144,default,0.629,0.007,0.343,0.006
145,default,0.648,0.008,0.217,0.003
146,default,1.956,0.022,3.104,0.055
147,default,0.245,0.001,0.102,0.003
148,default,0.562,0.001,0.105,0.002
149,default,1.086,0.02,0.615,0.029
150,default,1.178,0.016,1.447,0.012
151,default,0.707,0.004,0.131,0.002
152,default,0.658,0.016,0.157,0.004
153,default,0.255,0.008,0.273,0.005
154,default,1.07,0.01,0.306,0.005
155,default,0.894,0.007,0.116,0.003
156,default,0.85,0.01,0.176,0.004
157,default,0.692,0.002,0.131,0.003
158,default,0.527,0.019,0.277,0.004
159,default,0.734,0.007,0.224,0.003
160,default,0.65,0.005,0.211,0.003
161,default,0.648,0.008,0.193,0.005
162,default,0.591,0.007,0.149,0.003
163,default,0.047,0.001,0.078,0.002
164,default,1.092,0.017,0.271,0.006
165,default,1.128,0.009,0.447,0.005
166,default,0.833,0.008,0.18,0.003
167,default,1.157,0.01,0.3,0.006
168,default,1.028,0.014,0.208,0.004
169,default,1.432,0.014,0.442,0.009
170,default,0.297,0.001,0.127,0.004
171,default,0.752,0.002,0.144,0.004
172,default,0.35,0.001,0.112,0.003
173,default,0.895,0.005,0.124,0.003
174,default,0.801,0.004,0.469,0.005
175,default,0.461,0.003,0.16,0.003
176,default,0.473,0.002,0.097,0.002
177,default,0.673,0.006,0.111,0.002
178,default,0.594,0.005,0.195,0.004
179,default,1.078,0.012,0.206,0.003
180,default,0.96,0.003,0.088,0.002
181,default,0.762,0.003,0.201,0.004
182,default,0.933,0.005,0.216,0.004
183,default,0.674,0.005,0.133,0.003
184,default,0.464,0.007,0.125,0.002
185,default,0.745,0.004,0.22,0.003
186,default,1.428,0.015,0.374,0.005
187,default,0.478,0.002,0.119,0.003
188,default,0.71,0.008,0.157,0.003
189,default,0.492,0.001,0.098,0.003
190,default,1.071,0.012,0.339,0.008
191,default,1.163,0.009,0.235,0.004
192,default,0.858,0.008,0.123,0.004
193,default,0.914,0.005,0.149,0.003
194,default,0.771,0.008,0.213,0.004
195,default,0.422,0.006,0.14,0.004
196,default,0.554,0.005,0.203,0.003
197,default,0.475,0.003,0.113,0.002
198,default,0.761,0.004,0.164,0.003
199,default,0.783,0.006,0.211,0.004
200,default,0.475,0.001,0.167,0.004
201,default,0.748,0.004,0.121,0.004
202,default,0.439,0.001,0.095,0.003
203,default,0.34,0.002,0.091,0.003
