doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,default,1.905,0.008,11.103,0.003
1,default,1.932,0.004,11.196,0.003
2,default,1.92,0.009,10.946,0.003
3,default,1.839,0.002,10.952,0.002
4,default,1.797,0.003,10.838,0.003
5,default,1.668,0.006,10.915,0.004
6,default,0.564,0.003,0.099,0.002
7,default,0.684,0.01,0.125,0.002
8,default,0.674,0.008,0.133,0.002
9,default,0.895,0.015,0.169,0.004
10,default,0.493,0.003,0.125,0.002
11,default,0.535,0.005,0.19,0.004
12,default,0.366,0.007,0.174,0.002
13,default,0.391,0.005,0.226,0.003
14,default,0.217,0.004,0.165,0.003
15,default,0.093,0.001,0.064,0.002
16,default,0.071,0.002,0.085,0.003
17,default,0.067,0.002,0.108,0.003
18,default,0.014,0.0,0.026,0.001
19,default,0.244,0.004,0.229,0.003
20,default,0.438,0.003,0.154,0.002
21,default,0.421,0.002,0.088,0.002
22,default,0.433,0.004,0.081,0.002
23,default,0.444,0.002,0.216,0.004
24,default,0.275,0.003,0.099,0.002
25,default,0.052,0.001,0.1,0.002
26,default,0.502,0.011,0.158,0.003
27,default,0.323,0.006,0.092,0.002
28,default,0.244,0.001,0.071,0.002
29,default,0.546,0.006,0.179,0.004
30,default,0.194,0.001,0.067,0.002
31,default,0.481,0.01,0.581,0.006
32,default,0.228,0.003,0.094,0.002
33,default,0.227,0.006,0.132,0.003
34,default,0.148,0.002,0.074,0.002
35,default,0.079,0.002,0.101,0.002
36,default,0.392,0.004,0.235,0.004
37,default,0.243,0.003,0.098,0.002
38,default,0.084,0.001,0.088,0.002
39,default,0.149,0.003,0.119,0.003
40,default,0.186,0.005,0.081,0.002
41,default,0.579,0.013,0.25,0.003
42,default,0.291,0.005,0.106,0.002
43,default,0.812,0.016,0.735,0.009
44,default,0.362,0.003,0.069,0.002
45,default,0.442,0.004,0.2,0.004
46,default,0.295,0.005,0.106,0.002
47,default,0.229,0.001,0.072,0.002
48,default,0.227,0.003,0.093,0.002
49,default,0.149,0.002,0.067,0.003
50,default,0.142,0.002,0.071,0.002
51,default,0.439,0.009,0.256,0.006
52,default,0.34,0.006,0.204,0.003
53,default,0.257,0.002,0.097,0.002
54,default,0.242,0.005,0.1,0.003
55,default,0.333,0.007,0.137,0.002
56,default,0.033,0.0,0.055,0.002
57,default,0.043,0.001,0.068,0.002
58,default,0.202,0.001,0.072,0.002
59,default,0.221,0.003,0.082,0.003
60,default,0.442,0.005,0.157,0.003
61,default,0.294,0.004,0.132,0.003
62,default,0.38,0.008,0.17,0.002
63,default,0.37,0.002,0.081,0.003
64,default,0.395,0.006,0.155,0.002
65,default,0.353,0.002,0.142,0.003
66,default,0.336,0.007,0.171,0.004
67,default,0.54,0.005,0.179,0.003
68,default,0.582,0.01,0.334,0.004
69,default,0.508,0.004,0.238,0.003
70,default,0.23,0.003,0.098,0.002
71,default,0.277,0.0,0.076,0.002
72,default,0.453,0.004,0.245,0.003
73,default,0.135,0.002,0.094,0.003
74,default,0.054,0.0,0.011,0.002
75,default,0.495,0.009,0.397,0.006
76,default,0.276,0.007,0.129,0.003
77,default,0.472,0.012,0.205,0.004
78,default,0.177,0.0,0.098,0.002
79,default,0.363,0.007,0.204,0.004
80,default,0.084,0.001,0.103,0.004
81,default,0.181,0.003,0.085,0.002
82,default,0.222,0.009,0.203,0.004
83,default,0.093,0.005,0.113,0.003
84,default,0.051,0.001,0.105,0.002
85,default,0.539,0.012,0.29,0.006
86,default,0.316,0.002,0.137,0.003
87,default,0.532,0.012,0.233,0.003
88,default,0.578,0.02,0.349,0.007
89,default,0.093,0.0,0.014,0.002
90,default,0.44,0.004,0.166,0.004
91,default,0.267,0.001,0.11,0.003
92,default,0.114,0.004,0.084,0.002
93,default,0.462,0.023,0.329,0.006
94,default,0.185,0.005,0.087,0.002
95,default,0.09,0.001,0.088,0.003
96,default,0.259,0.003,0.074,0.002
97,default,0.53,0.003,0.174,0.003
98,default,0.471,0.004,0.131,0.002
99,default,0.454,0.01,0.157,0.002
100,default,0.376,0.003,0.144,0.002
101,default,0.216,0.001,0.075,0.002
102,default,0.121,0.005,0.156,0.002
103,default,0.074,0.002,0.092,0.002
104,default,0.059,0.001,0.08,0.002
105,default,0.441,0.006,0.208,0.004
106,default,0.765,0.009,0.388,0.005
107,default,0.383,0.004,0.11,0.004
108,default,0.367,0.004,0.109,0.003
109,default,0.36,0.004,0.144,0.003
110,default,0.222,0.001,0.077,0.002
111,default,0.537,0.008,0.252,0.005
112,default,0.205,0.005,0.068,0.002
113,default,0.663,0.008,0.332,0.005
114,default,0.307,0.002,0.108,0.003
115,default,0.595,0.009,0.361,0.007
116,default,0.174,0.001,0.068,0.002
117,default,0.39,0.004,0.125,0.003
118,default,0.285,0.002,0.141,0.002
119,default,0.216,0.002,0.117,0.003
120,default,0.225,0.011,0.143,0.002
121,default,0.245,0.004,0.189,0.003
122,default,0.111,0.002,0.083,0.002
123,default,0.177,0.003,0.073,0.003
124,default,0.108,0.001,0.063,0.002
125,default,0.199,0.005,0.152,0.004
126,default,0.111,0.002,0.075,0.001
127,default,0.189,0.004,0.124,0.003
128,default,0.633,0.006,0.333,0.005
129,default,0.503,0.006,0.22,0.004
130,default,0.231,0.003,0.076,0.002
131,default,0.414,0.003,0.071,0.003
132,default,0.339,0.003,0.153,0.003
133,default,0.34,0.011,0.196,0.003
134,default,0.217,0.002,0.155,0.002
135,default,0.064,0.004,0.122,0.003
136,default,0.243,0.005,0.129,0.002
137,default,0.2,0.002,0.102,0.002
138,default,0.305,0.005,0.163,0.003
139,default,0.257,0.005,0.134,0.002
140,default,0.252,0.002,0.194,0.003
141,default,0.126,0.001,0.073,0.002
142,default,0.25,0.005,0.154,0.004
143,default,0.336,0.009,0.177,0.003
144,default,0.367,0.007,0.262,0.003
145,default,0.364,0.005,0.154,0.004
146,default,0.611,0.014,0.344,0.004
147,default,0.169,0.001,0.082,0.002
148,default,0.13,0.001,0.07,0.002
149,default,0.32,0.006,0.235,0.005
150,default,0.285,0.005,0.116,0.002
151,default,0.306,0.003,0.096,0.002
152,default,0.265,0.002,0.076,0.002
153,default,0.237,0.005,0.18,0.004
154,default,0.552,0.009,0.269,0.005
155,default,0.466,0.005,0.097,0.003
156,default,0.434,0.005,0.139,0.002
157,default,0.326,0.002,0.103,0.003
158,default,0.309,0.008,0.17,0.004
159,default,0.351,0.006,0.181,0.002
160,default,0.1,0.003,0.161,0.004
161,default,0.14,0.003,0.109,0.003
162,default,0.161,0.003,0.106,0.003
163,default,0.083,0.001,0.063,0.002
164,default,0.428,0.008,0.119,0.003
165,default,0.439,0.007,0.256,0.004
166,default,0.488,0.005,0.109,0.003
167,default,0.519,0.008,0.187,0.004
168,default,0.464,0.006,0.139,0.003
169,default,0.525,0.011,0.284,0.003
170,default,0.097,0.001,0.091,0.002
171,default,0.166,0.001,0.113,0.003
172,default,0.182,0.0,0.077,0.002
173,default,0.432,0.005,0.103,0.002
174,default,0.338,0.003,0.073,0.002
175,default,0.315,0.002,0.1,0.002
176,default,0.197,0.001,0.078,0.002
177,default,0.222,0.003,0.081,0.002
178,default,0.205,0.006,0.154,0.003
179,default,0.45,0.007,0.158,0.003
180,default,0.425,0.002,0.076,0.002
181,default,0.318,0.004,0.127,0.002
182,default,0.398,0.004,0.138,0.003
183,default,0.36,0.005,0.111,0.002
184,default,0.269,0.003,0.096,0.002
185,default,0.319,0.004,0.178,0.003
186,default,0.424,0.006,0.223,0.004
187,default,0.205,0.001,0.088,0.002
188,default,0.338,0.007,0.129,0.003
189,default,0.204,0.0,0.074,0.002
190,default,0.418,0.011,0.254,0.006
191,default,0.49,0.006,0.2,0.002
192,default,0.343,0.007,0.087,0.002
193,default,0.247,0.003,0.107,0.002
194,default,0.263,0.007,0.186,0.003
195,default,0.131,0.004,0.124,0.003
196,default,0.18,0.004,0.166,0.004
197,default,0.146,0.002,0.086,0.002
198,default,0.227,0.002,0.092,0.003
199,default,0.326,0.005,0.166,0.004
200,default,0.247,0.001,0.14,0.003
201,default,0.33,0.004,0.113,0.003
202,default,0.225,0.0,0.069,0.002
203,default,0.19,0.001,0.086,0.003
204,default,0.21,0.008,0.204,0.007
205,default,0.19,0.004,0.132,0.003
206,default,0.48,0.009,0.232,0.004
207,default,0.102,0.001,0.051,0.002
208,default,0.337,0.005,0.224,0.003
209,default,0.206,0.005,0.103,0.003
210,default,0.396,0.006,0.218,0.004
211,default,0.17,0.002,0.129,0.003
212,default,1.022,0.023,0.669,0.006
213,default,0.194,0.001,0.096,0.002
214,default,0.103,0.002,0.095,0.002
215,default,0.086,0.001,0.096,0.003
216,default,0.441,0.007,0.228,0.003
217,default,0.148,0.0,0.06,0.002
218,default,0.457,0.012,0.176,0.004
219,default,0.253,0.003,0.087,0.003
220,default,0.296,0.002,0.136,0.003
221,default,0.173,0.002,0.125,0.002
222,default,0.12,0.001,0.089,0.003
223,default,0.236,0.005,0.118,0.003
224,default,0.246,0.002,0.123,0.003
225,default,0.234,0.008,0.192,0.003
226,default,0.211,0.004,0.129,0.002
227,default,0.148,0.001,0.083,0.003
228,default,0.292,0.004,0.19,0.004
229,default,0.25,0.002,0.093,0.003
230,default,0.234,0.001,0.103,0.003
231,default,0.155,0.001,0.075,0.002
232,default,0.127,0.005,0.099,0.002
233,default,0.1,0.001,0.125,0.002
234,default,0.365,0.006,0.165,0.002
235,default,0.302,0.001,0.14,0.003
236,default,0.766,0.018,0.298,0.006
237,default,0.521,0.01,0.149,0.003
238,default,0.542,0.003,0.161,0.002
239,default,0.272,0.003,0.119,0.003
240,default,0.207,0.004,0.15,0.002
241,default,0.154,0.007,0.089,0.003
242,default,0.202,0.003,0.254,0.005
243,default,0.214,0.006,0.167,0.003
244,default,0.337,0.011,0.347,0.006
245,default,0.183,0.001,0.078,0.002
246,default,0.189,0.002,0.08,0.003
247,default,0.234,0.004,0.089,0.002
248,default,0.313,0.004,0.101,0.002
249,default,0.512,0.004,0.105,0.003
250,default,0.363,0.001,0.13,0.002
251,default,0.823,0.014,0.235,0.004
252,default,0.438,0.002,0.136,0.002
253,default,0.46,0.008,0.18,0.005
254,default,0.278,0.0,0.072,0.002
255,default,0.297,0.001,0.124,0.003
256,default,0.112,0.0,0.07,0.002
257,default,0.31,0.004,0.134,0.003
258,default,0.672,0.005,0.31,0.005
259,default,0.309,0.005,0.133,0.002
260,default,0.403,0.008,0.105,0.002
261,default,0.184,0.001,0.063,0.002
262,default,0.109,0.001,0.06,0.002
263,default,0.364,0.005,0.113,0.002
264,default,0.816,0.02,0.706,0.007
265,default,0.291,0.002,0.079,0.002
266,default,0.361,0.007,0.121,0.003
267,default,0.229,0.005,0.088,0.003
268,default,0.276,0.003,0.129,0.003
269,default,0.504,0.016,0.307,0.003
270,default,0.312,0.004,0.365,0.005
271,default,0.291,0.007,0.224,0.004
272,default,0.3,0.008,0.232,0.012
273,default,0.226,0.025,0.242,0.003
274,default,0.135,0.003,0.146,0.003
275,default,0.082,0.001,0.072,0.002
276,default,0.084,0.002,0.103,0.002
277,default,0.389,0.015,0.262,0.005
278,default,0.567,0.005,0.146,0.003
279,default,0.444,0.013,0.168,0.004
280,default,0.215,0.002,0.082,0.002
281,default,0.368,0.003,0.164,0.003
282,default,0.275,0.005,0.192,0.003
283,default,0.189,0.007,0.144,0.003
284,default,0.345,0.005,0.221,0.006
285,default,0.248,0.004,0.079,0.002
286,default,0.771,0.007,0.229,0.004
287,default,1.019,0.014,0.332,0.005
288,default,0.51,0.003,0.073,0.002
289,default,0.368,0.002,0.072,0.002
290,default,0.363,0.005,0.102,0.002
291,default,0.362,0.003,0.187,0.004
292,default,0.363,0.004,0.091,0.002
293,default,0.596,0.007,0.239,0.003
294,default,0.532,0.014,0.3,0.005
295,default,0.297,0.003,0.11,0.003
296,default,0.34,0.004,0.217,0.003
297,default,0.182,0.001,0.105,0.002
298,default,0.556,0.013,0.517,0.005
299,default,0.38,0.001,0.101,0.003
300,default,0.396,0.002,0.076,0.002
301,default,0.351,0.004,0.108,0.002
302,default,0.285,0.002,0.071,0.002
303,default,0.336,0.009,0.168,0.003
304,default,0.345,0.007,0.27,0.004
305,default,0.254,0.001,0.121,0.002
306,default,0.204,0.003,0.077,0.002
307,default,0.233,0.003,0.107,0.003
308,default,0.054,0.001,0.077,0.002
309,default,0.073,0.003,0.151,0.003
310,default,0.055,0.001,0.103,0.003
311,default,0.252,0.004,0.157,0.004
312,default,0.191,0.007,0.191,0.004
313,default,0.387,0.009,0.168,0.003
314,default,0.401,0.005,0.155,0.003
315,default,0.146,0.001,0.101,0.003
316,default,0.094,0.0,0.014,0.001
317,default,0.155,0.002,0.091,0.003
318,default,0.729,0.019,0.272,0.009
319,default,0.414,0.002,0.182,0.004
320,default,0.29,0.001,0.104,0.002
321,default,0.187,0.003,0.069,0.003
322,default,0.086,0.001,0.071,0.002
323,default,0.332,0.003,0.132,0.003
324,default,0.596,0.017,0.411,0.005
325,default,0.511,0.007,0.196,0.004
326,default,0.532,0.01,0.343,0.005
327,default,0.251,0.005,0.153,0.004
328,default,0.137,0.001,0.082,0.003
329,default,0.034,0.003,0.109,0.003
330,default,0.139,0.004,0.122,0.003
331,default,0.567,0.01,0.399,0.004
332,default,0.192,0.003,0.127,0.003
333,default,0.445,0.009,0.211,0.003
334,default,0.503,0.006,0.284,0.005
335,default,0.352,0.004,0.111,0.002
336,default,0.353,0.005,0.186,0.004
337,default,0.321,0.005,0.117,0.002
338,default,0.408,0.008,0.232,0.005
339,default,0.399,0.004,0.169,0.002
340,default,0.254,0.0,0.08,0.002
341,default,0.257,0.002,0.086,0.002
342,default,0.237,0.001,0.074,0.003
343,default,0.193,0.007,0.206,0.003
344,default,0.247,0.008,0.133,0.004
345,default,0.069,0.001,0.066,0.002
346,default,0.23,0.003,0.13,0.002
347,default,0.137,0.005,0.142,0.003
348,default,0.419,0.009,0.134,0.004
350,default,0.418,0.003,0.294,0.004
351,default,0.152,0.003,0.081,0.002
352,default,0.335,0.004,0.156,0.004
353,default,0.306,0.002,0.088,0.003
354,default,0.316,0.002,0.119,0.002
355,default,0.275,0.005,0.192,0.004
356,default,0.071,0.001,0.076,0.002
357,default,0.321,0.004,0.108,0.002
358,default,0.29,0.004,0.11,0.004
359,default,0.258,0.002,0.113,0.003
360,default,0.307,0.006,0.165,0.003
361,default,0.243,0.001,0.101,0.003
362,default,0.27,0.003,0.151,0.003
363,default,0.26,0.003,0.113,0.003
364,default,0.554,0.004,0.173,0.002
365,default,0.758,0.008,0.245,0.005
366,default,0.297,0.005,0.121,0.002
367,default,0.277,0.001,0.093,0.002
368,default,0.174,0.0,0.044,0.001
369,default,0.565,0.012,0.349,0.004
370,default,0.74,0.015,0.325,0.005
371,default,0.368,0.005,0.202,0.003
372,default,0.466,0.009,0.261,0.004
373,default,0.168,0.0,0.083,0.003
374,default,0.234,0.004,0.092,0.003
375,default,0.226,0.002,0.126,0.003
376,default,0.284,0.009,0.215,0.003
377,default,0.228,0.003,0.078,0.002
378,default,0.573,0.01,0.14,0.002
379,default,0.603,0.007,0.181,0.003
380,default,0.415,0.003,0.099,0.003
381,default,0.51,0.009,0.222,0.005
382,default,0.093,0.0,0.019,0.001
383,default,0.203,0.002,0.086,0.002
384,default,0.368,0.003,0.132,0.003
385,default,0.576,0.009,0.271,0.005
386,default,0.171,0.002,0.076,0.002
387,default,0.129,0.002,0.077,0.002
388,default,0.622,0.007,0.146,0.002
389,default,0.127,0.0,0.047,0.002
390,default,0.116,0.001,0.049,0.002
391,default,0.536,0.003,0.116,0.004
392,default,0.499,0.003,0.139,0.003
393,default,0.745,0.017,0.266,0.004
394,default,0.758,0.011,0.302,0.004
395,default,0.184,0.002,0.18,0.003
396,default,0.235,0.0,0.099,0.002
397,default,0.306,0.005,0.189,0.004
398,default,0.258,0.005,0.104,0.002
399,default,0.094,0.004,0.154,0.003
400,default,0.075,0.0,0.072,0.002
401,default,0.091,0.005,0.155,0.004
402,default,0.019,0.0,0.051,0.002
403,default,0.179,0.002,0.091,0.003
404,default,0.085,0.0,0.058,0.003
405,default,0.166,0.002,0.109,0.003
406,default,0.147,0.001,0.081,0.003
407,default,0.454,0.004,0.19,0.004
408,default,0.411,0.002,0.155,0.004
409,default,0.519,0.01,0.306,0.005
410,default,0.424,0.009,0.111,0.003
411,default,0.492,0.011,0.503,0.005
412,default,0.379,0.008,0.18,0.008
413,default,0.295,0.007,0.26,0.005
414,default,0.12,0.003,0.117,0.002
415,default,0.148,0.003,0.098,0.003
416,default,0.294,0.007,0.123,0.002
417,default,0.521,0.006,0.279,0.006
418,default,1.028,0.027,0.43,0.008
419,default,0.173,0.0,0.065,0.002
420,default,0.302,0.002,0.114,0.003
421,default,0.735,0.008,0.214,0.003
422,default,0.529,0.008,0.171,0.002
423,default,0.367,0.001,0.083,0.003
424,default,0.227,0.002,0.08,0.003
425,default,0.233,0.002,0.09,0.002
426,default,0.488,0.011,0.212,0.004
427,default,0.267,0.001,0.078,0.002
428,default,0.407,0.012,0.141,0.002
429,default,0.264,0.001,0.088,0.002
430,default,0.24,0.011,0.248,0.005
431,default,0.069,0.0,0.075,0.002
432,default,0.06,0.002,0.122,0.003
433,default,0.324,0.003,0.165,0.003
434,default,0.17,0.006,0.126,0.002
435,default,0.365,0.007,0.175,0.004
436,default,0.277,0.001,0.129,0.003
437,default,0.237,0.002,0.107,0.002
438,default,0.171,0.004,0.126,0.002
439,default,0.182,0.01,0.115,0.003
440,default,0.618,0.007,0.358,0.006
441,default,0.261,0.003,0.106,0.003
442,default,0.145,0.001,0.069,0.002
443,default,0.352,0.005,0.125,0.003
444,default,0.451,0.003,0.129,0.004
445,default,0.248,0.002,0.087,0.003
446,default,0.142,0.0,0.055,0.002
447,default,0.214,0.003,0.124,0.003
448,default,0.324,0.007,0.264,0.006
449,default,0.313,0.003,0.216,0.005
450,default,0.486,0.005,0.28,0.004
451,default,0.079,0.001,0.097,0.003
452,default,0.535,0.017,0.202,0.005
453,default,0.367,0.01,0.173,0.004
454,default,0.217,0.006,0.171,0.004
455,default,0.247,0.003,0.118,0.003
456,default,0.245,0.009,0.147,0.003
457,default,0.397,0.008,0.216,0.003
458,default,0.367,0.004,0.115,0.002
459,default,0.414,0.006,0.188,0.003
460,default,0.4,0.001,0.095,0.003
461,default,0.31,0.002,0.121,0.003
462,default,0.366,0.004,0.18,0.003
463,default,0.174,0.002,0.094,0.003
464,default,0.127,0.006,0.084,0.003
465,default,0.342,0.006,0.108,0.002
466,default,0.287,0.003,0.112,0.003
467,default,0.188,0.001,0.072,0.002
468,default,0.285,0.003,0.143,0.002
469,default,0.082,0.0,0.01,0.001
470,default,0.12,0.0,0.073,0.003
471,default,0.44,0.004,0.271,0.005
472,default,0.651,0.008,0.173,0.003
473,default,0.607,0.006,0.207,0.005
474,default,0.303,0.002,0.13,0.003
475,default,0.302,0.002,0.109,0.002
476,default,0.551,0.005,0.152,0.004
477,default,0.279,0.003,0.156,0.005
478,default,0.291,0.007,0.15,0.004
479,default,0.574,0.007,0.349,0.006
480,default,0.336,0.005,0.093,0.002
481,default,0.089,0.0,0.016,0.001
482,default,0.366,0.007,0.103,0.002
483,default,0.566,0.008,0.302,0.007
484,default,0.214,0.0,0.044,0.002
485,default,0.223,0.002,0.092,0.002
486,default,0.129,0.003,0.097,0.003
487,default,0.532,0.011,0.387,0.005
488,default,0.461,0.005,0.299,0.004
489,default,0.248,0.003,0.122,0.002
490,default,0.152,0.001,0.069,0.002
491,default,0.226,0.001,0.128,0.003
492,default,0.416,0.005,0.175,0.003
493,default,0.384,0.005,0.204,0.003
494,default,0.304,0.002,0.097,0.002
495,default,0.524,0.006,0.283,0.006
496,default,0.632,0.01,0.319,0.004
497,default,0.212,0.0,0.078,0.002
498,default,0.453,0.005,0.13,0.003
499,default,0.466,0.008,0.213,0.003
500,default,0.354,0.003,0.107,0.002
501,default,0.233,0.001,0.115,0.002
502,default,0.295,0.002,0.102,0.002
503,default,0.202,0.0,0.047,0.002
504,default,0.931,0.015,0.274,0.006
505,default,0.199,0.003,0.088,0.003
506,default,0.221,0.002,0.091,0.003
507,default,0.677,0.008,0.279,0.004
508,default,0.424,0.003,0.1,0.003
509,default,0.178,0.001,0.084,0.002
510,default,0.459,0.003,0.109,0.002
511,default,0.358,0.002,0.096,0.002
512,default,0.284,0.006,0.177,0.004
513,default,0.31,0.007,0.198,0.005
514,default,1.697,0.024,1.224,0.016
515,default,0.749,0.008,0.197,0.004
516,default,0.523,0.007,0.155,0.003
517,default,0.489,0.004,0.114,0.003
518,default,0.388,0.002,0.132,0.002
519,default,0.41,0.004,0.095,0.002
520,default,0.433,0.004,0.144,0.003
521,default,0.379,0.001,0.095,0.002
522,default,0.498,0.004,0.073,0.003
523,default,0.368,0.003,0.081,0.002
524,default,0.356,0.005,0.113,0.002
525,default,0.35,0.006,0.224,0.008
526,default,0.145,0.0,0.099,0.003
527,default,0.069,0.0,0.049,0.001
528,default,1.106,0.037,0.712,0.007
529,default,0.303,0.002,0.162,0.007
530,default,0.36,0.005,0.124,0.003
531,default,0.383,0.011,0.237,0.004
532,default,0.27,0.001,0.083,0.002
533,default,0.589,0.006,0.38,0.004
534,default,0.542,0.006,0.193,0.005
535,default,0.307,0.003,0.333,0.003
536,default,0.265,0.007,0.145,0.004
537,default,0.542,0.007,0.291,0.004
538,default,0.155,0.002,0.134,0.003
539,default,0.455,0.002,0.082,0.002
540,default,0.516,0.004,0.19,0.004
541,default,0.567,0.008,0.319,0.006
542,default,0.628,0.005,0.28,0.005
543,default,0.389,0.004,0.132,0.003
544,default,0.329,0.013,0.241,0.004
545,default,0.21,0.001,0.09,0.003
546,default,0.138,0.005,0.193,0.004
547,default,0.627,0.014,0.287,0.005
548,default,0.572,0.012,0.175,0.004
549,default,0.388,0.006,0.151,0.003
550,default,0.184,0.001,0.063,0.002
551,default,0.529,0.004,0.322,0.005
552,default,0.45,0.008,0.123,0.003
553,default,0.241,0.002,0.102,0.008
554,default,0.055,0.0,0.031,0.002
555,default,0.124,0.002,0.116,0.002
556,default,0.545,0.007,0.337,0.004
557,default,0.566,0.02,0.331,0.007
558,default,0.37,0.007,0.114,0.004
559,default,0.273,0.002,0.113,0.003
560,default,0.276,0.001,0.108,0.002
561,default,0.228,0.002,0.115,0.003
562,default,0.363,0.006,0.163,0.003
563,default,0.294,0.004,0.1,0.002
564,default,0.222,0.005,0.105,0.002
565,default,0.627,0.008,0.259,0.003
566,default,0.243,0.002,0.089,0.002
567,default,0.209,0.001,0.087,0.002
568,default,0.443,0.004,0.084,0.002
569,default,0.251,0.005,0.103,0.002
570,default,0.361,0.003,0.165,0.003
571,default,0.179,0.003,0.106,0.003
572,default,0.49,0.003,0.13,0.003
573,default,0.444,0.004,0.157,0.004
574,default,0.159,0.0,0.062,0.003
575,default,0.306,0.003,0.102,0.002
576,default,0.313,0.001,0.063,0.002
577,default,0.414,0.005,0.185,0.004
578,default,0.489,0.009,0.149,0.003
579,default,0.091,0.0,0.076,0.002
580,default,0.305,0.0,0.076,0.002
581,default,0.286,0.001,0.169,0.004
582,default,0.332,0.005,0.133,0.004
583,default,0.351,0.003,0.204,0.002
584,default,0.127,0.003,0.12,0.002
585,default,0.094,0.006,0.121,0.004
587,default,0.132,0.001,0.133,0.003
588,default,0.138,0.003,0.113,0.004
589,default,0.103,0.001,0.09,0.003
590,default,0.108,0.001,0.088,0.003
591,default,0.549,0.008,0.16,0.004
592,default,0.408,0.005,0.184,0.004
593,default,0.335,0.001,0.103,0.002
594,default,0.579,0.006,0.177,0.004
595,default,0.764,0.019,0.387,0.004
596,default,0.137,0.0,0.01,0.001
597,default,0.252,0.003,0.17,0.003
598,default,0.44,0.006,0.271,0.006
599,default,0.195,0.001,0.105,0.002
600,default,0.063,0.0,0.012,0.002
601,default,0.333,0.004,0.09,0.002
602,default,0.413,0.005,0.137,0.002
603,default,0.067,0.0,0.012,0.002
604,default,0.399,0.018,0.263,0.005
605,default,0.283,0.007,0.091,0.002
606,default,0.097,0.001,0.102,0.003
607,default,0.053,0.001,0.085,0.002
608,default,0.323,0.002,0.087,0.002
609,default,0.545,0.004,0.195,0.003
610,default,0.598,0.005,0.128,0.003
611,default,0.279,0.001,0.078,0.003
612,default,0.561,0.006,0.166,0.002
613,default,0.369,0.003,0.124,0.003
614,default,0.262,0.003,0.11,0.002
615,default,0.775,0.016,0.296,0.005
616,default,0.457,0.003,0.177,0.004
617,default,0.446,0.004,0.161,0.003
