doc,exp,sent_t,chain_t,umap_t,cluster_t
0,allow_hierarchical,0,0.01,13.872,0.003
1,allow_hierarchical,0,0.004,13.752,0.004
2,allow_hierarchical,0,0.009,13.889,0.004
3,allow_hierarchical,0,0.002,13.765,0.003
4,allow_hierarchical,0,0.006,13.851,0.004
5,allow_hierarchical,0,0.012,13.865,0.003
6,allow_hierarchical,0,0.003,0.093,0.002
7,allow_hierarchical,0,0.005,0.105,0.002
8,allow_hierarchical,0,0.005,0.109,0.002
9,allow_hierarchical,0,0.008,0.13,0.002
10,allow_hierarchical,0,0.002,0.102,0.002
11,allow_hierarchical,0,0.003,0.16,0.003
12,allow_hierarchical,0,0.005,0.147,0.002
13,allow_hierarchical,0,0.004,0.181,0.003
14,allow_hierarchical,0,0.004,0.141,0.002
15,allow_hierarchical,0,0.0,0.0,0.002
16,allow_hierarchical,0,0.001,0.074,0.003
17,allow_hierarchical,0,0.002,0.086,0.002
18,allow_hierarchical,0,0.0,0.0,0.001
19,allow_hierarchical,0,0.004,0.233,0.005
20,allow_hierarchical,0,0.004,0.161,0.003
21,allow_hierarchical,0,0.002,0.096,0.002
22,allow_hierarchical,0,0.003,0.085,0.003
23,allow_hierarchical,0,0.003,0.209,0.003
24,allow_hierarchical,0,0.002,0.109,0.002
25,allow_hierarchical,0,0.001,0.09,0.003
26,allow_hierarchical,0,0.006,0.169,0.003
27,allow_hierarchical,0,0.005,0.098,0.002
28,allow_hierarchical,0,0.001,0.074,0.001
29,allow_hierarchical,0,0.005,0.18,0.004
30,allow_hierarchical,0,0.001,0.071,0.002
31,allow_hierarchical,0,0.011,0.676,0.006
32,allow_hierarchical,0,0.002,0.118,0.003
33,allow_hierarchical,0,0.002,0.156,0.004
34,allow_hierarchical,0,0.003,0.112,0.003
35,allow_hierarchical,0,0.002,0.171,0.003
36,allow_hierarchical,0,0.019,0.381,0.009
37,allow_hierarchical,0,0.006,0.122,0.003
38,allow_hierarchical,0,0.001,0.0,0.002
39,allow_hierarchical,0,0.004,0.137,0.002
40,allow_hierarchical,0,0.011,0.083,0.003
41,allow_hierarchical,0,0.009,0.342,0.003
42,allow_hierarchical,0,0.004,0.129,0.003
43,allow_hierarchical,0,0.02,0.746,0.007
44,allow_hierarchical,0,0.003,0.086,0.002
45,allow_hierarchical,0,0.012,0.281,0.004
46,allow_hierarchical,0,0.005,0.142,0.002
47,allow_hierarchical,0,0.003,0.077,0.002
48,allow_hierarchical,0,0.003,0.102,0.003
49,allow_hierarchical,0,0.001,0.072,0.002
50,allow_hierarchical,0,0.002,0.073,0.002
51,allow_hierarchical,0,0.013,0.266,0.004
52,allow_hierarchical,0,0.005,0.215,0.004
53,allow_hierarchical,0,0.002,0.116,0.002
54,allow_hierarchical,0,0.003,0.101,0.002
55,allow_hierarchical,0,0.006,0.17,0.003
56,allow_hierarchical,0,0.0,0.0,0.001
57,allow_hierarchical,0,0.001,0.079,0.002
58,allow_hierarchical,0,0.002,0.094,0.002
59,allow_hierarchical,0,0.003,0.089,0.002
60,allow_hierarchical,0,0.006,0.178,0.004
61,allow_hierarchical,0,0.004,0.146,0.003
62,allow_hierarchical,0,0.007,0.193,0.003
63,allow_hierarchical,0,0.002,0.09,0.003
64,allow_hierarchical,0,0.005,0.165,0.004
65,allow_hierarchical,0,0.002,0.144,0.003
66,allow_hierarchical,0,0.009,0.198,0.003
67,allow_hierarchical,0,0.006,0.191,0.003
68,allow_hierarchical,0,0.006,0.366,0.005
69,allow_hierarchical,0,0.005,0.275,0.003
70,allow_hierarchical,0,0.003,0.116,0.003
71,allow_hierarchical,0,0.001,0.096,0.003
72,allow_hierarchical,0,0.004,0.249,0.005
73,allow_hierarchical,0,0.003,0.113,0.003
74,allow_hierarchical,0,0.0,0.0,0.0
75,allow_hierarchical,0,0.009,0.389,0.007
76,allow_hierarchical,0,0.004,0.123,0.003
77,allow_hierarchical,0,0.006,0.196,0.005
78,allow_hierarchical,0,0.001,0.109,0.002
79,allow_hierarchical,0,0.009,0.219,0.004
80,allow_hierarchical,0,0.0,0.096,0.002
81,allow_hierarchical,0,0.003,0.097,0.003
82,allow_hierarchical,0,0.015,0.227,0.003
83,allow_hierarchical,0,0.004,0.13,0.004
84,allow_hierarchical,0,0.002,0.113,0.004
85,allow_hierarchical,0,0.012,0.356,0.007
86,allow_hierarchical,0,0.004,0.156,0.003
87,allow_hierarchical,0,0.011,0.275,0.004
88,allow_hierarchical,0,0.018,0.433,0.008
89,allow_hierarchical,0,0.0,0.0,0.002
90,allow_hierarchical,0,0.003,0.177,0.003
91,allow_hierarchical,0,0.001,0.111,0.003
92,allow_hierarchical,0,0.003,0.098,0.003
93,allow_hierarchical,0,0.018,0.402,0.005
94,allow_hierarchical,0,0.005,0.114,0.003
95,allow_hierarchical,0,0.002,0.121,0.002
96,allow_hierarchical,0,0.005,0.089,0.003
97,allow_hierarchical,0,0.007,0.222,0.004
98,allow_hierarchical,0,0.007,0.16,0.004
99,allow_hierarchical,0,0.012,0.184,0.003
