doc,exp,sent_t,chain_t,umap_t,cluster_t
0,allow_hierarchical,0,0.006,10.792,0.003
1,allow_hierarchical,0,0.003,10.805,0.002
2,allow_hierarchical,0,0.008,11.022,0.003
3,allow_hierarchical,0,0.002,11.046,0.003
4,allow_hierarchical,0,0.004,11.036,0.003
5,allow_hierarchical,0,0.006,11.164,0.003
6,allow_hierarchical,0,0.003,0.128,0.003
7,allow_hierarchical,0,0.007,0.143,0.002
8,allow_hierarchical,0,0.006,0.142,0.003
9,allow_hierarchical,0,0.009,0.153,0.002
10,allow_hierarchical,0,0.002,0.125,0.003
11,allow_hierarchical,0,0.003,0.201,0.003
12,allow_hierarchical,0,0.006,0.181,0.002
13,allow_hierarchical,0,0.006,0.223,0.005
14,allow_hierarchical,0,0.007,0.197,0.003
15,allow_hierarchical,0,0.001,0.0,0.002
16,allow_hierarchical,0,0.001,0.082,0.002
17,allow_hierarchical,0,0.002,0.1,0.002
18,allow_hierarchical,0,0.0,0.0,0.002
19,allow_hierarchical,0,0.007,0.266,0.003
20,allow_hierarchical,0,0.003,0.172,0.003
21,allow_hierarchical,0,0.003,0.114,0.002
22,allow_hierarchical,0,0.005,0.103,0.003
23,allow_hierarchical,0,0.004,0.247,0.004
24,allow_hierarchical,0,0.002,0.118,0.002
25,allow_hierarchical,0,0.0,0.106,0.002
26,allow_hierarchical,0,0.006,0.187,0.003
27,allow_hierarchical,0,0.005,0.103,0.003
28,allow_hierarchical,0,0.002,0.08,0.002
29,allow_hierarchical,0,0.006,0.184,0.004
30,allow_hierarchical,0,0.002,0.075,0.002
31,allow_hierarchical,0,0.012,0.714,0.007
32,allow_hierarchical,0,0.003,0.11,0.003
33,allow_hierarchical,0,0.003,0.188,0.003
34,allow_hierarchical,0,0.003,0.155,0.002
35,allow_hierarchical,0,0.001,0.118,0.006
36,allow_hierarchical,0,0.013,0.295,0.005
37,allow_hierarchical,0,0.009,0.123,0.003
38,allow_hierarchical,0,0.001,0.0,0.006
39,allow_hierarchical,0,0.003,0.119,0.002
40,allow_hierarchical,0,0.003,0.078,0.002
41,allow_hierarchical,0,0.009,0.295,0.006
42,allow_hierarchical,0,0.004,0.133,0.004
43,allow_hierarchical,0,0.013,0.713,0.008
44,allow_hierarchical,0,0.004,0.075,0.002
45,allow_hierarchical,0,0.015,0.28,0.004
46,allow_hierarchical,0,0.005,0.157,0.002
47,allow_hierarchical,0,0.002,0.107,0.003
48,allow_hierarchical,0,0.003,0.1,0.002
49,allow_hierarchical,0,0.001,0.068,0.002
50,allow_hierarchical,0,0.002,0.072,0.002
51,allow_hierarchical,0,0.017,0.271,0.003
52,allow_hierarchical,0,0.01,0.215,0.003
53,allow_hierarchical,0,0.001,0.104,0.002
54,allow_hierarchical,0,0.002,0.102,0.002
55,allow_hierarchical,0,0.006,0.17,0.003
56,allow_hierarchical,0,0.0,0.0,0.002
57,allow_hierarchical,0,0.0,0.076,0.002
58,allow_hierarchical,0,0.001,0.078,0.002
59,allow_hierarchical,0,0.002,0.074,0.002
60,allow_hierarchical,0,0.008,0.161,0.002
61,allow_hierarchical,0,0.004,0.146,0.002
62,allow_hierarchical,0,0.01,0.17,0.003
63,allow_hierarchical,0,0.003,0.093,0.003
64,allow_hierarchical,0,0.004,0.161,0.002
65,allow_hierarchical,0,0.003,0.135,0.002
66,allow_hierarchical,0,0.007,0.168,0.003
67,allow_hierarchical,0,0.005,0.177,0.002
68,allow_hierarchical,0,0.009,0.342,0.005
69,allow_hierarchical,0,0.006,0.251,0.003
70,allow_hierarchical,0,0.001,0.097,0.002
71,allow_hierarchical,0,0.0,0.078,0.002
72,allow_hierarchical,0,0.003,0.238,0.005
73,allow_hierarchical,0,0.002,0.103,0.002
74,allow_hierarchical,0,0.0,0.0,0.0
75,allow_hierarchical,0,0.009,0.338,0.005
76,allow_hierarchical,0,0.003,0.106,0.003
77,allow_hierarchical,0,0.009,0.187,0.004
78,allow_hierarchical,0,0.001,0.091,0.002
79,allow_hierarchical,0,0.006,0.174,0.003
80,allow_hierarchical,0,0.0,0.072,0.002
81,allow_hierarchical,0,0.002,0.077,0.002
82,allow_hierarchical,0,0.009,0.184,0.003
83,allow_hierarchical,0,0.002,0.093,0.002
84,allow_hierarchical,0,0.001,0.093,0.004
85,allow_hierarchical,0,0.007,0.292,0.006
86,allow_hierarchical,0,0.003,0.122,0.003
87,allow_hierarchical,0,0.005,0.232,0.003
88,allow_hierarchical,0,0.012,0.371,0.007
89,allow_hierarchical,0,0.0,0.0,0.001
90,allow_hierarchical,0,0.004,0.158,0.003
91,allow_hierarchical,0,0.0,0.092,0.002
92,allow_hierarchical,0,0.003,0.077,0.002
93,allow_hierarchical,0,0.021,0.329,0.005
94,allow_hierarchical,0,0.005,0.09,0.003
95,allow_hierarchical,0,0.001,0.091,0.003
96,allow_hierarchical,0,0.004,0.067,0.001
97,allow_hierarchical,0,0.004,0.181,0.004
98,allow_hierarchical,0,0.003,0.125,0.003
99,allow_hierarchical,0,0.008,0.145,0.002
100,allow_hierarchical,0,0.003,0.135,0.002
101,allow_hierarchical,0,0.001,0.074,0.002
102,allow_hierarchical,0,0.003,0.149,0.002
103,allow_hierarchical,0,0.003,0.085,0.002
104,allow_hierarchical,0,0.001,0.089,0.003
105,allow_hierarchical,0,0.004,0.182,0.003
106,allow_hierarchical,0,0.013,0.424,0.007
107,allow_hierarchical,0,0.005,0.104,0.003
108,allow_hierarchical,0,0.003,0.096,0.002
109,allow_hierarchical,0,0.003,0.13,0.003
110,allow_hierarchical,0,0.0,0.074,0.002
111,allow_hierarchical,0,0.007,0.271,0.003
112,allow_hierarchical,0,0.005,0.077,0.002
113,allow_hierarchical,0,0.009,0.345,0.004
114,allow_hierarchical,0,0.001,0.118,0.003
115,allow_hierarchical,0,0.009,0.393,0.005
116,allow_hierarchical,0,0.001,0.075,0.002
117,allow_hierarchical,0,0.004,0.127,0.002
118,allow_hierarchical,0,0.001,0.138,0.002
119,allow_hierarchical,0,0.002,0.114,0.002
120,allow_hierarchical,0,0.016,0.142,0.003
121,allow_hierarchical,0,0.003,0.182,0.003
122,allow_hierarchical,0,0.003,0.092,0.002
123,allow_hierarchical,0,0.002,0.074,0.003
