doc,exp,sent_t,chain_t,umap_t,hdbscan_t
5287,test,1.814,0.003,11.743,0.003
5288,test,1.756,0.001,11.797,0.002
5289,test,2.042,0.014,12.475,0.014
5290,test,1.834,0.001,11.96,0.003
5291,test,2.028,0.023,12.253,0.006
5292,test,1.886,0.006,11.938,0.004
5293,test,1.08,0.033,2.965,0.04
5294,test,0.485,0.0,0.078,0.002
5295,test,0.288,0.004,0.119,0.003
5296,test,0.127,0.0,0.054,0.002
5297,test,0.157,0.006,0.188,0.003
5298,test,0.069,0.003,0.106,0.002
5299,test,0.064,0.001,0.12,0.004
5300,test,0.059,0.002,0.086,0.002
5301,test,0.163,0.003,0.086,0.002
5302,test,0.221,0.011,0.155,0.003
5303,test,0.245,0.004,0.138,0.003
5304,test,0.111,0.0,0.083,0.002
5305,test,0.156,0.005,0.316,0.006
5306,test,0.132,0.005,0.151,0.002
5307,test,0.115,0.008,0.16,0.003
5308,test,0.056,0.002,0.151,0.003
5309,test,0.108,0.005,0.191,0.003
5310,test,0.072,0.001,0.074,0.003
5311,test,0.197,0.005,0.109,0.003
5312,test,0.193,0.003,0.212,0.003
5313,test,0.157,0.003,0.096,0.007
5314,test,0.356,0.017,0.167,0.003
5315,test,0.211,0.007,0.104,0.003
5316,test,0.281,0.003,0.163,0.002
5317,test,0.46,0.009,0.268,0.004
5318,test,0.318,0.011,0.261,0.006
5319,test,0.216,0.004,0.118,0.005
5320,test,0.046,0.0,0.055,0.002
5321,test,0.232,0.007,0.204,0.005
5322,test,0.149,0.003,0.09,0.002
5323,test,0.101,0.002,0.084,0.002
5324,test,0.445,0.01,0.302,0.005
5325,test,0.496,0.012,0.631,0.008
5326,test,0.353,0.002,0.125,0.003
5327,test,0.311,0.008,0.142,0.002
5328,test,0.337,0.007,0.232,0.008
5329,test,0.285,0.008,0.202,0.003
5330,test,0.294,0.007,0.209,0.003
5331,test,0.141,0.004,0.129,0.003
5332,test,0.14,0.005,0.102,0.002
5333,test,0.377,0.007,0.221,0.003
5334,test,0.117,0.006,0.138,0.003
5335,test,0.07,0.0,0.078,0.002
5336,test,0.095,0.001,0.081,0.003
5337,test,0.314,0.004,0.144,0.003
5338,test,0.36,0.017,0.205,0.005
5339,test,0.274,0.005,0.196,0.003
5340,test,0.206,0.001,0.075,0.002
5341,test,0.535,0.018,0.338,0.006
5342,test,0.266,0.009,0.169,0.003
5343,test,0.398,0.009,0.392,0.008
5344,test,0.256,0.003,0.131,0.002
5345,test,0.27,0.006,0.098,0.003
5346,test,0.243,0.002,0.097,0.003
5347,test,0.109,0.003,0.102,0.003
5348,test,0.071,0.001,0.1,0.003
5349,test,0.464,0.007,0.279,0.005
5350,test,0.335,0.002,0.124,0.002
5351,test,0.32,0.002,0.114,0.003
5352,test,0.228,0.002,0.115,0.003
5353,test,0.208,0.003,0.091,0.003
5354,test,0.111,0.003,0.122,0.004
5355,test,0.058,0.002,0.074,0.002
5356,test,0.292,0.009,0.147,0.003
5357,test,0.679,0.012,0.245,0.004
5358,test,0.668,0.013,0.547,0.007
5359,test,0.554,0.004,0.105,0.002
5360,test,0.482,0.008,0.196,0.004
