doc,exp,sent_t,chain_t,umap_t,hdbscan_t
2015,mpnet,1.276,0.001,7.629,0.004
2016,mpnet,1.454,0.004,7.615,0.003
2017,mpnet,1.469,0.003,0.132,0.002
2018,mpnet,0.858,0.002,0.068,0.001
2019,mpnet,1.462,0.004,0.094,0.003
2020,mpnet,1.088,0.005,0.186,0.002
2021,mpnet,0.453,0.002,0.068,0.001
2022,mpnet,0.649,0.005,0.098,0.002
2023,mpnet,0.249,0.0,0.047,0.001
2024,mpnet,1.407,0.003,0.094,0.002
2025,mpnet,1.377,0.005,0.097,0.002
2026,mpnet,0.656,0.002,0.06,0.001
2027,mpnet,0.831,0.003,0.062,0.001
2028,mpnet,0.551,0.003,0.1,0.002
2029,mpnet,0.111,0.0,0.013,0.001
2030,mpnet,0.86,0.002,0.083,0.002
2031,mpnet,1.132,0.005,0.148,0.004
2032,mpnet,0.475,0.003,0.064,0.001
2033,mpnet,0.945,0.0,0.072,0.002
2034,mpnet,0.91,0.003,0.061,0.001
2035,mpnet,0.353,0.001,0.052,0.002
2036,mpnet,0.901,0.006,0.114,0.002
2037,mpnet,0.75,0.0,0.081,0.002
2038,mpnet,0.365,0.002,0.054,0.001
2039,mpnet,0.634,0.0,0.073,0.002
2040,mpnet,1.068,0.006,0.105,0.002
2041,mpnet,0.69,0.003,0.108,0.002
2042,mpnet,1.078,0.003,0.064,0.001
2043,mpnet,0.563,0.0,0.059,0.002
2044,mpnet,0.362,0.001,0.063,0.002
2045,mpnet,0.492,0.002,0.06,0.001
2046,mpnet,0.806,0.005,0.07,0.002
2047,mpnet,0.856,0.003,0.092,0.002
2048,mpnet,0.165,0.0,0.028,0.001
2049,mpnet,1.4,0.006,0.145,0.003
2050,mpnet,0.379,0.0,0.058,0.001
2051,mpnet,1.394,0.005,0.234,0.005
2052,mpnet,1.405,0.004,0.214,0.003
2053,mpnet,0.13,0.0,0.011,0.001
2054,mpnet,0.499,0.001,0.075,0.002
2055,mpnet,0.267,0.0,0.052,0.002
2056,mpnet,0.637,0.002,0.078,0.002
2057,mpnet,1.223,0.006,0.144,0.002
2058,mpnet,0.748,0.001,0.07,0.002
2059,mpnet,0.893,0.004,0.061,0.002
2060,mpnet,0.769,0.004,0.08,0.002
2061,mpnet,0.605,0.001,0.063,0.002
2062,mpnet,2.874,0.01,0.128,0.002
2063,mpnet,1.108,0.003,0.098,0.002
2064,mpnet,0.754,0.004,0.064,0.002
2065,mpnet,0.616,0.001,0.062,0.001
2066,mpnet,0.31,0.001,0.053,0.002
2067,mpnet,0.897,0.003,0.075,0.002
2068,mpnet,1.075,0.003,0.142,0.002
2069,mpnet,0.528,0.002,0.074,0.002
2070,mpnet,1.13,0.004,0.089,0.002
2071,mpnet,0.676,0.002,0.098,0.002
2072,mpnet,0.872,0.001,0.074,0.002
2073,mpnet,1.322,0.004,0.115,0.003
2074,mpnet,0.118,0.0,0.011,0.001
2075,mpnet,0.644,0.003,0.148,0.003
2076,mpnet,1.366,0.013,0.152,0.002
2077,mpnet,1.029,0.005,0.147,0.003
2078,mpnet,0.404,0.0,0.038,0.001
2079,mpnet,0.78,0.004,0.062,0.002
2081,mpnet,0.405,0.001,0.057,0.001
2082,mpnet,0.143,0.0,0.031,0.001
2083,mpnet,1.216,0.002,0.097,0.002
2084,mpnet,1.927,0.005,0.076,0.001
2085,mpnet,0.359,0.0,0.038,0.001
2086,mpnet,0.547,0.002,0.069,0.002
2087,mpnet,1.307,0.003,0.114,0.002
2088,mpnet,1.54,0.003,0.125,0.003
2089,mpnet,1.56,0.01,0.264,0.003
2090,mpnet,0.987,0.006,0.137,0.003
2091,mpnet,1.406,0.007,0.113,0.002
2092,mpnet,2.072,0.004,0.083,0.002
2093,mpnet,0.877,0.003,0.124,0.002
2094,mpnet,0.799,0.002,0.096,0.002
2095,mpnet,0.383,0.0,0.065,0.001
2096,mpnet,0.263,0.0,0.062,0.003
2097,mpnet,1.936,0.004,0.082,0.002
2098,mpnet,0.568,0.001,0.058,0.002
2099,mpnet,0.977,0.002,0.063,0.001
2100,mpnet,1.286,0.003,0.088,0.002
2101,mpnet,0.789,0.002,0.063,0.002
2102,mpnet,0.732,0.005,0.058,0.002
2103,mpnet,1.647,0.001,0.085,0.002
2104,mpnet,2.76,0.007,0.126,0.002
2105,mpnet,0.912,0.0,0.06,0.002
2106,mpnet,0.656,0.002,0.058,0.002
2107,mpnet,0.958,0.005,0.069,0.001
2108,mpnet,1.566,0.004,0.079,0.002
2109,mpnet,0.732,0.008,0.178,0.004
2110,mpnet,2.771,0.015,0.755,0.006
2111,mpnet,0.694,0.001,0.097,0.002
2112,mpnet,0.784,0.005,0.111,0.002
2113,mpnet,0.508,0.001,0.055,0.002
2114,mpnet,0.897,0.002,0.093,0.002
2115,mpnet,0.578,0.001,0.058,0.001
2116,mpnet,1.928,0.001,0.089,0.002
2117,mpnet,1.279,0.001,0.131,0.002
2118,mpnet,1.116,0.003,0.118,0.003
2119,mpnet,2.256,0.003,0.075,0.002
2120,mpnet,1.08,0.003,0.108,0.002
2121,mpnet,2.673,0.01,0.166,0.002
2122,mpnet,1.495,0.003,0.09,0.002
2123,mpnet,1.155,0.005,0.076,0.002
2124,mpnet,2.889,0.005,0.082,0.003
