doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet,1.11,0.008,7.284,0.002
1,mpnet,0.702,0.001,0.178,0.003
2,mpnet,0.645,0.005,0.148,0.002
3,mpnet,0.223,0.001,0.055,0.002
4,mpnet,0.498,0.003,0.08,0.002
5,mpnet,0.786,0.003,0.098,0.002
6,mpnet,0.247,0.004,0.069,0.001
7,mpnet,0.379,0.005,0.091,0.002
8,mpnet,0.531,0.004,0.086,0.002
9,mpnet,0.946,0.006,0.102,0.002
10,mpnet,0.253,0.001,0.099,0.002
11,mpnet,0.722,0.004,0.137,0.002
12,mpnet,0.537,0.005,0.13,0.002
13,mpnet,0.966,0.007,0.111,0.002
14,mpnet,0.58,0.004,0.101,0.002
15,mpnet,0.102,0.0,0.046,0.002
16,mpnet,0.144,0.002,0.058,0.001
17,mpnet,0.182,0.001,0.068,0.002
18,mpnet,0.046,0.0,0.023,0.001
19,mpnet,0.414,0.003,0.167,0.003
20,mpnet,1.072,0.003,0.11,0.002
