doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet,3.803,0.005,9.752,0.003
1,mpnet,3.603,0.002,9.967,0.006
2,mpnet,3.995,0.007,10.116,0.003
3,mpnet,2.739,0.002,9.945,0.013
4,mpnet,3.784,0.004,9.777,0.003
5,mpnet,4.063,0.005,10.015,0.003
6,mpnet,0.577,0.004,0.081,0.002
7,mpnet,1.019,0.01,0.091,0.002
8,mpnet,3.117,0.005,0.099,0.003
9,mpnet,6.296,0.011,0.14,0.003
10,mpnet,0.944,0.001,0.131,0.003
11,mpnet,3.899,0.009,0.169,0.002
12,mpnet,3.344,0.009,0.172,0.002
13,mpnet,5.993,0.012,0.14,0.002
14,mpnet,3.884,0.005,0.116,0.003
15,mpnet,0.65,0.001,0.061,0.002
16,mpnet,1.494,0.002,0.071,0.002
17,mpnet,1.513,0.002,0.092,0.002
18,mpnet,1.0,0.0,0.034,0.001
19,mpnet,2.857,0.004,0.234,0.003
20,mpnet,8.661,0.003,0.145,0.003
21,mpnet,2.619,0.003,0.117,0.003
22,mpnet,4.544,0.004,0.067,0.002
23,mpnet,5.452,0.007,0.228,0.006
24,mpnet,2.904,0.003,0.096,0.002
25,mpnet,2.216,0.001,0.094,0.002
26,mpnet,7.992,0.005,0.148,0.004
27,mpnet,4.271,0.005,0.077,0.002
28,mpnet,2.092,0.002,0.07,0.003
29,mpnet,5.339,0.007,0.167,0.003
30,mpnet,1.997,0.001,0.112,0.003
31,mpnet,6.462,0.018,0.403,0.005
32,mpnet,4.417,0.004,0.081,0.002
33,mpnet,2.511,0.004,0.142,0.003
34,mpnet,2.766,0.003,0.093,0.003
35,mpnet,2.232,0.001,0.106,0.002
36,mpnet,5.761,0.01,0.249,0.004
37,mpnet,3.421,0.005,0.077,0.002
38,mpnet,0.484,0.001,0.074,0.003
39,mpnet,2.73,0.004,0.122,0.003
40,mpnet,2.93,0.002,0.088,0.002
41,mpnet,6.179,0.008,0.213,0.004
42,mpnet,4.844,0.007,0.088,0.003
43,mpnet,5.497,0.021,0.773,0.007
44,mpnet,10.523,0.004,0.075,0.002
45,mpnet,3.278,0.006,0.162,0.003
