doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,thres_55,0,0.005,10.555,0.002
0,thres_65,0,0.01,10.949,0.004
0,thres_75,0,0.011,12.169,0.005
1,thres_55,0,0.002,10.74,0.003
1,thres_65,0,0.009,10.866,0.002
1,thres_75,0,0.018,12.769,0.004
2,thres_65,0,0.01,11.264,0.005
2,thres_55,0,0.007,10.759,0.004
2,thres_75,0,0.007,12.15,0.006
3,thres_55,0,0.002,10.511,0.016
3,thres_65,0,0.002,11.281,0.003
3,thres_75,0,0.001,11.748,0.004
4,thres_55,0,0.005,10.506,0.016
4,thres_65,0,0.008,11.269,0.004
4,thres_75,0,0.004,12.266,0.004
5,thres_65,0,0.013,11.108,0.005
5,thres_75,0,0.005,12.297,0.004
5,thres_55,0,0.005,10.71,0.003
6,thres_65,0,0.002,0.147,0.002
6,thres_55,0,0.002,0.088,0.003
6,thres_75,0,0.006,0.171,0.004
7,thres_75,0,0.002,0.258,0.004
7,thres_55,0,0.005,0.082,0.002
7,thres_65,0,0.005,0.206,0.003
8,thres_55,0,0.005,0.091,0.003
8,thres_65,0,0.002,0.179,0.003
8,thres_75,0,0.003,0.214,0.005
9,thres_55,0,0.007,0.115,0.002
9,thres_75,0,0.007,0.368,0.007
9,thres_65,0,0.012,0.216,0.005
10,thres_55,0,0.001,0.124,0.002
10,thres_75,0,0.001,0.156,0.003
10,thres_65,0,0.002,0.161,0.002
11,thres_75,0,0.003,0.23,0.003
11,thres_65,0,0.003,0.258,0.004
11,thres_55,0,0.009,0.183,0.004
12,thres_65,0,0.013,0.256,0.004
12,thres_55,0,0.006,0.143,0.002
12,thres_75,0,0.01,0.347,0.005
13,thres_55,0,0.009,0.124,0.002
13,thres_65,0,0.01,0.264,0.005
13,thres_75,0,0.005,0.362,0.006
14,thres_65,0,0.004,0.204,0.002
14,thres_55,0,0.005,0.123,0.004
14,thres_75,0,0.003,0.228,0.003
15,thres_75,0,0.0,0.059,0.002
15,thres_65,0,0.0,0.065,0.002
15,thres_55,0,0.0,0.054,0.002
16,thres_55,0,0.003,0.078,0.003
16,thres_75,0,0.001,0.098,0.002
16,thres_65,0,0.0,0.088,0.002
17,thres_65,0,0.001,0.1,0.003
17,thres_75,0,0.001,0.107,0.002
17,thres_55,0,0.001,0.097,0.003
18,thres_55,0,0.0,0.025,0.001
18,thres_75,0,0.0,0.033,0.002
18,thres_65,0,0.0,0.026,0.001
19,thres_75,0,0.003,0.298,0.007
19,thres_55,0,0.006,0.223,0.003
19,thres_65,0,0.008,0.288,0.003
20,thres_75,0,0.003,0.175,0.003
20,thres_65,0,0.002,0.165,0.003
20,thres_55,0,0.003,0.158,0.003
21,thres_65,0,0.002,0.121,0.003
21,thres_55,0,0.002,0.121,0.002
21,thres_75,0,0.002,0.128,0.003
22,thres_75,0,0.003,0.124,0.003
22,thres_55,0,0.006,0.079,0.002
22,thres_65,0,0.004,0.102,0.002
23,thres_55,0,0.005,0.201,0.003
23,thres_65,0,0.004,0.234,0.003
23,thres_75,0,0.002,0.261,0.005
24,thres_55,0,0.002,0.107,0.003
24,thres_65,0,0.001,0.118,0.003
24,thres_75,0,0.001,0.134,0.002
25,thres_65,0,0.001,0.068,0.002
25,thres_75,0,0.001,0.086,0.004
25,thres_55,0,0.001,0.094,0.002
26,thres_65,0,0.004,0.223,0.004
26,thres_75,0,0.002,0.291,0.005
26,thres_55,0,0.007,0.129,0.003
27,thres_55,0,0.003,0.068,0.003
27,thres_65,0,0.007,0.111,0.002
27,thres_75,0,0.004,0.168,0.002
28,thres_55,0,0.001,0.077,0.002
28,thres_65,0,0.002,0.088,0.002
28,thres_75,0,0.001,0.116,0.003
29,thres_65,0,0.007,0.204,0.004
29,thres_75,0,0.002,0.317,0.005
29,thres_55,0,0.007,0.181,0.008
30,thres_55,0,0.001,0.075,0.002
30,thres_75,0,0.002,0.134,0.003
30,thres_65,0,0.002,0.093,0.003
31,thres_75,0,0.009,0.872,0.018
31,thres_55,0,0.017,0.516,0.005
31,thres_65,0,0.007,0.751,0.009
32,thres_75,0,0.004,0.151,0.015
32,thres_65,0,0.003,0.154,0.007
32,thres_55,0,0.002,0.096,0.004
33,thres_65,0,0.004,0.161,0.003
33,thres_55,0,0.001,0.169,0.003
33,thres_75,0,0.002,0.253,0.003
34,thres_75,0,0.002,0.193,0.003
34,thres_65,0,0.014,0.153,0.003
34,thres_55,0,0.002,0.119,0.003
35,thres_75,0,0.002,0.182,0.002
35,thres_65,0,0.004,0.164,0.002
35,thres_55,0,0.001,0.143,0.003
36,thres_65,0,0.008,0.337,0.007
36,thres_75,0,0.015,0.448,0.006
36,thres_55,0,0.019,0.236,0.005
37,thres_55,0,0.003,0.066,0.002
37,thres_75,0,0.002,0.182,0.005
37,thres_65,0,0.008,0.111,0.003
38,thres_65,0,0.001,0.099,0.002
38,thres_75,0,0.001,0.07,0.002
38,thres_55,0,0.0,0.056,0.002
39,thres_55,0,0.004,0.123,0.003
39,thres_65,0,0.003,0.128,0.002
39,thres_75,0,0.002,0.169,0.018
40,thres_55,0,0.002,0.066,0.001
40,thres_65,0,0.004,0.097,0.002
40,thres_75,0,0.002,0.19,0.013
41,thres_55,0,0.013,0.173,0.003
41,thres_65,0,0.01,0.371,0.004
41,thres_75,0,0.006,0.613,0.009
42,thres_65,0,0.004,0.155,0.002
42,thres_55,0,0.006,0.077,0.003
42,thres_75,0,0.006,0.42,0.044
43,thres_55,0,0.027,0.515,0.005
43,thres_65,0,0.013,0.778,0.007
43,thres_75,0,0.022,1.107,0.012
44,thres_65,0,0.004,0.099,0.003
44,thres_55,0,0.002,0.138,0.002
44,thres_75,0,0.013,0.225,0.009
45,thres_65,0,0.011,0.296,0.003
45,thres_55,0,0.007,0.234,0.004
45,thres_75,0,0.005,0.41,0.004
46,thres_65,0,0.005,0.215,0.003
46,thres_75,0,0.007,0.229,0.004
46,thres_55,0,0.01,0.108,0.003
47,thres_65,0,0.002,0.113,0.003
47,thres_75,0,0.001,0.118,0.002
47,thres_55,0,0.002,0.098,0.002
48,thres_65,0,0.005,0.133,0.003
48,thres_55,0,0.003,0.092,0.002
48,thres_75,0,0.001,0.177,0.004
49,thres_65,0,0.001,0.076,0.002
49,thres_55,0,0.001,0.084,0.002
49,thres_75,0,0.001,0.085,0.002
50,thres_75,0,0.002,0.108,0.003
50,thres_65,0,0.001,0.092,0.002
50,thres_55,0,0.002,0.071,0.002
51,thres_65,0,0.013,0.354,0.004
51,thres_55,0,0.01,0.233,0.003
51,thres_75,0,0.003,0.499,0.006
52,thres_65,0,0.006,0.262,0.006
52,thres_55,0,0.005,0.207,0.003
52,thres_75,0,0.004,0.336,0.004
53,thres_65,0,0.003,0.112,0.003
53,thres_75,0,0.002,0.166,0.002
53,thres_55,0,0.001,0.102,0.003
54,thres_65,0,0.001,0.115,0.002
54,thres_55,0,0.002,0.1,0.002
54,thres_75,0,0.004,0.141,0.003
55,thres_65,0,0.008,0.238,0.005
55,thres_55,0,0.007,0.129,0.003
55,thres_75,0,0.014,0.388,0.005
56,thres_65,0,0.0,0.054,0.001
56,thres_55,0,0.001,0.061,0.002
56,thres_75,0,0.0,0.061,0.002
57,thres_75,0,0.0,0.07,0.003
57,thres_55,0,0.0,0.072,0.002
57,thres_65,0,0.0,0.066,0.003
58,thres_75,0,0.001,0.121,0.003
58,thres_65,0,0.006,0.081,0.002
58,thres_55,0,0.001,0.13,0.002
59,thres_65,0,0.002,0.08,0.002
59,thres_55,0,0.001,0.076,0.002
59,thres_75,0,0.002,0.099,0.004
60,thres_75,0,0.002,0.214,0.002
60,thres_55,0,0.007,0.149,0.002
