doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet,3.204,0.006,10.728,0.004
1,mpnet,3.177,0.002,10.678,0.007
2,mpnet,3.38,0.007,10.793,0.004
3,mpnet,2.243,0.003,10.665,0.003
4,mpnet,0.727,0.006,0.132,0.003
5,mpnet,3.88,0.006,0.134,0.002
6,mpnet,1.296,0.004,0.089,0.002
7,mpnet,2.401,0.006,0.114,0.003
8,mpnet,2.966,0.006,0.119,0.002
9,mpnet,5.307,0.009,0.145,0.004
10,mpnet,1.363,0.002,0.146,0.003
11,mpnet,4.218,0.006,0.181,0.003
12,mpnet,3.575,0.01,0.172,0.003
13,mpnet,5.626,0.017,0.157,0.003
14,mpnet,3.539,0.007,0.15,0.004
15,mpnet,0.773,0.0,0.067,0.002
16,mpnet,1.06,0.002,0.074,0.002
17,mpnet,0.938,0.002,0.093,0.002
18,mpnet,0.491,0.0,0.029,0.002
19,mpnet,2.977,0.005,0.245,0.003
20,mpnet,8.763,0.005,0.152,0.003
21,mpnet,1.983,0.002,0.116,0.004
22,mpnet,6.448,0.005,0.09,0.002
23,mpnet,5.111,0.006,0.238,0.003
24,mpnet,2.741,0.002,0.087,0.002
25,mpnet,1.589,0.001,0.126,0.002
26,mpnet,7.145,0.387,0.154,0.002
27,mpnet,2.576,0.003,0.082,0.003
28,mpnet,1.88,0.002,0.088,0.002
29,mpnet,6.279,0.007,0.177,0.003
30,mpnet,1.846,0.001,0.128,0.002
31,mpnet,7.085,0.019,0.545,0.006
32,mpnet,2.794,0.005,0.093,0.002
33,mpnet,3.469,0.005,0.152,0.003
34,mpnet,2.149,0.002,0.095,0.002
35,mpnet,1.978,0.001,0.133,0.003
36,mpnet,6.534,0.008,0.253,0.003
37,mpnet,5.756,0.364,0.083,0.003
38,mpnet,1.236,0.001,0.077,0.002
39,mpnet,2.779,0.003,0.132,0.002
40,mpnet,3.096,0.002,0.082,0.002
41,mpnet,7.17,0.009,0.229,0.004
42,mpnet,5.546,0.004,0.079,0.003
43,mpnet,13.859,0.022,0.65,0.006
44,mpnet,11.561,0.003,0.085,0.002
45,mpnet,5.608,0.007,0.175,0.004
46,mpnet,2.942,0.004,0.119,0.004
48,mpnet,5.856,0.004,0.079,0.003
49,mpnet,3.733,0.001,0.111,0.002
50,mpnet,2.261,0.003,0.087,0.002
53,mpnet,3.2,0.003,0.105,0.002
