doc,exp,sent_t,chain_t,umap_t,cluster_t
151,mpnet,0,0.002,0.067,0.002
152,mpnet,0,0.004,0.073,0.002
153,mpnet,0,0.004,0.155,0.004
154,mpnet,0,0.01,0.203,0.004
155,mpnet,0,0.003,0.099,0.003
156,mpnet,0,0.004,0.135,0.002
157,mpnet,0,0.003,0.077,0.002
158,mpnet,0,0.003,0.171,0.002
159,mpnet,0,0.006,0.099,0.002
160,mpnet,0,0.004,0.143,0.003
161,mpnet,0,0.004,0.097,0.002
162,mpnet,0,0.002,0.084,0.002
163,mpnet,0,0.0,0.06,0.002
164,mpnet,0,0.005,0.096,0.003
165,mpnet,0,0.007,0.192,0.004
166,mpnet,0,0.003,0.077,0.002
167,mpnet,0,0.004,0.123,0.002
168,mpnet,0,0.007,0.078,0.002
169,mpnet,0,0.009,0.258,0.004
170,mpnet,0,0.001,0.074,0.002
171,mpnet,0,0.002,0.076,0.002
172,mpnet,0,0.001,0.076,0.002
173,mpnet,0,0.003,0.083,0.003
174,mpnet,0,0.001,0.114,0.003
175,mpnet,0,0.002,0.067,0.002
176,mpnet,0,0.001,0.072,0.002
177,mpnet,0,0.002,0.068,0.002
178,mpnet,0,0.004,0.069,0.002
179,mpnet,0,0.008,0.128,0.002
180,mpnet,0,0.003,0.084,0.002
181,mpnet,0,0.005,0.098,0.002
182,mpnet,0,0.003,0.097,0.003
183,mpnet,0,0.001,0.083,0.002
184,mpnet,0,0.003,0.08,0.002
185,mpnet,0,0.006,0.151,0.003
186,mpnet,0,0.006,0.202,0.004
187,mpnet,0,0.002,0.066,0.002
188,mpnet,0,0.009,0.095,0.003
189,mpnet,0,0.001,0.075,0.002
190,mpnet,0,0.01,0.199,0.003
191,mpnet,0,0.007,0.147,0.002
192,mpnet,0,0.002,0.085,0.002
193,mpnet,0,0.004,0.076,0.002
194,mpnet,0,0.005,0.14,0.004
195,mpnet,0,0.004,0.107,0.002
196,mpnet,0,0.004,0.143,0.002
197,mpnet,0,0.002,0.08,0.002
198,mpnet,0,0.002,0.099,0.002
199,mpnet,0,0.004,0.133,0.002
200,mpnet,0,0.001,0.122,0.002
201,mpnet,0,0.003,0.066,0.002
202,mpnet,0,0.001,0.073,0.002
203,mpnet,0,0.0,0.085,0.002
204,mpnet,0,0.005,0.114,0.002
205,mpnet,0,0.001,0.077,0.002
206,mpnet,0,0.006,0.14,0.002
207,mpnet,0,0.0,0.039,0.002
208,mpnet,0,0.005,0.124,0.002
209,mpnet,0,0.001,0.12,0.002
210,mpnet,0,0.008,0.12,0.003
211,mpnet,0,0.002,0.088,0.002
212,mpnet,0,0.014,0.525,0.008
213,mpnet,0,0.002,0.106,0.002
214,mpnet,0,0.001,0.118,0.004
215,mpnet,0,0.001,0.09,0.003
216,mpnet,0,0.009,0.186,0.003
217,mpnet,0,0.0,0.058,0.002
218,mpnet,0,0.009,0.076,0.002
219,mpnet,0,0.004,0.077,0.002
220,mpnet,0,0.008,0.078,0.002
221,mpnet,0,0.002,0.102,0.002
222,mpnet,0,0.001,0.081,0.003
223,mpnet,0,0.002,0.08,0.003
224,mpnet,0,0.004,0.109,0.003
225,mpnet,0,0.004,0.201,0.003
226,mpnet,0,0.004,0.128,0.003
227,mpnet,0,0.001,0.091,0.003
228,mpnet,0,0.005,0.168,0.003
229,mpnet,0,0.002,0.094,0.002
230,mpnet,0,0.004,0.092,0.002
231,mpnet,0,0.002,0.085,0.001
232,mpnet,0,0.008,0.088,0.002
233,mpnet,0,0.002,0.109,0.002
234,mpnet,0,0.009,0.07,0.002
235,mpnet,0,0.002,0.11,0.003
236,mpnet,0,0.009,0.177,0.003
237,mpnet,0,0.004,0.098,0.002
238,mpnet,0,0.003,0.124,0.002
239,mpnet,0,0.004,0.084,0.002
240,mpnet,0,0.003,0.124,0.003
241,mpnet,0,0.003,0.069,0.002
242,mpnet,0,0.006,0.213,0.003
243,mpnet,0,0.003,0.109,0.002
244,mpnet,0,0.02,0.229,0.005
245,mpnet,0,0.001,0.079,0.002
246,mpnet,0,0.0,0.084,0.002
247,mpnet,0,0.003,0.089,0.002
248,mpnet,0,0.003,0.064,0.002
249,mpnet,0,0.003,0.071,0.002
250,mpnet,0,0.003,0.094,0.003
251,mpnet,0,0.011,0.227,0.003
252,mpnet,0,0.004,0.096,0.003
253,mpnet,0,0.005,0.183,0.003
254,mpnet,0,0.001,0.072,0.002
255,mpnet,0,0.002,0.104,0.002
256,mpnet,0,0.0,0.069,0.002
257,mpnet,0,0.005,0.095,0.002
258,mpnet,0,0.017,0.244,0.003
259,mpnet,0,0.003,0.088,0.003
260,mpnet,0,0.005,0.071,0.002
261,mpnet,0,0.0,0.054,0.002
262,mpnet,0,0.0,0.055,0.002
263,mpnet,0,0.002,0.08,0.002
264,mpnet,0,0.019,0.305,0.006
265,mpnet,0,0.002,0.07,0.001
266,mpnet,0,0.003,0.114,0.002
267,mpnet,0,0.002,0.071,0.003
268,mpnet,0,0.004,0.117,0.003
269,mpnet,0,0.009,0.16,0.003
270,mpnet,0,0.005,0.15,0.002
271,mpnet,0,0.004,0.148,0.002
272,mpnet,0,0.004,0.146,0.003
273,mpnet,0,0.01,0.152,0.003
274,mpnet,0,0.003,0.148,0.003
275,mpnet,0,0.0,0.084,0.002
276,mpnet,0,0.003,0.1,0.003
277,mpnet,0,0.009,0.213,0.003
278,mpnet,0,0.008,0.096,0.003
279,mpnet,0,0.005,0.077,0.002
280,mpnet,0,0.001,0.074,0.002
281,mpnet,0,0.004,0.14,0.002
282,mpnet,0,0.006,0.163,0.003
283,mpnet,0,0.005,0.078,0.002
284,mpnet,0,0.008,0.187,0.003
285,mpnet,0,0.003,0.088,0.003
286,mpnet,0,0.009,0.225,0.004
287,mpnet,0,0.011,0.26,0.004
288,mpnet,0,0.001,0.072,0.002
289,mpnet,0,0.001,0.09,0.002
290,mpnet,0,0.003,0.083,0.002
291,mpnet,0,0.004,0.168,0.003
292,mpnet,0,0.002,0.075,0.002
293,mpnet,0,0.01,0.168,0.004
294,mpnet,0,0.01,0.198,0.005
295,mpnet,0,0.005,0.115,0.002
296,mpnet,0,0.008,0.17,0.004
297,mpnet,0,0.0,0.091,0.002
298,mpnet,0,0.01,0.43,0.005
299,mpnet,0,0.003,0.106,0.003
300,mpnet,0,0.001,0.1,0.003
301,mpnet,0,0.004,0.114,0.002
302,mpnet,0,0.002,0.086,0.002
303,mpnet,0,0.008,0.094,0.002
304,mpnet,0,0.017,0.179,0.003
305,mpnet,0,0.004,0.103,0.003
306,mpnet,0,0.0,0.081,0.002
307,mpnet,0,0.003,0.086,0.003
308,mpnet,0,0.001,0.061,0.001
309,mpnet,0,0.007,0.123,0.003
310,mpnet,0,0.004,0.067,0.002
311,mpnet,0,0.004,0.085,0.002
312,mpnet,0,0.003,0.165,0.003
313,mpnet,0,0.006,0.137,0.003
314,mpnet,0,0.005,0.128,0.002
315,mpnet,0,0.001,0.088,0.003
316,mpnet,0,0.0,0.018,0.002
317,mpnet,0,0.003,0.077,0.003
318,mpnet,0,0.009,0.136,0.003
319,mpnet,0,0.003,0.148,0.003
320,mpnet,0,0.002,0.086,0.002
321,mpnet,0,0.001,0.118,0.002
322,mpnet,0,0.001,0.07,0.002
323,mpnet,0,0.005,0.085,0.002
324,mpnet,0,0.018,0.262,0.005
