idx,query,doc,score
0,4,2405,7.812
1,4,4668,0.0
2,4,585,0.0
3,4,4378,0.0
4,4,4515,0.0
5,4,3055,0.0
6,4,2643,7.658
7,4,3437,0.0
8,4,2248,4.066
9,4,347,4.529
10,4,1295,0.0
11,4,3468,0.0
12,4,4702,0.0
13,4,6419,0.0
14,4,3354,0.0
15,4,2206,0.0
16,4,6552,0.0
17,4,1577,0.0
18,4,6341,0.0
19,4,3358,0.0
20,4,1317,0.0
21,4,5816,0.0
22,4,4036,0.0
23,4,6028,0.0
24,4,4212,0.0
25,4,3616,0.0
26,4,626,0.0
27,4,1743,0.0
28,4,6535,0.0
29,4,41,0.0
30,4,5215,0.0
31,4,5344,0.0
32,4,4636,0.0
33,4,5855,0.0
34,4,3781,0.0
35,4,5380,0.0
36,4,4862,0.0
37,4,5947,0.0
38,4,5668,0.0
39,4,4755,0.0
40,4,193,0.0
41,4,4226,0.0
42,4,436,0.0
43,4,4336,0.0
44,4,24,0.0
45,4,5780,0.0
46,4,2830,0.0
47,4,1809,0.0
48,4,6094,0.0
49,4,3434,0.0
50,4,4335,0.0
51,4,3945,0.0
52,4,1916,0.0
53,4,5230,0.0
54,4,4705,0.0
55,4,2443,0.0
56,4,5504,0.0
57,4,5761,0.0
58,4,2663,0.0
59,4,1975,0.0
60,4,3267,0.0
61,4,2138,0.0
62,4,1502,0.0
63,4,3841,0.0
64,4,396,0.0
65,4,1893,0.0
66,4,4099,0.0
67,4,3624,0.0
68,4,3834,0.0
69,4,3090,0.0
70,4,2806,0.0
71,4,1911,0.0
72,4,1948,0.0
73,4,6310,0.0
74,4,453,0.0
75,4,2466,0.0
76,4,1886,0.0
77,4,6400,0.0
78,4,4789,0.0
79,4,5455,0.0
80,4,962,0.0
81,4,384,0.0
82,4,5699,0.0
83,4,5920,0.0
84,4,6502,0.0
85,4,5665,0.0
86,4,5771,0.0
87,4,3972,0.0
88,4,298,0.0
89,4,2769,0.0
90,4,2354,0.0
91,4,52,0.0
92,4,6541,0.0
93,4,2823,0.0
94,4,4866,0.0
95,4,4997,0.0
96,4,5372,0.0
97,4,165,0.0
98,4,1071,0.0
99,4,6201,0.0
100,4,2433,0.0
101,4,4669,0.0
102,4,2800,0.0
103,4,4355,0.0
104,4,272,0.0
105,4,813,0.0
106,4,4054,0.0
107,4,5189,0.0
108,4,1672,0.0
109,4,4100,0.0
110,4,617,0.0
111,4,4328,0.0
112,4,5985,0.0
113,4,3078,0.0
114,4,4190,0.0
115,4,2775,0.0
116,4,6615,0.0
117,4,2514,0.0
118,4,5889,0.0
119,4,6168,0.0
120,4,5496,0.0
121,4,6173,0.0
122,4,3736,0.0
123,4,5208,0.0
124,4,2580,0.0
125,4,3935,0.0
126,4,2600,0.0
127,4,862,0.0
128,4,4371,0.0
129,4,4222,0.0
130,4,872,0.0
131,4,1093,0.0
132,4,1526,0.0
133,4,4518,0.0
134,4,5515,0.0
135,4,5058,0.0
136,4,6463,0.0
137,4,5827,0.0
138,4,3843,0.0
139,4,2134,0.0
140,4,6507,0.0
141,4,709,0.0
142,4,456,0.0
143,4,6618,0.0
144,4,6575,0.0
145,4,4311,0.0
146,4,707,0.0
147,4,4558,0.0
148,4,1698,0.0
149,4,2120,0.0
150,4,4776,0.0
151,4,2019,0.0
152,4,167,0.0
153,4,3341,0.0
154,4,2146,0.0
155,4,2543,0.0
156,4,1855,0.0
157,4,6211,0.0
158,4,2898,0.0
159,4,5369,0.0
160,4,548,0.0
161,4,1463,0.0
162,4,1633,0.0
163,4,4206,0.0
164,4,1285,0.0
165,4,3359,0.0
166,4,3591,0.0
167,4,517,0.0
168,4,2375,0.0
169,4,2326,0.0
170,4,2948,0.0
171,4,4673,0.0
172,4,355,0.0
173,4,6054,0.0
174,4,4999,0.0
175,4,4912,0.0
176,4,5810,0.0
177,4,115,0.0
178,4,1330,0.0
179,4,386,0.0
180,4,6215,0.0
181,4,2581,0.0
182,4,5605,0.0
183,4,3165,0.0
184,4,6257,0.0
185,4,270,0.0
186,4,2004,0.0
187,4,1325,0.0
188,4,2852,0.0
189,4,2549,0.0
190,4,539,0.0
191,4,2999,0.0
192,4,3150,0.0
193,4,3501,0.0
194,4,2620,0.0
195,4,1519,0.0
196,4,2789,0.0
197,4,15,0.0
198,4,2651,0.0
199,4,4317,0.0
200,4,4714,0.0
201,4,4086,0.0
202,4,4401,0.0
203,4,4443,0.0
204,4,6140,0.0
205,4,4363,0.0
206,4,5325,0.0
207,4,5480,0.0
208,4,3020,0.0
209,4,4902,0.0
210,4,775,0.0
211,4,2432,0.0
212,4,6147,0.0
213,4,2299,0.0
214,4,1060,0.0
215,4,6138,0.0
216,4,5046,0.0
217,4,4701,0.0
218,4,1590,0.0
219,4,184,0.0
220,4,1247,0.0
221,4,3656,0.0
