idx,query,doc,score
0,2,4191,25.78
1,2,1253,45.523
2,2,2395,0.0
3,2,4166,0.0
4,2,167,0.0
5,2,6009,0.0
6,2,5478,0.0
7,2,5923,0.0
8,2,1891,0.0
9,2,3865,0.0
10,2,372,0.0
11,2,1709,0.0
12,2,1879,0.0
13,2,1580,0.0
14,2,4792,5.158
15,2,5592,0.0
16,2,3587,0.0
17,2,2051,0.0
18,2,1838,0.0
19,2,4654,0.0
20,2,6348,0.0
21,2,5418,3.776
22,2,67,0.0
23,2,2149,0.0
24,2,2591,0.0
25,2,2268,0.0
26,2,5048,0.0
27,2,2464,0.0
28,2,2034,0.0
29,2,5536,0.0
30,2,2766,0.0
31,2,3377,0.0
32,2,6329,0.0
33,2,1923,0.0
34,2,5580,0.0
35,2,3360,0.0
36,2,4822,0.0
37,2,6014,0.0
38,2,2495,0.0
39,2,5928,0.0
40,2,3275,0.0
41,2,6375,0.0
42,2,6535,0.0
43,2,2444,0.0
44,2,13,0.0
45,2,1338,3.672
46,2,5236,0.0
47,2,1857,0.0
48,2,581,0.0
49,2,562,0.0
50,2,5246,0.0
51,2,1807,0.0
52,2,2278,0.0
53,2,6082,0.0
54,2,2305,0.0
55,2,2301,0.0
56,2,245,0.0
57,2,5595,0.0
58,2,3114,0.0
59,2,1917,0.0
60,2,4355,0.0
61,2,1107,0.0
62,2,6493,0.0
63,2,5663,0.0
64,2,3181,0.0
65,2,5724,0.0
66,2,5944,0.0
67,2,3550,0.0
68,2,2271,0.0
69,2,364,0.0
70,2,2892,0.0
71,2,1730,0.0
72,2,3111,0.0
73,2,5967,0.0
74,2,911,0.0
75,2,1757,0.0
76,2,2442,0.0
77,2,4431,0.0
78,2,241,0.0
79,2,2235,0.0
80,2,5184,0.0
81,2,3338,0.0
82,2,58,0.0
83,2,746,0.0
84,2,1196,0.0
85,2,1019,0.0
86,2,4598,0.0
87,2,5988,0.0
88,2,4903,0.0
89,2,506,0.0
90,2,2479,0.0
91,2,6397,3.978
92,2,5787,5.97
93,2,1321,3.682
94,2,4624,0.0
95,2,5041,0.0
96,2,3611,0.0
97,2,4509,0.0
98,2,51,0.0
99,2,1777,0.0
100,2,6312,0.0
101,2,2079,6.754
102,2,6611,0.0
103,2,4934,0.0
104,2,5211,0.0
105,2,4916,0.0
106,2,1128,0.0
107,2,1343,0.0
108,2,5102,0.0
109,2,4051,0.0
110,2,4748,0.0
111,2,3588,0.0
112,2,3020,0.0
113,2,5477,0.0
114,2,2729,0.0
115,2,3618,0.0
116,2,4927,0.0
117,2,5430,0.0
118,2,3056,0.0
119,2,24,0.0
120,2,820,0.0
121,2,2411,0.0
122,2,5070,0.0
123,2,3062,0.0
124,2,1139,0.0
125,2,3605,0.0
126,2,3870,0.0
127,2,5156,0.0
128,2,2749,11.449
129,2,5669,0.0
130,2,2736,0.0
131,2,4801,0.0
132,2,999,0.0
133,2,1387,0.0
134,2,3083,5.68
135,2,325,0.0
136,2,1310,0.0
137,2,3762,0.0
138,2,6550,0.0
139,2,3355,0.0
140,2,2102,0.0
141,2,1248,0.0
142,2,2962,3.795
143,2,6443,0.0
144,2,44,0.0
145,2,2332,0.0
146,2,29,0.0
147,2,3989,0.0
148,2,6109,0.0
149,2,4347,0.0
150,2,1052,0.0
151,2,1410,0.0
152,2,2813,0.0
153,2,4078,0.0
154,2,4649,0.0
155,2,9,0.0
156,2,291,0.0
157,2,3335,0.0
158,2,1390,0.0
159,2,2576,0.0
160,2,3035,0.0
161,2,3509,0.0
162,2,378,0.0
163,2,4592,0.0
164,2,797,0.0
165,2,4795,0.0
166,2,3936,0.0
167,2,3938,0.0
168,2,369,0.0
169,2,2631,0.0
170,2,4168,0.0
171,2,5645,0.0
172,2,4322,0.0
173,2,438,0.0
174,2,3684,0.0
175,2,6515,0.0
176,2,4658,0.0
177,2,2101,0.0
178,2,2535,0.0
179,2,4540,0.0
180,2,6452,0.0
181,2,6089,0.0
182,2,397,0.0
183,2,1221,0.0
184,2,4049,0.0
185,2,4687,0.0
186,2,6463,0.0
187,2,1495,0.0
188,2,3032,0.0
189,2,3876,0.0
190,2,1431,0.0
191,2,4685,0.0
192,2,908,0.0
193,2,2485,0.0
194,2,915,0.0
195,2,3303,0.0
196,2,729,0.0
197,2,1596,0.0
198,2,4852,0.0
199,2,619,0.0
200,2,1323,0.0
201,2,2720,0.0
202,2,4767,0.0
203,2,5168,0.0
204,2,6305,0.0
205,2,838,0.0
206,2,4218,0.0
207,2,177,0.0
208,2,6351,0.0
209,2,3820,0.0
210,2,2115,0.0
211,2,4447,0.0
212,2,990,0.0
213,2,5051,0.0
214,2,3196,0.0
215,2,6199,0.0
216,2,3316,0.0
217,2,3824,0.0
218,2,2020,0.0
219,2,2611,0.0
220,2,5413,0.0
221,2,2191,0.0
222,2,4021,0.0
223,2,3829,0.0
224,2,723,0.0
225,2,4831,0.0
226,2,1227,0.0
227,2,1819,0.0
228,2,1938,0.0
229,2,4001,0.0
230,2,6246,0.0
231,2,1147,0.0
232,2,5788,0.0
233,2,4728,0.0
234,2,1141,0.0
235,2,4104,0.0
236,2,3798,0.0
237,2,1961,0.0
238,2,3573,0.0
239,2,6152,0.0
240,2,4937,0.0
241,2,5721,7.387
242,2,4041,0.0
243,2,3881,0.0
244,2,675,0.0
245,2,2610,0.0
246,2,4195,0.0
247,2,142,0.0
248,2,2911,0.0
249,2,4327,0.0
250,2,1158,0.0
251,2,4623,5.634
252,2,4114,0.0
253,2,5819,0.0
254,2,925,0.0
255,2,1058,0.0
256,2,2960,0.0
257,2,1669,0.0
258,2,1609,0.0
259,2,2649,0.0
260,2,4265,0.0
261,2,1688,0.0
262,2,3928,0.0
263,2,2839,0.0
264,2,1738,0.0
265,2,4375,0.0
266,2,6279,0.0
267,2,3025,0.0
268,2,1191,0.0
269,2,204,0.0
270,2,4790,0.0
271,2,5775,0.0
272,2,6651,0.0
273,2,2091,0.0
274,2,2691,4.966
275,2,6019,0.0
276,2,1659,0.0
277,2,1720,0.0
278,2,3731,0.0
279,2,5995,0.0
280,2,6073,0.0
281,2,5191,0.0
282,2,5751,0.0
283,2,2347,0.0
284,2,851,0.0
285,2,472,0.0
286,2,2582,0.0
287,2,5585,0.0
288,2,2814,0.0
289,2,6511,0.0
290,2,2533,0.0
291,2,1358,0.0
292,2,3530,0.0
293,2,5056,0.0
294,2,5733,0.0
295,2,6164,0.0
296,2,477,0.0
297,2,2198,0.0
298,2,456,0.0
299,2,649,0.0
300,2,2157,0.0
301,2,2824,0.0
302,2,1563,0.0
303,2,4215,0.0
304,2,4194,0.0
305,2,4280,0.0
306,2,5920,0.0
307,2,681,0.0
308,2,5050,0.0
309,2,5629,0.0
310,2,774,0.0
311,2,3125,0.0
312,2,2312,0.0
313,2,379,0.0
314,2,6434,0.0
315,2,5504,0.0
316,2,1762,0.0
317,2,3703,0.0
