idx,query,doc,score
0,0,4355,7.375
1,0,1923,32.987
2,0,4166,0.0
3,0,272,6.826
4,0,6389,0.0
5,0,3611,7.924
6,0,1857,13.141
7,0,6092,0.0
8,0,2635,0.0
9,0,6535,0.0
10,0,372,0.0
11,0,5948,0.0
12,0,562,4.685
13,0,2581,3.112
14,0,4078,0.0
15,0,3669,0.0
16,0,2268,0.0
17,0,5504,0.0
18,0,5605,0.0
19,0,2008,8.672
20,0,3632,0.0
21,0,6415,0.0
22,0,6375,0.0
23,0,4327,4.251
24,0,1106,0.0
25,0,6197,0.0
26,0,1792,0.0
27,0,4191,0.0
28,0,1709,0.0
29,0,4701,0.0
30,0,2237,0.0
31,0,790,0.0
32,0,5048,0.0
33,0,5864,0.0
34,0,5945,0.0
35,0,626,3.919
36,0,5041,0.0
37,0,3893,0.0
38,0,5553,0.0
39,0,1405,0.0
40,0,2470,0.0
41,0,4668,0.0
42,0,5810,0.0
43,0,5278,0.0
44,0,4049,0.0
45,0,1838,0.0
46,0,167,0.0
47,0,9,4.063
48,0,1139,0.0
49,0,2535,0.0
50,0,1224,0.0
51,0,605,0.0
52,0,2991,0.0
53,0,4212,0.0
54,0,1196,0.0
55,0,1954,0.0
56,0,1692,0.0
57,0,5932,0.0
58,0,4687,0.0
59,0,180,0.0
60,0,1060,0.0
61,0,1019,0.0
62,0,1641,0.0
63,0,1621,0.0
64,0,4467,0.0
65,0,5972,0.0
66,0,5035,0.0
67,0,4849,0.0
68,0,2206,0.0
69,0,2789,10.449
70,0,2892,0.0
71,0,5923,0.0
72,0,1321,0.0
73,0,6089,0.0
74,0,3270,0.0
75,0,5775,0.0
76,0,4822,0.0
77,0,2324,5.051
78,0,4780,0.0
79,0,999,0.0
80,0,4323,3.615
81,0,4275,0.0
82,0,5668,0.0
83,0,2533,0.0
84,0,3836,0.0
85,0,2459,0.0
86,0,1875,0.0
87,0,6253,0.0
88,0,141,0.0
89,0,2102,0.0
90,0,4289,0.0
91,0,3479,0.0
92,0,1431,0.0
93,0,5954,0.0
94,0,2695,0.0
95,0,2136,0.0
96,0,3945,0.0
97,0,1253,0.0
98,0,4252,0.0
99,0,3954,0.0
100,0,5851,0.0
101,0,3896,0.0
102,0,5592,0.0
103,0,939,3.845
104,0,4652,0.0
105,0,5113,0.0
106,0,6471,0.0
107,0,6180,0.0
108,0,3928,0.0
109,0,4475,0.0
110,0,338,0.0
111,0,3587,0.0
112,0,5242,0.0
113,0,1880,0.0
114,0,4114,0.0
115,0,159,0.0
116,0,2395,0.0
117,0,3095,0.0
118,0,3138,0.0
